id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Hubel BF EU sex combined 76 SNPs clumped	09bFuv	S-LDL-CE.txt	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	111.372055051419	69	0.000935536326842113
Hubel BF EU sex combined 76 SNPs clumped	09bFuv	S-LDL-CE.txt	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	106.903421894981	68	0.00182009970811023
Hubel BF EU sex combined 76 SNPs clumped	09bFuv	S-LDL-CE.txt	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	111.515255131749	69	0.000907722192476403
Hubel BF EU sex combined 76 SNPs clumped	09bFuv	S-LDL-CE.txt	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	111.310594237967	69	0.000947719624535441
Hubel BF EU sex combined 76 SNPs clumped	09bFuv	S-LDL-CE.txt	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.0108064768898345	69	1
Hubel BF EU sex combined 76 SNPs clumped	0quL16	Tyr.txt	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	116.621134973941	69	0.000299920475879116
Hubel BF EU sex combined 76 SNPs clumped	0quL16	Tyr.txt	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	107.104931730922	68	0.00174678722966265
Hubel BF EU sex combined 76 SNPs clumped	0quL16	Tyr.txt	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	116.902222678235	69	0.00028169727990681
Hubel BF EU sex combined 76 SNPs clumped	0quL16	Tyr.txt	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	116.601038505445	69	0.000301265610212273
Hubel BF EU sex combined 76 SNPs clumped	0quL16	Tyr.txt	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.0137462396193621	69	1
Hubel BF EU sex combined 76 SNPs clumped	0rX77F	M-HDL-TG.txt	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	251.854124016257	69	1.24279636018288e-22
Hubel BF EU sex combined 76 SNPs clumped	0rX77F	M-HDL-TG.txt	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	250.199156166321	68	1.18048336896152e-22
Hubel BF EU sex combined 76 SNPs clumped	0rX77F	M-HDL-TG.txt	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	252.230241774427	69	1.08195687894125e-22
Hubel BF EU sex combined 76 SNPs clumped	0rX77F	M-HDL-TG.txt	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	251.846444626063	69	1.24631715767288e-22
Hubel BF EU sex combined 76 SNPs clumped	0rX77F	M-HDL-TG.txt	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.0161419920672764	69	1
Hubel BF EU sex combined 76 SNPs clumped	0z66LA	XS-VLDL-FC.txt	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	171.562091625613	69	1.05099239810471e-10
Hubel BF EU sex combined 76 SNPs clumped	0z66LA	XS-VLDL-FC.txt	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	169.3725235371	68	1.28757776669328e-10
Hubel BF EU sex combined 76 SNPs clumped	0z66LA	XS-VLDL-FC.txt	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	171.834704502156	69	9.66241913023453e-11
Hubel BF EU sex combined 76 SNPs clumped	0z66LA	XS-VLDL-FC.txt	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	171.5174175436	69	1.065564809487e-10
Hubel BF EU sex combined 76 SNPs clumped	0z66LA	XS-VLDL-FC.txt	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.011120095318103	69	1
Hubel BF EU sex combined 76 SNPs clumped	24eB21	M-VLDL-PL.txt	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	118.758340779153	69	0.000185408972386141
Hubel BF EU sex combined 76 SNPs clumped	24eB21	M-VLDL-PL.txt	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	117.1218714241	68	0.000200052938126798
