id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Hubel BF EU sex combined 76 SNPs clumped	09bFuv	S-LDL-CE.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00763603031018627	0.00445832981487609	0.0913140781019812
Hubel BF EU sex combined 76 SNPs clumped	0quL16	Tyr.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.0111321392347237	0.00446350375989594	0.0150664650001059
Hubel BF EU sex combined 76 SNPs clumped	0rX77F	M-HDL-TG.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00505439134216142	0.00680288632733737	0.460054472497951
Hubel BF EU sex combined 76 SNPs clumped	0z66LA	XS-VLDL-FC.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00556991513526726	0.00560216139238365	0.323628973748614
Hubel BF EU sex combined 76 SNPs clumped	24eB21	M-VLDL-PL.txt	Hubel BF EU sex combined 76 SNPs clumped	0.0047061293205423	0.00466036587332215	0.316161509896431
Hubel BF EU sex combined 76 SNPs clumped	28Z6Bd	M-VLDL-FC_percent.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00547600813605741	0.0050854148939734	0.285372142376506
Hubel BF EU sex combined 76 SNPs clumped	2H2U1N	L-VLDL-PL.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.000425065602461812	0.00402448372497523	0.916194880093159
Hubel BF EU sex combined 76 SNPs clumped	33nOfk	XL-HDL-C_percent.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.0106342056554425	0.00543172373629893	0.0543589566596865
Hubel BF EU sex combined 76 SNPs clumped	3aeTkU	L-LDL-FC.txt	Hubel BF EU sex combined 76 SNPs clumped	0.0050127419965285	0.00645181459497795	0.439882301383622
Hubel BF EU sex combined 76 SNPs clumped	3li7r1	TotPG.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00159756626444237	0.00388917326409651	0.682530769498224
Hubel BF EU sex combined 76 SNPs clumped	3szP8j	L-HDL-FC.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00741067414341557	0.00768966845901414	0.338601926982731
Hubel BF EU sex combined 76 SNPs clumped	3XecGc	L-LDL-P.txt	Hubel BF EU sex combined 76 SNPs clumped	8.22101297310214e-05	0.00441682714986377	0.985204388010254
Hubel BF EU sex combined 76 SNPs clumped	42NxaU	Ile.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.011336347147074	0.00501117603067867	0.0268838509533709
Hubel BF EU sex combined 76 SNPs clumped	4aJnPp	L-VLDL-FC.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00808030451501798	0.00456123477666304	0.0809552970322187
Hubel BF EU sex combined 76 SNPs clumped	4E3h6r	L-LDL-TG.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00699651816206124	0.005026160528086	0.16845241619905
Hubel BF EU sex combined 76 SNPs clumped	4YzS3D	EstC.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00276507163530779	0.0043056787994245	0.522907855058007
Hubel BF EU sex combined 76 SNPs clumped	5lmghQ	L-HDL-L.txt	Hubel BF EU sex combined 76 SNPs clumped	0.0053993253022552	0.00683946833087957	0.432601057328364
Hubel BF EU sex combined 76 SNPs clumped	5mj1qp	SM.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00193950109948136	0.00393591132908134	0.623762196073454
Hubel BF EU sex combined 76 SNPs clumped	5PK4pS	M-VLDL-L.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00657392156320804	0.00681861779079472	0.338405207748217
Hubel BF EU sex combined 76 SNPs clumped	5QEFq6	XXL-VLDL-TG_percent.txt	Hubel BF EU sex combined 76 SNPs clumped	0.000672190536142865	0.00371349805450943	0.856895996700125
Hubel BF EU sex combined 76 SNPs clumped	5qHJtA	FALen.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00978042719450486	0.0050666500461887	0.0577345663303339
Hubel BF EU sex combined 76 SNPs clumped	5TXrsh	HDL3-C.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00150003870429919	0.00387018038586662	0.699530898847313
Hubel BF EU sex combined 76 SNPs clumped	62fHB8	S-VLDL-TG.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00531010867778899	0.0050733992572308	0.298964024216718
Hubel BF EU sex combined 76 SNPs clumped	67LyA5	XL-HDL-C.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.0105139555476544	0.00572501617471263	0.0706558515653823
Hubel BF EU sex combined 76 SNPs clumped	6Jaa5O	M-VLDL-P.txt	Hubel BF EU sex combined 76 SNPs clumped	0.0047061293205423	0.00466036587332215	0.316161509896431
Hubel BF EU sex combined 76 SNPs clumped	6kObva	XS-VLDL-C.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00273909808082016	0.00383756163082758	0.477818325588818
Hubel BF EU sex combined 76 SNPs clumped	6VL9SR	M-LDL-C.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00701313442281912	0.00448279079486537	0.122352448877567
Hubel BF EU sex combined 76 SNPs clumped	78u48U	L-LDL-PL_percent.txt	Hubel BF EU sex combined 76 SNPs clumped	8.22101297310214e-05	0.00441682714986377	0.985204388010254
Hubel BF EU sex combined 76 SNPs clumped	7btY92	S-LDL-L.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00240743415857021	0.00444965275491739	0.590249015141561
Hubel BF EU sex combined 76 SNPs clumped	7GJHcH	S-HDL-FC.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00929972502654885	0.00408539214768981	0.0259791005090053
Hubel BF EU sex combined 76 SNPs clumped	7JeQg1	XXL-VLDL-PL.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00289472058468135	0.00405148937310428	0.477374139824228
Hubel BF EU sex combined 76 SNPs clumped	7kBrcF	S-HDL-CE.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00969880565246728	0.00484828027576437	0.0494452668255845
Hubel BF EU sex combined 76 SNPs clumped	7l6UDL	XL-VLDL-TG_percent.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.000989393929273545	0.00494285792128374	0.841947896661561
Hubel BF EU sex combined 76 SNPs clumped	7Sgy21	XXL-VLDL-C.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00241829124591462	0.00376218590809814	0.522522652718495
Hubel BF EU sex combined 76 SNPs clumped	8HXoxh	XL-VLDL-PL_percent.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00013302473990554	0.0042359065047635	0.975039282130456
Hubel BF EU sex combined 76 SNPs clumped	8lQTVl	XXL-VLDL-CE.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00241829124591462	0.00376218590809814	0.522522652718495
Hubel BF EU sex combined 76 SNPs clumped	8Nk8x4	IDL-P.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00707701512990724	0.00480960037000309	0.145786381777
Hubel BF EU sex combined 76 SNPs clumped	8Qj2td	IDL-TG_percent.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00718531386827415	0.00522384087627764	0.173495511728884
Hubel BF EU sex combined 76 SNPs clumped	9wgVqQ	S-LDL-C_percent.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00801717603787007	0.00452792048596404	0.0811076295412013
Hubel BF EU sex combined 76 SNPs clumped	a578WY	CLA.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00105953491633544	0.00449459179747122	0.814346458046639
Hubel BF EU sex combined 76 SNPs clumped	aFKMlf	S-HDL-P.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00635966061124533	0.00439982738187417	0.152929000614023
Hubel BF EU sex combined 76 SNPs clumped	Ai0yt5	PUFAbyFA.txt	Hubel BF EU sex combined 76 SNPs clumped	0.0033771258098941	0.00635809983583247	0.597043268551561
Hubel BF EU sex combined 76 SNPs clumped	AJv8ZY	S-HDL-PL_percent.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00635966061124533	0.00439982738187417	0.152929000614023
Hubel BF EU sex combined 76 SNPs clumped	ApkNlm	S-HDL-C_percent.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00904325524576751	0.00496763651731208	0.0730934409075179
Hubel BF EU sex combined 76 SNPs clumped	aRzDfu	ApoB.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00326398360020164	0.00649578372181222	0.616955262902534
Hubel BF EU sex combined 76 SNPs clumped	azT7NQ	L-HDL-TG.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00629005954038786	0.00643620186027735	0.331887859601747
Hubel BF EU sex combined 76 SNPs clumped	bcKUcQ	L-VLDL-C.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00540722590263894	0.00498008184850569	0.281414716778007
Hubel BF EU sex combined 76 SNPs clumped	bjCQip	XS-VLDL-PL.txt	Hubel BF EU sex combined 76 SNPs clumped	0.0112924846513807	0.00502464602760048	0.0278612929360394
Hubel BF EU sex combined 76 SNPs clumped	Bm6NOI	XL-VLDL-PL.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00013302473990554	0.0042359065047635	0.975039282130456
Hubel BF EU sex combined 76 SNPs clumped	BOif1b	TotFA.txt	Hubel BF EU sex combined 76 SNPs clumped	-0.00265159119645439	0.00486255603251079	0.58732589751099
Hubel BF EU sex combined 76 SNPs clumped	bq1axa	S-VLDL-P.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00532036039189352	0.00545050975530374	0.332464052368039
Hubel BF EU sex combined 76 SNPs clumped	bUVf1E	S-VLDL-CE.txt	Hubel BF EU sex combined 76 SNPs clumped	0.00389054730113567	0.00447095656327513	0.387262269758976
