id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	metabolite	raw.label	class	subclass	label	derived_features	INTERVAL	abbreviation1	abbreviation2	label.no.units
Lu BF EU sex combined 5 SNPs	00vVAP	Ala.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	0.176252838858725	0.390541346158385	0.682397960365438	ala	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	no	ala	Ala	Ala	Alanine
Lu BF EU sex combined 5 SNPs	00vVAP	Ala.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	0.112301358276534	0.0988761773033908	0.256049607853965	ala	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	no	ala	Ala	Ala	Alanine
Lu BF EU sex combined 5 SNPs	00vVAP	Ala.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	0.164463038429984	0.0477767589396586	0.000576741054080137	ala	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	no	ala	Ala	Ala	Alanine
Lu BF EU sex combined 5 SNPs	00vVAP	Ala.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	0.089911200830207	0.137414858633933	0.54862716079819	ala	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	no	ala	Ala	Ala	Alanine
Lu BF EU sex combined 5 SNPs	0iPlP8	HDL-TG.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	0.0932800176017443	0.519423636118297	0.8689241311657	hdltg	Triglycerides in HDL (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	HDL triglycerides (mmol/l)	no	hdltg	HDL-TG	HDL-TG	Triglycerides in HDL
Lu BF EU sex combined 5 SNPs	0iPlP8	HDL-TG.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	-0.0511497579286457	0.112197805452972	0.648469719225701	hdltg	Triglycerides in HDL (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	HDL triglycerides (mmol/l)	no	hdltg	HDL-TG	HDL-TG	Triglycerides in HDL
Lu BF EU sex combined 5 SNPs	0iPlP8	HDL-TG.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	-0.0789269148433047	0.100096464685819	0.430399319196271	hdltg	Triglycerides in HDL (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	HDL triglycerides (mmol/l)	no	hdltg	HDL-TG	HDL-TG	Triglycerides in HDL
Lu BF EU sex combined 5 SNPs	0iPlP8	HDL-TG.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	0.0666404256566637	0.149583378975199	0.679002387942233	hdltg	Triglycerides in HDL (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	HDL triglycerides (mmol/l)	no	hdltg	HDL-TG	HDL-TG	Triglycerides in HDL
Lu BF EU sex combined 5 SNPs	0ttqk4	IDL-PL.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	0.823431656034334	1.04986444481118	0.490081502313185	idlpl	Phospholipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Phospholipids (mmol/l)	no	idlpl	IDL-PL	IDL-PL	Phospholipids in IDL
Lu BF EU sex combined 5 SNPs	0ttqk4	IDL-PL.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	-0.149161331851355	0.115958898514453	0.198328151685578	idlpl	Phospholipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Phospholipids (mmol/l)	no	idlpl	IDL-PL	IDL-PL	Phospholipids in IDL
