id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Lu BF EU sex combined 5 SNPs clumped	00il0k	S-VLDL-CE.txt	Lu BF EU sex combined 5 SNPs clumped	0.0558388637046549	0.0677333376327574	0.470149445142729
Lu BF EU sex combined 5 SNPs clumped	072D7f	S-VLDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs clumped	0.00648185543059616	0.0163738451426733	0.718676712425006
Lu BF EU sex combined 5 SNPs clumped	0RwczR	M-LDL-FC.txt	Lu BF EU sex combined 5 SNPs clumped	-0.144285760838107	0.168371829042471	0.454473793359865
Lu BF EU sex combined 5 SNPs clumped	0SIWOX	XS-VLDL-PL_percent.txt	Lu BF EU sex combined 5 SNPs clumped	0.082128973543423	0.0748481738160473	0.352702098029648
Lu BF EU sex combined 5 SNPs clumped	0V3CRU	M-HDL-FC.txt	Lu BF EU sex combined 5 SNPs clumped	-0.0306215178283809	0.0410651027793363	0.509969490903302
Lu BF EU sex combined 5 SNPs clumped	0zIIVt	M-HDL-TG_percent.txt	Lu BF EU sex combined 5 SNPs clumped	0.0454970754163685	0.0622001646470875	0.517453549903404
Lu BF EU sex combined 5 SNPs clumped	111JBq	XL-HDL-TG_percent.txt	Lu BF EU sex combined 5 SNPs clumped	0.0299122021777428	0.0621527156781981	0.663247229267001
Lu BF EU sex combined 5 SNPs clumped	1bo5BU	XL-HDL-FC.txt	Lu BF EU sex combined 5 SNPs clumped	0.0356135556351535	0.0418211874359586	0.45703239388504
Lu BF EU sex combined 5 SNPs clumped	1JpcCL	XL-VLDL-C.txt	Lu BF EU sex combined 5 SNPs clumped	0.0161526860371367	0.0297184474455515	0.624556803068825
Lu BF EU sex combined 5 SNPs clumped	1jPzOR	ApoBbyApoA1.txt	Lu BF EU sex combined 5 SNPs clumped	0.130229018113584	0.158255676821632	0.470877977153614
Lu BF EU sex combined 5 SNPs clumped	1PLnKw	FAw3.txt	Lu BF EU sex combined 5 SNPs clumped	-0.023929508059145	0.0164363795648032	0.241443595059547
Lu BF EU sex combined 5 SNPs clumped	1S18Ap	L-LDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs clumped	-0.0683471943848474	0.104383946850333	0.559340398224178
Lu BF EU sex combined 5 SNPs clumped	1w5Gog	CLAbyFA.txt	Lu BF EU sex combined 5 SNPs clumped	0.0315675922071588	0.0247317336800881	0.291659303311836
Lu BF EU sex combined 5 SNPs clumped	1YaFs6	PUFA.txt	Lu BF EU sex combined 5 SNPs clumped	0.000675987559856438	0.022596387037925	0.978013159135889
Lu BF EU sex combined 5 SNPs clumped	24xm1s	L-HDL-PL_percent.txt	Lu BF EU sex combined 5 SNPs clumped	0.0687134771945205	0.0920705796129945	0.50963953369526
Lu BF EU sex combined 5 SNPs clumped	2ErWpw	XS-VLDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs clumped	0.0166875794979215	0.033417903158749	0.651848627015871
Lu BF EU sex combined 5 SNPs clumped	2ESdBp	IDL-PL.txt	Lu BF EU sex combined 5 SNPs clumped	-0.0312430768947003	0.0440461978503059	0.529280742191262
Lu BF EU sex combined 5 SNPs clumped	2j9S3b	L-LDL-CE.txt	Lu BF EU sex combined 5 SNPs clumped	0.151149809075336	0.166542290026953	0.431010432842568
Lu BF EU sex combined 5 SNPs clumped	2NFvRQ	ApoB.txt	Lu BF EU sex combined 5 SNPs clumped	0.130229018113584	0.158255676821632	0.470877977153614
Lu BF EU sex combined 5 SNPs clumped	2QTj1j	M-HDL-PL.txt	Lu BF EU sex combined 5 SNPs clumped	0.0528878197933739	0.0702778660256867	0.506385141447971
Lu BF EU sex combined 5 SNPs clumped	2S85CG	S-VLDL-P.txt	Lu BF EU sex combined 5 SNPs clumped	-0.0531444283439932	0.107900412295435	0.656136223400002
Lu BF EU sex combined 5 SNPs clumped	3jGUAi	S-LDL-P.txt	Lu BF EU sex combined 5 SNPs clumped	-0.156136846011014	0.177031153458992	0.442736838430565
Lu BF EU sex combined 5 SNPs clumped	3PrVFb	XL-VLDL-P.txt	Lu BF EU sex combined 5 SNPs clumped	0.0413949153220829	0.0726692651519045	0.608787844494478
Lu BF EU sex combined 5 SNPs clumped	3qpPAU	Phe.txt	Lu BF EU sex combined 5 SNPs clumped	-0.039867193156823	0.0163870558727452	0.093092897170626
Lu BF EU sex combined 5 SNPs clumped	3UbBU7	S-HDL-TG.txt	Lu BF EU sex combined 5 SNPs clumped	0.026844797152806	0.0491918570915717	0.623222130466544
Lu BF EU sex combined 5 SNPs clumped	48WzcP	XL-VLDL-CE.txt	Lu BF EU sex combined 5 SNPs clumped	0.0161526860371367	0.0297184474455515	0.624556803068825
Lu BF EU sex combined 5 SNPs clumped	4aJ5Ps	HDL-TG.txt	Lu BF EU sex combined 5 SNPs clumped	-0.00740341066266674	0.0217918617203445	0.756452128107949
Lu BF EU sex combined 5 SNPs clumped	4B056J	IDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs clumped	0.052746177922881	0.0392592182240022	0.27168473019756
Lu BF EU sex combined 5 SNPs clumped	4mNDhe	S-LDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs clumped	-0.142061567312832	0.168479672605989	0.461038267734923
Lu BF EU sex combined 5 SNPs clumped	4N6DNt	M-HDL-L.txt	Lu BF EU sex combined 5 SNPs clumped	-0.0533801406020603	0.0626611270456997	0.45688044363412
Lu BF EU sex combined 5 SNPs clumped	4Nrzha	IDL-P.txt	Lu BF EU sex combined 5 SNPs clumped	-0.0312430768947003	0.0440461978503059	0.529280742191262
Lu BF EU sex combined 5 SNPs clumped	5cwfUi	IDL-CE_percent.txt	Lu BF EU sex combined 5 SNPs clumped	0.0550896322913665	0.0533511454981617	0.377746433173306
Lu BF EU sex combined 5 SNPs clumped	5RUg9L	S-HDL-P.txt	Lu BF EU sex combined 5 SNPs clumped	-0.131262938450674	0.144317275667401	0.430120712117768
Lu BF EU sex combined 5 SNPs clumped	6CmkRZ	Val.txt	Lu BF EU sex combined 5 SNPs clumped	-0.0155935576311424	0.0276778308273129	0.612530666926183
Lu BF EU sex combined 5 SNPs clumped	6wtZGc	XXL-VLDL-CE.txt	Lu BF EU sex combined 5 SNPs clumped	0.0187389296666504	0.0171101363754542	0.353481419728068
Lu BF EU sex combined 5 SNPs clumped	738nDs	L-HDL-P.txt	Lu BF EU sex combined 5 SNPs clumped	0.0687134771945205	0.0920705796129945	0.50963953369526
Lu BF EU sex combined 5 SNPs clumped	7IhRfb	DHA.txt	Lu BF EU sex combined 5 SNPs clumped	-0.0379853101406812	0.0164293081984844	0.103836462419627
Lu BF EU sex combined 5 SNPs clumped	80QZox	L-HDL-C_percent.txt	Lu BF EU sex combined 5 SNPs clumped	-0.0699139430935954	0.100034600570944	0.534926056547321
Lu BF EU sex combined 5 SNPs clumped	8b3kCz	DAG.txt	Lu BF EU sex combined 5 SNPs clumped	0.020464307183571	0.0320599893761317	0.568658397641198
Lu BF EU sex combined 5 SNPs clumped	8g6B64	M-LDL-TG_percent.txt	Lu BF EU sex combined 5 SNPs clumped	-0.0628368567021	0.0594294752942537	0.367967319983622
Lu BF EU sex combined 5 SNPs clumped	8j31IT	L-VLDL-TG_percent.txt	Lu BF EU sex combined 5 SNPs clumped	-0.0231066926956875	0.0191583232715736	0.314224476451212
Lu BF EU sex combined 5 SNPs clumped	8jT2l4	MUFA.txt	Lu BF EU sex combined 5 SNPs clumped	0.0218111501220875	0.025076455608196	0.448418688331354
