id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
Lu BF EU sex combined 5 SNPs clumped	00il0k	S-VLDL-CE.txt	Lu BF EU sex combined 5 SNPs clumped	MR Egger	5	-1.53735407687193	1.61445750840712	0.411225209504488
Lu BF EU sex combined 5 SNPs clumped	00il0k	S-VLDL-CE.txt	Lu BF EU sex combined 5 SNPs clumped	Weighted median	5	0.10914164122167	0.116205394494725	0.347621289606372
Lu BF EU sex combined 5 SNPs clumped	00il0k	S-VLDL-CE.txt	Lu BF EU sex combined 5 SNPs clumped	Inverse variance weighted (multiplicative random effects)	5	-0.238524220866336	0.338115052878628	0.480528476927704
Lu BF EU sex combined 5 SNPs clumped	00il0k	S-VLDL-CE.txt	Lu BF EU sex combined 5 SNPs clumped	Weighted mode	5	0.122423115838779	0.11959036529542	0.36385154811749
Lu BF EU sex combined 5 SNPs clumped	072D7f	S-VLDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs clumped	MR Egger	5	-0.293982682918797	0.390294870068037	0.506031922320231
Lu BF EU sex combined 5 SNPs clumped	072D7f	S-VLDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs clumped	Weighted median	5	-0.139837141503294	0.10364561473826	0.177277449969772
Lu BF EU sex combined 5 SNPs clumped	072D7f	S-VLDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs clumped	Inverse variance weighted (multiplicative random effects)	5	-0.143206826384515	0.0509059783522365	0.00490567422028336
Lu BF EU sex combined 5 SNPs clumped	072D7f	S-VLDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs clumped	Weighted mode	5	-0.0520716530891665	0.136304065644187	0.721871150485838
Lu BF EU sex combined 5 SNPs clumped	0RwczR	M-LDL-FC.txt	Lu BF EU sex combined 5 SNPs clumped	MR Egger	5	4.24717619069536	4.01270514965802	0.36753945661753
Lu BF EU sex combined 5 SNPs clumped	0RwczR	M-LDL-FC.txt	Lu BF EU sex combined 5 SNPs clumped	Weighted median	5	-0.0686267535588628	0.110157229720648	0.533291683772319
Lu BF EU sex combined 5 SNPs clumped	0RwczR	M-LDL-FC.txt	Lu BF EU sex combined 5 SNPs clumped	Inverse variance weighted (multiplicative random effects)	5	0.891463704879702	0.84653218022858	0.292305629468365
Lu BF EU sex combined 5 SNPs clumped	0RwczR	M-LDL-FC.txt	Lu BF EU sex combined 5 SNPs clumped	Weighted mode	5	-0.0728214037244517	0.115340700092334	0.562086262998754
Lu BF EU sex combined 5 SNPs clumped	0SIWOX	XS-VLDL-PL_percent.txt	Lu BF EU sex combined 5 SNPs clumped	MR Egger	5	-2.52998480858146	1.78395056297529	0.251164959605425
