id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	metabolite	raw.label	class	subclass	label	derived_features	INTERVAL	abbreviation1	abbreviation2	label.no.units
Lu BF EU sex combined 7 SNPs clumped	0SfE6q	LA.txt	Lu BF EU sex combined 7 SNPs clumped	MR Egger	7	-0.587145628479423	0.602213684208977	0.374348634333109	la	18:2, linoleic acid (mmol/l)	Fatty acids	Fatty acids	Linoleic acid (mmol/l)	no	la	LA	LA	18:2, linoleic acid
Lu BF EU sex combined 7 SNPs clumped	0SfE6q	LA.txt	Lu BF EU sex combined 7 SNPs clumped	Weighted median	7	-0.102234499363436	0.110390617535865	0.354385783566811	la	18:2, linoleic acid (mmol/l)	Fatty acids	Fatty acids	Linoleic acid (mmol/l)	no	la	LA	LA	18:2, linoleic acid
Lu BF EU sex combined 7 SNPs clumped	0SfE6q	LA.txt	Lu BF EU sex combined 7 SNPs clumped	Inverse variance weighted (multiplicative random effects)	7	-0.133191058937806	0.125648577874526	0.289131686592693	la	18:2, linoleic acid (mmol/l)	Fatty acids	Fatty acids	Linoleic acid (mmol/l)	no	la	LA	LA	18:2, linoleic acid
Lu BF EU sex combined 7 SNPs clumped	0SfE6q	LA.txt	Lu BF EU sex combined 7 SNPs clumped	Weighted mode	7	-0.0266457714891299	0.162571751670368	0.87519037470776	la	18:2, linoleic acid (mmol/l)	Fatty acids	Fatty acids	Linoleic acid (mmol/l)	no	la	LA	LA	18:2, linoleic acid
Lu BF EU sex combined 7 SNPs clumped	0ubNqI	M-LDL-CE.txt	Lu BF EU sex combined 7 SNPs clumped	MR Egger	7	-4.33919982487979	2.66676771409948	0.164636336608127	mldlce	Cholesterol esters in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Cholesterol esters (mmol/l)	no	mldlce	M-LDL-CE	M-LDL-CE	Cholesterol esters in medium LDL
Lu BF EU sex combined 7 SNPs clumped	0ubNqI	M-LDL-CE.txt	Lu BF EU sex combined 7 SNPs clumped	Weighted median	7	0.0305717211411213	0.105530618502265	0.772049374354011	mldlce	Cholesterol esters in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Cholesterol esters (mmol/l)	no	mldlce	M-LDL-CE	M-LDL-CE	Cholesterol esters in medium LDL
Lu BF EU sex combined 7 SNPs clumped	0ubNqI	M-LDL-CE.txt	Lu BF EU sex combined 7 SNPs clumped	Inverse variance weighted (multiplicative random effects)	7	-0.620806116184098	0.624503435012867	0.320184122892598	mldlce	Cholesterol esters in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Cholesterol esters (mmol/l)	no	mldlce	M-LDL-CE	M-LDL-CE	Cholesterol esters in medium LDL
Lu BF EU sex combined 7 SNPs clumped	0ubNqI	M-LDL-CE.txt	Lu BF EU sex combined 7 SNPs clumped	Weighted mode	7	0.0832338116122902	0.116435692602756	0.501556856827821	mldlce	Cholesterol esters in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Cholesterol esters (mmol/l)	no	mldlce	M-LDL-CE	M-LDL-CE	Cholesterol esters in medium LDL
Lu BF EU sex combined 7 SNPs clumped	151T0e	FAw3byFA.txt	Lu BF EU sex combined 7 SNPs clumped	MR Egger	7	0.482394954818494	0.345801168806081	0.221813624769584	faw3byfa	Ratio of omega-3 fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	n-3 fatty acids (%)	yes	faw3fa	FAw3/FA	FAw3byFA	Ratio of omega-3 fatty acids to total fatty acids
Lu BF EU sex combined 7 SNPs clumped	151T0e	FAw3byFA.txt	Lu BF EU sex combined 7 SNPs clumped	Weighted median	7	0.179152122980134	0.095186657296364	0.0598205636190314	faw3byfa	Ratio of omega-3 fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	n-3 fatty acids (%)	yes	faw3fa	FAw3/FA	FAw3byFA	Ratio of omega-3 fatty acids to total fatty acids
