id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
Locke BMI EU sex combined 77 SNPs clumped	0TMEVe	S-HDL-FC_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	-0.07653585512326	0.164522866669211	0.643445533065425
Locke BMI EU sex combined 77 SNPs clumped	0TMEVe	S-HDL-FC_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	-0.055417208400774	0.0616885445182483	0.369004993328426
Locke BMI EU sex combined 77 SNPs clumped	0TMEVe	S-HDL-FC_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	-0.0392511120411905	0.0670068377142481	0.558024903675289
Locke BMI EU sex combined 77 SNPs clumped	0TMEVe	S-HDL-FC_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	-0.0422005970672985	0.0745923314046958	0.573605792951273
Locke BMI EU sex combined 77 SNPs clumped	0XIVQg	XL-HDL-PL.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	-0.0962932783633306	0.155116086802419	0.537055743484711
Locke BMI EU sex combined 77 SNPs clumped	0XIVQg	XL-HDL-PL.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	-0.198719187984624	0.0640550148867979	0.00192009931390804
Locke BMI EU sex combined 77 SNPs clumped	0XIVQg	XL-HDL-PL.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	-0.124147702212436	0.0631616172260784	0.0493499090135543
Locke BMI EU sex combined 77 SNPs clumped	0XIVQg	XL-HDL-PL.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	-0.243791465364573	0.0745814165167147	0.00176425945732341
Locke BMI EU sex combined 77 SNPs clumped	0Xm73s	S-LDL-FC_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	-0.0298592573814352	0.237929851712395	0.900543543450964
Locke BMI EU sex combined 77 SNPs clumped	0Xm73s	S-LDL-FC_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	-0.0453567456943652	0.0600308897191135	0.449914977594632
