id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Yengo BMI EU sex combined 656 SNPs	03ifSF	XL-HDL-CE.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	930.156271072743	635	1.64909169066234e-13
Yengo BMI EU sex combined 656 SNPs	03ifSF	XL-HDL-CE.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	928.698086785561	634	1.71849786567091e-13
Yengo BMI EU sex combined 656 SNPs	03ifSF	XL-HDL-CE.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	931.054845854609	635	1.42556628837704e-13
Yengo BMI EU sex combined 656 SNPs	03ifSF	XL-HDL-CE.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	929.712378340996	635	1.77193427680051e-13
Yengo BMI EU sex combined 656 SNPs	03ifSF	XL-HDL-CE.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0688421246431935	635	1
Yengo BMI EU sex combined 656 SNPs	0AI3bO	M-LDL-C_percent.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	1167.28281596031	635	6.12409411644894e-34
Yengo BMI EU sex combined 656 SNPs	0AI3bO	M-LDL-C_percent.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	1167.17325055303	634	4.61829881259904e-34
Yengo BMI EU sex combined 656 SNPs	0AI3bO	M-LDL-C_percent.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	1167.28586707366	635	6.11980067881441e-34
Yengo BMI EU sex combined 656 SNPs	0AI3bO	M-LDL-C_percent.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	1167.27502491202	635	6.13507106351349e-34
Yengo BMI EU sex combined 656 SNPs	0AI3bO	M-LDL-C_percent.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0912702434577382	635	1
Yengo BMI EU sex combined 656 SNPs	0o5H1S	DAG.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	722.794717692396	635	0.00872933106245391
Yengo BMI EU sex combined 656 SNPs	0o5H1S	DAG.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	720.693964470199	634	0.00938050162272483
