id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Yengo BMI EU sex combined 941 SNPs clumped	01O7aY	Tyr.txt	Yengo BMI EU sex combined 941 SNPs clumped	0.0014924079562806	0.000928062057971297	0.108740752782845
Yengo BMI EU sex combined 941 SNPs clumped	05Crfj	XL-HDL-FC_percent.txt	Yengo BMI EU sex combined 941 SNPs clumped	-0.00106918575354938	0.000946287089301744	0.259323197017705
Yengo BMI EU sex combined 941 SNPs clumped	0e2Pyo	HDL3-C.txt	Yengo BMI EU sex combined 941 SNPs clumped	-0.00175922611248255	0.000963725822370941	0.0688088212617152
Yengo BMI EU sex combined 941 SNPs clumped	0p4sNR	XL-VLDL-C.txt	Yengo BMI EU sex combined 941 SNPs clumped	-0.00167832079699005	0.000964707258794392	0.0828104056795896
Yengo BMI EU sex combined 941 SNPs clumped	0q3Tan	S-LDL-TG_percent.txt	Yengo BMI EU sex combined 941 SNPs clumped	0.00191249192187033	0.000979542554081498	0.0517046775749198
Yengo BMI EU sex combined 941 SNPs clumped	0ul64p	XXL-VLDL-TG.txt	Yengo BMI EU sex combined 941 SNPs clumped	5.00563316973967e-05	0.000949910787539955	0.958005122598612
Yengo BMI EU sex combined 941 SNPs clumped	16OmqH	CLA.txt	Yengo BMI EU sex combined 941 SNPs clumped	-0.000486038141765585	0.00100209768249684	0.627973076885565
Yengo BMI EU sex combined 941 SNPs clumped	1hTVR1	AcAce.txt	Yengo BMI EU sex combined 941 SNPs clumped	-0.000719530423397503	0.000891826074814346	0.420340742890909
Yengo BMI EU sex combined 941 SNPs clumped	1MVISM	Crea.txt	Yengo BMI EU sex combined 941 SNPs clumped	0.000734302547417863	0.00104994914904411	0.484797832985692
Yengo BMI EU sex combined 941 SNPs clumped	1U4Gux	S-HDL-C.txt	Yengo BMI EU sex combined 941 SNPs clumped	-0.00105268708086405	0.00111195295497472	0.344461473809104
Yengo BMI EU sex combined 941 SNPs clumped	1vQAiU	M-VLDL-CE_percent.txt	Yengo BMI EU sex combined 941 SNPs clumped	-0.00114640965715252	0.0009516201108967	0.229157443923001
