id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Pulit WHR EU sex combined 316 SNPs clumped	0PwsHa	M-VLDL-TG_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00320355571074319	0.00180480818903448	0.0768998137407143
Pulit WHR EU sex combined 316 SNPs clumped	0S8dSg	IDL-FC_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.00458975876910223	0.00199396231265967	0.0220229249706859
Pulit WHR EU sex combined 316 SNPs clumped	1ASCaJ	M-VLDL-C_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.00273022872391202	0.0017458558578581	0.118900341933948
Pulit WHR EU sex combined 316 SNPs clumped	1h5JY6	M-HDL-L.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.000626850363430064	0.00176844316420122	0.723237350383335
Pulit WHR EU sex combined 316 SNPs clumped	1QPDNe	M-VLDL-PL_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.00425953880548665	0.00187562342619888	0.0238485252897781
Pulit WHR EU sex combined 316 SNPs clumped	1sS6PY	Ace.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.0023727749637917	0.00329836199291962	0.472461408525179
Pulit WHR EU sex combined 316 SNPs clumped	1t9bZS	S-LDL-FC.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00518754253738876	0.00241758572848975	0.032686960706627
Pulit WHR EU sex combined 316 SNPs clumped	21ovaF	S-LDL-FC_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00518754253738876	0.00241758572848975	0.032686960706627
Pulit WHR EU sex combined 316 SNPs clumped	2KMxds	XL-VLDL-FC.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.00272477590105241	0.00177789340519902	0.126421114382157
Pulit WHR EU sex combined 316 SNPs clumped	2lByLX	M-LDL-FC_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00473705306636076	0.00243861991338235	0.0530011946769231
Pulit WHR EU sex combined 316 SNPs clumped	2oUcOy	M-HDL-CE_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.00013506620007996	0.00195925777446171	0.945084894237336
Pulit WHR EU sex combined 316 SNPs clumped	2xNesc	MUFA.txt	Pulit WHR EU sex combined 316 SNPs clumped	2.94302294772561e-05	0.00180876279453814	0.987028967723621
Pulit WHR EU sex combined 316 SNPs clumped	3BAkJV	Alb.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.000352178478712809	0.00148392269082657	0.812561643945957
Pulit WHR EU sex combined 316 SNPs clumped	4j6pec	S-HDL-FC.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00609456080815043	0.00194067088260671	0.00185344148414996
Pulit WHR EU sex combined 316 SNPs clumped	5ep6rP	M-VLDL-L.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00242902549339351	0.00230064484662138	0.291899764223562
Pulit WHR EU sex combined 316 SNPs clumped	5VIKnp	M-LDL-P.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00565710141486231	0.00243597878281849	0.0208786294537417
