id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Pulit WHR EU sex combined 316 SNPs clumped	0Tgyju	HDL-D.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00120554972349762	0.00347858710186781	0.729264977574521
Pulit WHR EU sex combined 316 SNPs clumped	0yL59J	S-VLDL-C.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.00841106418156687	0.00291379335559825	0.00429883961993965
Pulit WHR EU sex combined 316 SNPs clumped	14673y	M-VLDL-FC_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00323686406925484	0.00289586445935058	0.264943119085637
Pulit WHR EU sex combined 316 SNPs clumped	1nlAcn	XL-VLDL-TG.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00668280739228364	0.00276392835578855	0.0164611316172627
Pulit WHR EU sex combined 316 SNPs clumped	1qta09	XS-VLDL-PL.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.00710867021184508	0.00307121097273364	0.0215957874287343
Pulit WHR EU sex combined 316 SNPs clumped	1RFgcF	L-LDL-FC_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00222758829456825	0.00364219963140016	0.541457389048268
Pulit WHR EU sex combined 316 SNPs clumped	1U5qON	L-HDL-CE_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00337681529920129	0.00301851947104219	0.26454045827849
Pulit WHR EU sex combined 316 SNPs clumped	2JD69v	UnsatDeg.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.002341508704336	0.00264706404503642	0.377396418969071
Pulit WHR EU sex combined 316 SNPs clumped	33bEts	L-LDL-CE_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.0118995882827767	0.00396379954411758	0.00300500958033555
Pulit WHR EU sex combined 316 SNPs clumped	352E84	CLAbyFA.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.000380303923186141	0.00213383042305802	0.858716538603909
Pulit WHR EU sex combined 316 SNPs clumped	3dZwXC	L-LDL-FC.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00222758829456825	0.00364219963140016	0.541457389048268
Pulit WHR EU sex combined 316 SNPs clumped	3LM9zr	S-VLDL-CE_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.00841106418156687	0.00291379335559825	0.00429883961993965
Pulit WHR EU sex combined 316 SNPs clumped	3VZBus	HDL2-C.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00326703956148546	0.00347994555756648	0.348897031637876
Pulit WHR EU sex combined 316 SNPs clumped	4e7KDK	S-LDL-L.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.0109597484648445	0.00421979345443757	0.0100595801005121
Pulit WHR EU sex combined 316 SNPs clumped	4vfJC0	XL-VLDL-C.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.00385606765962242	0.00260344325833131	0.14006063698089
Pulit WHR EU sex combined 316 SNPs clumped	4VoFxO	S-LDL-CE_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.0120390431618435	0.00400667892289357	0.00297977327734787
Pulit WHR EU sex combined 316 SNPs clumped	4X0ByI	M-VLDL-TG.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00463540660699417	0.00270538202641503	0.0881073684494308
Pulit WHR EU sex combined 316 SNPs clumped	546VIy	XS-VLDL-PL_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.00710867021184508	0.00307121097273364	0.0215957874287343
Pulit WHR EU sex combined 316 SNPs clumped	5bKdBm	XL-HDL-PL_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00453161090606213	0.00346027737001531	0.19175225054504
Pulit WHR EU sex combined 316 SNPs clumped	5eX5UE	LA.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.000380303923186141	0.00213383042305802	0.858716538603909
Pulit WHR EU sex combined 316 SNPs clumped	5JCNdV	XS-VLDL-FC_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.000133164501764167	0.00246062851573127	0.956892289351252
Pulit WHR EU sex combined 316 SNPs clumped	66mRea	IDL-P.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.00149327468133141	0.00251472645130512	0.553273942928798
Pulit WHR EU sex combined 316 SNPs clumped	6BquWC	S-LDL-FC_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	-0.010381383165112	0.0040251587291851	0.0105848343533092
Pulit WHR EU sex combined 316 SNPs clumped	79369A	S-HDL-C.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.0107730810159913	0.0033514757425472	0.00151215026855466
Pulit WHR EU sex combined 316 SNPs clumped	7mPSqw	L-VLDL-C_percent.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.00347414047180548	0.00228685746129778	0.130215011062435
Pulit WHR EU sex combined 316 SNPs clumped	92y0R5	AcAce.txt	Pulit WHR EU sex combined 316 SNPs clumped	0.000302397295793532	0.00202725174562799	0.881565018299649
