id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Shungin WHR EU sex combined 26 SNPs	05Ser7	L-HDL-P.txt	Shungin WHR EU sex combined 26 SNPs	Maximum likelihood	75.2995421172757	25	6.10484121946585e-07
Shungin WHR EU sex combined 26 SNPs	05Ser7	L-HDL-P.txt	Shungin WHR EU sex combined 26 SNPs	MR Egger	74.5075871289555	24	4.44968879620581e-07
Shungin WHR EU sex combined 26 SNPs	05Ser7	L-HDL-P.txt	Shungin WHR EU sex combined 26 SNPs	Inverse variance weighted	75.6791031885202	25	5.33945929115621e-07
Shungin WHR EU sex combined 26 SNPs	05Ser7	L-HDL-P.txt	Shungin WHR EU sex combined 26 SNPs	IVW radial	75.1051541313798	25	6.53768423098716e-07
Shungin WHR EU sex combined 26 SNPs	05Ser7	L-HDL-P.txt	Shungin WHR EU sex combined 26 SNPs	Unweighted regression	0.00436431937552687	25	1
Shungin WHR EU sex combined 26 SNPs	0LG9TO	XXL-VLDL-L.txt	Shungin WHR EU sex combined 26 SNPs	Maximum likelihood	90.6573299683327	25	2.2342093280198e-09
Shungin WHR EU sex combined 26 SNPs	0LG9TO	XXL-VLDL-L.txt	Shungin WHR EU sex combined 26 SNPs	MR Egger	92.9773309479468	24	4.60913471614259e-10
Shungin WHR EU sex combined 26 SNPs	0LG9TO	XXL-VLDL-L.txt	Shungin WHR EU sex combined 26 SNPs	Inverse variance weighted	93.7919939847334	25	6.81775527098181e-10
Shungin WHR EU sex combined 26 SNPs	0LG9TO	XXL-VLDL-L.txt	Shungin WHR EU sex combined 26 SNPs	IVW radial	89.3224475621262	25	3.68942638223994e-09
Shungin WHR EU sex combined 26 SNPs	0LG9TO	XXL-VLDL-L.txt	Shungin WHR EU sex combined 26 SNPs	Unweighted regression	0.00547357228610644	25	1
Shungin WHR EU sex combined 26 SNPs	16WSXb	FAw6byFA.txt	Shungin WHR EU sex combined 26 SNPs	Maximum likelihood	147.339239610933	25	2.60465391447012e-19
Shungin WHR EU sex combined 26 SNPs	16WSXb	FAw6byFA.txt	Shungin WHR EU sex combined 26 SNPs	MR Egger	145.40785739871	24	2.35019045463423e-19
Shungin WHR EU sex combined 26 SNPs	16WSXb	FAw6byFA.txt	Shungin WHR EU sex combined 26 SNPs	Inverse variance weighted	151.816560560707	25	3.89709442759798e-20
Shungin WHR EU sex combined 26 SNPs	16WSXb	FAw6byFA.txt	Shungin WHR EU sex combined 26 SNPs	IVW radial	145.73084436948	25	5.14095991797409e-19
Shungin WHR EU sex combined 26 SNPs	16WSXb	FAw6byFA.txt	Shungin WHR EU sex combined 26 SNPs	Unweighted regression	0.00877700248229515	25	1
Shungin WHR EU sex combined 26 SNPs	1dkASa	XL-HDL-TG_percent.txt	Shungin WHR EU sex combined 26 SNPs	Maximum likelihood	101.481634872826	25	3.52784393716888e-11
Shungin WHR EU sex combined 26 SNPs	1dkASa	XL-HDL-TG_percent.txt	Shungin WHR EU sex combined 26 SNPs	MR Egger	104.364668640625	24	5.36122715963843e-12
Shungin WHR EU sex combined 26 SNPs	1dkASa	XL-HDL-TG_percent.txt	Shungin WHR EU sex combined 26 SNPs	Inverse variance weighted	104.390955093451	25	1.13135491416975e-11
Shungin WHR EU sex combined 26 SNPs	1dkASa	XL-HDL-TG_percent.txt	Shungin WHR EU sex combined 26 SNPs	IVW radial	100.762277851867	25	4.66704540197268e-11
Shungin WHR EU sex combined 26 SNPs	1dkASa	XL-HDL-TG_percent.txt	Shungin WHR EU sex combined 26 SNPs	Unweighted regression	0.00634114069824957	25	1
