id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Shungin WHR EU sex combined 26 SNPs clumped	00fpV8	S-LDL-P.txt	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	12.8206724941507	17	0.74810567856425
Shungin WHR EU sex combined 26 SNPs clumped	00fpV8	S-LDL-P.txt	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	10.9456264175288	16	0.812828965877517
Shungin WHR EU sex combined 26 SNPs clumped	00fpV8	S-LDL-P.txt	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	12.8208889988736	17	0.748091393581557
Shungin WHR EU sex combined 26 SNPs clumped	00fpV8	S-LDL-P.txt	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	12.8206570393169	17	0.74810669826421
Shungin WHR EU sex combined 26 SNPs clumped	00fpV8	S-LDL-P.txt	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	0.00084284838397442	17	1
Shungin WHR EU sex combined 26 SNPs clumped	0RWo6u	M-VLDL-TG.txt	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	65.9863990584791	17	1.04634171619218e-07
Shungin WHR EU sex combined 26 SNPs clumped	0RWo6u	M-VLDL-TG.txt	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	64.9016363989236	16	7.65938643761318e-08
Shungin WHR EU sex combined 26 SNPs clumped	0RWo6u	M-VLDL-TG.txt	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	66.6667626181473	17	8.01968261604908e-08
Shungin WHR EU sex combined 26 SNPs clumped	0RWo6u	M-VLDL-TG.txt	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	65.8537257910805	17	1.10195182497621e-07
Shungin WHR EU sex combined 26 SNPs clumped	0RWo6u	M-VLDL-TG.txt	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	0.00402126510267253	17	1
Shungin WHR EU sex combined 26 SNPs clumped	0Y6KgY	M-VLDL-C_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	63.2612859963545	17	3.0136539916557e-07
Shungin WHR EU sex combined 26 SNPs clumped	0Y6KgY	M-VLDL-C_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	62.5003236408114	16	1.97344261321382e-07
Shungin WHR EU sex combined 26 SNPs clumped	0Y6KgY	M-VLDL-C_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	63.7021930567529	17	2.54171503243735e-07
Shungin WHR EU sex combined 26 SNPs clumped	0Y6KgY	M-VLDL-C_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	63.1175744065097	17	3.18545244860735e-07
Shungin WHR EU sex combined 26 SNPs clumped	0Y6KgY	M-VLDL-C_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	0.00381186955519036	17	1
Shungin WHR EU sex combined 26 SNPs clumped	13O6Jn	XXL-VLDL-C_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	22.4425691482161	17	0.168292351864937
Shungin WHR EU sex combined 26 SNPs clumped	13O6Jn	XXL-VLDL-C_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	21.3658306171583	16	0.164873228916447
Shungin WHR EU sex combined 26 SNPs clumped	13O6Jn	XXL-VLDL-C_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	22.4429752561602	17	0.1682778180327
Shungin WHR EU sex combined 26 SNPs clumped	13O6Jn	XXL-VLDL-C_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	22.4425468142135	17	0.168293151184878
Shungin WHR EU sex combined 26 SNPs clumped	13O6Jn	XXL-VLDL-C_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	0.00162656138263114	17	1
Shungin WHR EU sex combined 26 SNPs clumped	14PK5A	IDL-P.txt	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	17.6853560883797	17	0.408945756470047
Shungin WHR EU sex combined 26 SNPs clumped	14PK5A	IDL-P.txt	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	18.0550089654028	16	0.3206856049688
Shungin WHR EU sex combined 26 SNPs clumped	14PK5A	IDL-P.txt	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	18.0561907342963	17	0.385304266413742
Shungin WHR EU sex combined 26 SNPs clumped	14PK5A	IDL-P.txt	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	17.5711611597816	17	0.416364601030521
Shungin WHR EU sex combined 26 SNPs clumped	14PK5A	IDL-P.txt	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	0.0011540992364966	17	1
Shungin WHR EU sex combined 26 SNPs clumped	1bI8OT	S-LDL-TG_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	69.1697928998066	17	2.99589163970194e-08
Shungin WHR EU sex combined 26 SNPs clumped	1bI8OT	S-LDL-TG_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	68.8832281634438	16	1.56431904615493e-08
Shungin WHR EU sex combined 26 SNPs clumped	1bI8OT	S-LDL-TG_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	70.873745452651	17	1.52452467720733e-08
Shungin WHR EU sex combined 26 SNPs clumped	1bI8OT	S-LDL-TG_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	68.8550898926811	17	3.39245960587514e-08
Shungin WHR EU sex combined 26 SNPs clumped	1bI8OT	S-LDL-TG_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	0.00414048115461633	17	1
Shungin WHR EU sex combined 26 SNPs clumped	1hmDBC	L-HDL-CE_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	45.7838011779867	17	0.000185954556172442
Shungin WHR EU sex combined 26 SNPs clumped	1hmDBC	L-HDL-CE_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	46.2786729927903	16	8.81567475716921e-05
Shungin WHR EU sex combined 26 SNPs clumped	1hmDBC	L-HDL-CE_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	46.442768594977	17	0.000148013979465309
Shungin WHR EU sex combined 26 SNPs clumped	1hmDBC	L-HDL-CE_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	45.489337212004	17	0.000205826783856804
Shungin WHR EU sex combined 26 SNPs clumped	1hmDBC	L-HDL-CE_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	0.00281268465143063	17	1
Shungin WHR EU sex combined 26 SNPs clumped	2aJyya	FAw6byFA.txt	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	86.5566009754323	17	2.56786988976408e-11
Shungin WHR EU sex combined 26 SNPs clumped	2aJyya	FAw6byFA.txt	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	84.5507069559102	16	2.49204561702924e-11
Shungin WHR EU sex combined 26 SNPs clumped	2aJyya	FAw6byFA.txt	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	89.668319324652	17	7.01379623234078e-12
Shungin WHR EU sex combined 26 SNPs clumped	2aJyya	FAw6byFA.txt	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	85.7493447625507	17	3.59047049643651e-11
Shungin WHR EU sex combined 26 SNPs clumped	2aJyya	FAw6byFA.txt	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	0.0051088456848842	17	1
Shungin WHR EU sex combined 26 SNPs clumped	2O5mpL	HDL3-C.txt	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	20.9156083950232	17	0.230087937846349
