id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Shungin WHR EU sex combined 26 SNPs clumped	00fpV8	S-LDL-P.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.0139872404247956	0.0102141209455528	0.189789268945939
Shungin WHR EU sex combined 26 SNPs clumped	0RWo6u	M-VLDL-TG.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.0135732777427917	0.0205761769034908	0.518855419381778
Shungin WHR EU sex combined 26 SNPs clumped	0Y6KgY	M-VLDL-C_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	-0.0111973809974447	0.0201868685694404	0.586780183409002
Shungin WHR EU sex combined 26 SNPs clumped	13O6Jn	XXL-VLDL-C_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	-0.0110910934556932	0.0123491552883717	0.382435165580723
Shungin WHR EU sex combined 26 SNPs clumped	14PK5A	IDL-P.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.000350926066110998	0.0108439676595374	0.974584100268996
Shungin WHR EU sex combined 26 SNPs clumped	1bI8OT	S-LDL-TG_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.0144391957443403	0.0212352208189224	0.506246935061522
Shungin WHR EU sex combined 26 SNPs clumped	1hmDBC	L-HDL-CE_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.00416995620765391	0.0175070704934012	0.814759658492867
Shungin WHR EU sex combined 26 SNPs clumped	2aJyya	FAw6byFA.txt	Shungin WHR EU sex combined 26 SNPs clumped	-0.0231992147823293	0.0235742683187022	0.339719190874809
Shungin WHR EU sex combined 26 SNPs clumped	2O5mpL	HDL3-C.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.007348741292158	0.0115311866619974	0.532948141295031
Shungin WHR EU sex combined 26 SNPs clumped	2wuUwj	XL-HDL-PL_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	-0.0102250979017171	0.020926698221373	0.631743745248692
Shungin WHR EU sex combined 26 SNPs clumped	2XFfvF	M-HDL-CE.txt	Shungin WHR EU sex combined 26 SNPs clumped	-0.00724874603083339	0.0182240565191595	0.696065882346372
Shungin WHR EU sex combined 26 SNPs clumped	4BVi8B	S-HDL-PL.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.0173402660486718	0.0106322911630561	0.122434540250899
Shungin WHR EU sex combined 26 SNPs clumped	4d4vxR	CLA.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.00905713527284388	0.0126820384030877	0.485411107051278
Shungin WHR EU sex combined 26 SNPs clumped	4pZUh8	XL-VLDL-FC_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	-0.00867420051998653	0.0191920688950357	0.657358987429524
Shungin WHR EU sex combined 26 SNPs clumped	51yKbO	L-HDL-TG_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.00046882729911351	0.020794841370923	0.982291702942233
Shungin WHR EU sex combined 26 SNPs clumped	5cvuSj	DAGbyTG.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.00452407553462517	0.0156595498653386	0.776365945460467
Shungin WHR EU sex combined 26 SNPs clumped	5Gm9n8	TotCho.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.00114855082882926	0.0114573805119645	0.921394788281005
Shungin WHR EU sex combined 26 SNPs clumped	5idkN4	S-VLDL-PL_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	-0.00661272868948207	0.0119417666179547	0.587407328052079
Shungin WHR EU sex combined 26 SNPs clumped	5JLHxs	S-VLDL-C.txt	Shungin WHR EU sex combined 26 SNPs clumped	-0.0114399556390093	0.0195092204724701	0.565797152209002
Shungin WHR EU sex combined 26 SNPs clumped	5uCc5G	XS-VLDL-CE.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.0096006619784864	0.0137770800181161	0.495892830753597
Shungin WHR EU sex combined 26 SNPs clumped	66Gjyp	Gln.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.0251359682298072	0.0124880793318499	0.0612798248600201
Shungin WHR EU sex combined 26 SNPs clumped	6aSjpH	CLAbyFA.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.00905713527284388	0.0126820384030877	0.485411107051278
Shungin WHR EU sex combined 26 SNPs clumped	6cvnSm	S-VLDL-C_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	-0.0142681421590424	0.0197399614450409	0.480232875997581
Shungin WHR EU sex combined 26 SNPs clumped	6fIRD1	MUFA.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.0155564253339418	0.0196561788924015	0.440270549991657
Shungin WHR EU sex combined 26 SNPs clumped	6voCBo	L-LDL-PL_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.00507718306192117	0.0101794857805975	0.624731367107267
Shungin WHR EU sex combined 26 SNPs clumped	78xtdC	XS-VLDL-C_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.00330053637312853	0.0180729134057143	0.857387470845327
Shungin WHR EU sex combined 26 SNPs clumped	7bGDy6	HDL-TG.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.00316182042986794	0.0174746708255948	0.858688863982256
Shungin WHR EU sex combined 26 SNPs clumped	7D0LCV	ApoB.txt	Shungin WHR EU sex combined 26 SNPs clumped	-0.00151964054456999	0.0172173916931024	0.930763767995469
Shungin WHR EU sex combined 26 SNPs clumped	7uOzGO	XL-HDL-P.txt	Shungin WHR EU sex combined 26 SNPs clumped	-0.0102250979017171	0.020926698221373	0.631743745248692
Shungin WHR EU sex combined 26 SNPs clumped	7XUBLl	S-HDL-PL_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.0173402660486718	0.0106322911630561	0.122434540250899
Shungin WHR EU sex combined 26 SNPs clumped	89ave5	DHAbyFA.txt	Shungin WHR EU sex combined 26 SNPs clumped	0.00922491747926578	0.0142185788586994	0.525675660454962
Shungin WHR EU sex combined 26 SNPs clumped	8inPto	S-HDL-CE_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	-0.018123066640655	0.0133380877084943	0.193075283835663
Shungin WHR EU sex combined 26 SNPs clumped	8oMGHu	XL-VLDL-PL_percent.txt	Shungin WHR EU sex combined 26 SNPs clumped	-0.00722853230264914	0.0137165850837887	0.605429429317138
Shungin WHR EU sex combined 26 SNPs clumped	9FzdEk	Phe.txt	Shungin WHR EU sex combined 26 SNPs clumped	-0.00763134850660574	0.0106845015459639	0.485366358193912
