id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Pulit WHRadjBMI EU sex combined 346 SNPs	0la3Nw	TotPG.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	Maximum likelihood	560.207561606764	335	1.41973887455348e-13
Pulit WHRadjBMI EU sex combined 346 SNPs	0la3Nw	TotPG.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	MR Egger	558.867288013499	334	1.43728783793657e-13
Pulit WHRadjBMI EU sex combined 346 SNPs	0la3Nw	TotPG.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	Inverse variance weighted	560.281677319137	335	1.39829767913081e-13
Pulit WHRadjBMI EU sex combined 346 SNPs	0la3Nw	TotPG.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	IVW radial	560.148534274996	335	1.43704713400898e-13
Pulit WHRadjBMI EU sex combined 346 SNPs	0la3Nw	TotPG.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	Unweighted regression	0.0734130022780884	335	1
Pulit WHRadjBMI EU sex combined 346 SNPs	131xu5	HDL-C.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	Maximum likelihood	679.888456474808	335	1.16929370108159e-25
Pulit WHRadjBMI EU sex combined 346 SNPs	131xu5	HDL-C.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	MR Egger	674.879545235785	334	2.94863687952411e-25
Pulit WHRadjBMI EU sex combined 346 SNPs	131xu5	HDL-C.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	Inverse variance weighted	680.834606508682	335	9.17195225252983e-26
Pulit WHRadjBMI EU sex combined 346 SNPs	131xu5	HDL-C.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	IVW radial	679.430119052778	335	1.31511068270826e-25
Pulit WHRadjBMI EU sex combined 346 SNPs	131xu5	HDL-C.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	Unweighted regression	0.10753473216058	335	1
Pulit WHRadjBMI EU sex combined 346 SNPs	1uJzJw	Glc.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	Maximum likelihood	361.246792365957	335	0.155228538264279
Pulit WHRadjBMI EU sex combined 346 SNPs	1uJzJw	Glc.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	MR Egger	361.172776380924	334	0.146918007269996
Pulit WHRadjBMI EU sex combined 346 SNPs	1uJzJw	Glc.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	Inverse variance weighted	361.342710155328	335	0.15438960413797
Pulit WHRadjBMI EU sex combined 346 SNPs	1uJzJw	Glc.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	IVW radial	361.185400063322	335	0.155767153308473
Pulit WHRadjBMI EU sex combined 346 SNPs	1uJzJw	Glc.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	Unweighted regression	0.0677513538714764	335	1
Pulit WHRadjBMI EU sex combined 346 SNPs	2n474K	M-HDL-P.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	Maximum likelihood	543.233586070648	335	4.292656202626e-12
Pulit WHRadjBMI EU sex combined 346 SNPs	2n474K	M-HDL-P.txt	Pulit WHRadjBMI EU sex combined 346 SNPs	MR Egger	541.186404690035	334	5.00739852387113e-12
