id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0MCdnp	FAw3byFA.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	-0.000321815659138925	0.00138116994084185	0.815988809942747
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	1FjYfy	LAbyFA.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	7.48311942371204e-05	0.00150897763319813	0.960496177817885
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	1urSXm	M-LDL-C_percent.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0.00200447584599316	0.00237732397324527	0.40010485046559
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	2BCMsm	HDL3-C.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0.00190919046211115	0.0015549478827713	0.220903555416113
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	2XAt63	MUFA.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	-0.00104853245372541	0.00192474537586405	0.586499264409979
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	3oXTcz	XXL-VLDL-C_percent.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0.00047424205190307	0.00151942372161166	0.755262228078975
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	3Ramr0	S-LDL-L.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0.00211111177828621	0.00280212110929683	0.452062856664442
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	3VtenW	M-LDL-PL.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	-0.00166350536611341	0.00262397290158717	0.526800624473856
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	3xPmBw	M-LDL-C.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0.00176215448243534	0.00255790744033253	0.491650948621314
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	44aRCz	M-HDL-CE.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0.0022093806577073	0.00201397611383281	0.273899196563153
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	44fiL4	S-HDL-TG_percent.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	-0.00331621085220002	0.00199477484963793	0.0979290366172879
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	4RtAgm	IDL-L.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0.00181753496902124	0.0026297796613306	0.490250799495531
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	4xFWX1	L-HDL-PL_percent.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0.00246657036207329	0.00198048012982823	0.214371001490313
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	4yGqE9	M-VLDL-L.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	-0.00167481751214167	0.00244349358912745	0.493842584061692
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	5hW6oS	S-HDL-C.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0.00237389689699235	0.0020899839573805	0.257328669094821
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	6kX0oc	IDL-TG_percent.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	-0.00351592039380518	0.00189975218233295	0.0656269893472254
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	6X34Cu	M-VLDL-PL_percent.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0.00249374969367246	0.0017645388148375	0.159074434939067
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	7Czw2p	XL-HDL-C_percent.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	-0.00104389626885806	0.00198594543903537	0.59969691612043
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	7pbFDP	S-HDL-PL.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	-0.00128906873052443	0.00230800295165575	0.577089233725286
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	7pE0EY	XXL-VLDL-TG_percent.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	-0.000534633404530635	0.00156437936207665	0.732880817903431
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	7YdIcb	PUFAbyFA.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0.00149459017354361	0.00180544102772588	0.408718102353954
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	8a57VV	L-VLDL-L.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	-0.00135152994998227	0.00231979129245025	0.560787972101986
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	8N8nVx	CLAbyFA.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	7.48311942371204e-05	0.00150897763319813	0.960496177817885
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	8Ws2C4	CLA.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	7.48311942371204e-05	0.00150897763319813	0.960496177817885
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	8xbZ2z	S-LDL-PL.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	-0.00145088896435541	0.00272002238147204	0.594318844049051
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	8XgmCR	Serum-TG.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	-0.00167674863899449	0.00243848106035164	0.492458075352259
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	8XqhD6	L-LDL-FC.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0.00119900179093997	0.00253666694990195	0.636945503225726
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	93LYgR	XL-VLDL-L.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	-0.000678690943899832	0.00222565374835173	0.760716730006127
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	9Ay7pE	M-VLDL-FC.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	-0.00214002572036766	0.00190494803818539	0.262561006670251
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	9DRqMu	L-VLDL-TG_percent.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	-0.00110927503095541	0.0016743611696609	0.508380136745267
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	9GEHAc	M-HDL-CE_percent.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0.0022093806577073	0.00201397611383281	0.273899196563153
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	9HON5V	M-LDL-CE.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0.00176215448243534	0.00255790744033253	0.491650948621314
