id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0MCdnp	FAw3byFA.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	MR Egger	210	0.0393517964134705	0.0705992935772174	0.577855922453938
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0MCdnp	FAw3byFA.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Weighted median	210	0.00296587876414877	0.0513452953249226	0.953937093098747
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0MCdnp	FAw3byFA.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Inverse variance weighted (multiplicative random effects)	210	0.0247096140308297	0.0321019643486608	0.441464339650495
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	0MCdnp	FAw3byFA.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Weighted mode	210	-0.144307864275437	0.0849726971010539	0.0909421828458839
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	1FjYfy	LAbyFA.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	MR Egger	210	-0.0340971329428901	0.0771192305310684	0.658850677848546
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	1FjYfy	LAbyFA.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Weighted median	210	-0.0156954335753453	0.0596731022308973	0.79253239689778
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	1FjYfy	LAbyFA.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Inverse variance weighted (multiplicative random effects)	210	-0.0306933102493879	0.0350748884489593	0.381530737285254
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	1FjYfy	LAbyFA.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Weighted mode	210	0.0120826111306118	0.0781764843819932	0.877320846876318
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	1urSXm	M-LDL-C_percent.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	MR Egger	210	-0.247761566822444	0.121530864749686	0.0427479810747843
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	1urSXm	M-LDL-C_percent.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Weighted median	210	-0.0902366312401978	0.0561157265416034	0.107825254257931
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	1urSXm	M-LDL-C_percent.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Inverse variance weighted (multiplicative random effects)	210	-0.15653937355521	0.0553207557163718	0.00465963255064835
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	1urSXm	M-LDL-C_percent.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Weighted mode	210	-0.0933961956959486	0.0776044541207835	0.230148095383958
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	2BCMsm	HDL3-C.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	MR Egger	210	-0.0318263010767324	0.0794898041156398	0.689285964944133
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	2BCMsm	HDL3-C.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Weighted median	210	-0.0373413401209541	0.0539048310894462	0.488480796192953
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	2BCMsm	HDL3-C.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Inverse variance weighted (multiplicative random effects)	210	0.0550560841596733	0.0362573306947155	0.128893071858119
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	2BCMsm	HDL3-C.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Weighted mode	210	-0.0588378150776445	0.0628972831096718	0.350631517306049
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	2XAt63	MUFA.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	MR Egger	210	0.307061406391625	0.0983809786516557	0.00205747119580615
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	2XAt63	MUFA.txt	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Weighted median	210	0.282594471175205	0.0572369125628253	7.92210587694406e-07
