id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Shungin WHRadjBMI EU sex combined 53 SNPs	01MSq0	XL-HDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00651125451271514	0.00674618611545474	0.339196394321169
Shungin WHRadjBMI EU sex combined 53 SNPs	02MLfh	Alb.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00130581508328828	0.00475743040278991	0.784870410237288
Shungin WHRadjBMI EU sex combined 53 SNPs	0GhtE3	S-HDL-TG.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00892250651217491	0.00710881236987246	0.215383535528347
Shungin WHRadjBMI EU sex combined 53 SNPs	0txq2Y	M-LDL-C_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00290251370979413	0.00468254581830085	0.538223241827066
Shungin WHRadjBMI EU sex combined 53 SNPs	0ubykz	XL-VLDL-PL.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00426737070290848	0.0044392316204058	0.341128295987907
Shungin WHRadjBMI EU sex combined 53 SNPs	19n3Ia	M-LDL-CE.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00152764598571614	0.00390204890158291	0.697126242956987
Shungin WHRadjBMI EU sex combined 53 SNPs	1kHAn5	XL-VLDL-C.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00113088266975207	0.00615488398764789	0.854977670571735
Shungin WHRadjBMI EU sex combined 53 SNPs	1MshsV	FAw3.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00878769604857023	0.00408891699701868	0.0365884759261028
Shungin WHRadjBMI EU sex combined 53 SNPs	1vpKJc	S-VLDL-PL_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00232993907001567	0.00437851805325599	0.597040919016091
Shungin WHRadjBMI EU sex combined 53 SNPs	2K6upo	HDL-D.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00912246635882721	0.00846919890430212	0.286694751540605
Shungin WHRadjBMI EU sex combined 53 SNPs	2YeKEu	XL-HDL-TG.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00651125451271514	0.00674618611545474	0.339196394321169
Shungin WHRadjBMI EU sex combined 53 SNPs	3aC47H	L-LDL-C_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00473437913261699	0.00442169315569012	0.289542789524247
Shungin WHRadjBMI EU sex combined 53 SNPs	3djFvK	L-LDL-CE.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.0030772317904847	0.00370002575337187	0.409625231250789
Shungin WHRadjBMI EU sex combined 53 SNPs	3JHQQL	S-HDL-L.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00176032090632069	0.00485004524611362	0.718203725604655
Shungin WHRadjBMI EU sex combined 53 SNPs	3XoYYM	XXL-VLDL-P.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00313520819016597	0.00465797666425171	0.504056321039255
Shungin WHRadjBMI EU sex combined 53 SNPs	3zPB1l	S-HDL-FC_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.0036661292622085	0.00421602667386796	0.388775350403027
Shungin WHRadjBMI EU sex combined 53 SNPs	47wzlc	XS-VLDL-TG_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00938857215127486	0.0072483627293635	0.201297239620447
Shungin WHRadjBMI EU sex combined 53 SNPs	4lfkKg	XL-HDL-PL_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00803805991947024	0.00684304171048144	0.245818690135604
Shungin WHRadjBMI EU sex combined 53 SNPs	4tNGsg	L-HDL-FC_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00617076490674508	0.00781055690391175	0.43330289840173
Shungin WHRadjBMI EU sex combined 53 SNPs	50JCci	TGbyPG.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00800445945503503	0.00788643109854708	0.315107652467065
Shungin WHRadjBMI EU sex combined 53 SNPs	53lHXn	XS-VLDL-PL_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00724766030025196	0.00550721257934034	0.194287454636395
Shungin WHRadjBMI EU sex combined 53 SNPs	5O68PK	MUFAbyFA.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00544738371743468	0.00661941291536547	0.414528901167952
Shungin WHRadjBMI EU sex combined 53 SNPs	5tmurT	S-VLDL-CE.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00688999333922709	0.00595264219762886	0.252692345435268
Shungin WHRadjBMI EU sex combined 53 SNPs	6CBFHu	XS-VLDL-PL.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00724766030025196	0.00550721257934034	0.194287454636395
Shungin WHRadjBMI EU sex combined 53 SNPs	6CGuis	L-VLDL-PL.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00348007157478856	0.00392728716425306	0.379877934748981
Shungin WHRadjBMI EU sex combined 53 SNPs	6CrqNk	S-HDL-PL.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	3.1185365085177e-05	0.00433514397505266	0.994289581834228
Shungin WHRadjBMI EU sex combined 53 SNPs	7jwZgF	His.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00580092857200829	0.00391835972497417	0.145155333363349
Shungin WHRadjBMI EU sex combined 53 SNPs	7Yu6Ul	M-LDL-FC_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.000494682754205334	0.00395045454248584	0.900860364054757
Shungin WHRadjBMI EU sex combined 53 SNPs	8JkAiB	HDL3-C.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.0017942040766116	0.00389874500072055	0.647408092763304
Shungin WHRadjBMI EU sex combined 53 SNPs	8MwqO8	IDL-C_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00730194507654792	0.00562071972971592	0.19998524863436
Shungin WHRadjBMI EU sex combined 53 SNPs	8N4jkA	TotPG.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00354235839369748	0.00371716464347338	0.34528118899316
Shungin WHRadjBMI EU sex combined 53 SNPs	93Hokn	M-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00592409582724758	0.00718154849796629	0.413423339760595
