id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	MR Egger	37	-0.726559673244682	0.348041704068454	0.0441830913432468
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted median	37	-0.190507177445322	0.0787961598479069	0.0156180210896026
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Inverse variance weighted (multiplicative random effects)	37	-0.24833387222284	0.0758968236104565	0.00106792236787667
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	008GEE	L-VLDL-CE_percent.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted mode	37	-0.184963685166999	0.165731008974053	0.271796052360081
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	074MD4	Pyr.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	MR Egger	37	-0.436458988187373	0.306770000972153	0.163659195645122
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	074MD4	Pyr.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted median	37	-0.0341371077501492	0.0905715707134282	0.706242319188341
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	074MD4	Pyr.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Inverse variance weighted (multiplicative random effects)	37	0.0190645164050794	0.0671679213013581	0.776537863997815
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	074MD4	Pyr.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted mode	37	-0.0106255148004231	0.213416505545343	0.960566791078076
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	0CXZLV	XL-HDL-TG.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	MR Egger	37	0.798950026107256	0.355832601883033	0.0311672028788002
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	0CXZLV	XL-HDL-TG.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted median	37	0.255262803812529	0.0753408034211425	0.000703764618769801
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	0CXZLV	XL-HDL-TG.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Inverse variance weighted (multiplicative random effects)	37	0.287613034380531	0.0777925459136837	0.000218007882846916
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	0CXZLV	XL-HDL-TG.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted mode	37	0.196646742996282	0.176935466889476	0.273762266590871
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	0Lnh4g	M-HDL-L.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	MR Egger	37	-0.211397299574113	0.254675695378414	0.412128417659482
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	0Lnh4g	M-HDL-L.txt	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted median	37	-0.0180523829965858	0.0714112968847248	0.800427019074353
