exposure	metabolite	outcome	kettunen_b	kettunen_se	kettunen_p	interval_b	interval_se	interval_p	meta_p	observational_b	observational_se	observational_p	meta_direction
bmi	apoa1	Apolipoprotein A-I (g/l)	-0.0618925560715926	0.0191703747872741	0.00124418541103606	-0.0717537646438521	0.0142244901694552	4.54989098434076e-07	1.2619447015487e-08	-0.0345625709632782	0.00280571344483353	3.63610451152865e-34	- - - -
bmi	apob	Apolipoprotein B (g/l)	0.0786586374098992	0.019282346816054	4.51699002913312e-05	0.0772251483780377	0.015341963094892	4.81379252301033e-07	5.5559218747092e-10	0.0457019725171541	0.0032292295993295	2.93067638720611e-44	+ + + +
bmi	gln	Glutamine (mmol/l)	-0.0423559428669586	0.0166703666157813	0.0110601529862142	-0.0497065875098731	0.0129166038129086	0.000118954585453089	1.91311831718925e-05	-0.00930092766551018	0.000990693696360411	1.06586058948429e-20	- - - -
bmi	hdlc	Total cholesterol in HDL (mmol/l)	-0.106352305187485	0.0190794926016756	2.48715027449934e-08	-0.0899629668093682	0.0148147742338758	1.25920846777983e-09	1.22149070394856e-15	-0.0946313202584266	0.00497857260388596	9.59001500170037e-77	- - - -
bmi	hdld	Mean diameter for HDL particles (nm)	-0.0947962994698548	0.0194122853892578	1.04317156495256e-06	-0.104604120514125	0.0149158391910657	2.33335233943974e-12	1.01153248296339e-16	-0.0889992942346189	0.00367259666586761	4.66645652564187e-120	- - - -
bmi	idltg	Triglycerides in IDL (mmol/l)	0.0903844986022512	0.0184468644455075	9.59725909897577e-07	0.0525949680690816	0.0135440793087613	0.000103071937900083	2.37772996646885e-09	0.00650807527689197	0.000521027236324486	4.63718345707555e-35	+ + + +
bmi	ile	Isoleucine (mmol/l)	0.0986502621289355	0.0168353673224835	4.63694120033771e-09	0.0449200466513882	0.01202077301964	0.000186326390513688	2.48630738551275e-11	0.00461046625965561	0.000205739416682514	4.83640314442817e-104	+ + + +
bmi	leu	Leucine (mmol/l)	0.0706771681141139	0.0169398973105281	3.01631336869144e-05	0.0551258724487761	0.0119009549162527	3.62054710167489e-06	2.61417375921872e-09	0.00299715087842739	0.000175475730845206	6.91898936589347e-63	+ + + +
bmi	lhdlc	Total cholesterol in large HDL (mmol/l)	-0.118886128825536	0.019338253365274	7.86056106583508e-10	-0.0630279653535065	0.0136053142851403	3.61103559292097e-06	9.79146940972958e-14	-0.0664922913156549	0.00281239213723412	9.01495298554852e-115	- - - -
bmi	lhdlce	Cholesterol esters in large HDL (mmol/l)	-0.119067418140702	0.0197286713716271	1.58719052765492e-09	-0.0630279653535065	0.0136053142851403	3.61103559292097e-06	1.93680197665251e-13	-0.050652946901828	0.00215017897168272	5.10956332615613e-114	- - - -
bmi	lhdlfc	Free cholesterol in large HDL (mmol/l)	-0.117232566169072	0.0193202068001995	1.29615125010783e-09	-0.103874495111671	0.0143487178761938	4.51047717655262e-13	2.91676197193517e-20	-0.0158520340307768	0.00066381869378841	6.94050938817372e-117	- - - -
bmi	lhdll	Total lipids in large HDL (mmol/l)	-0.116785827294209	0.0198869685847816	4.29323252954244e-09	-0.0982207960251421	0.0150759720659243	7.26627451311418e-11	1.36049334607829e-17	-0.116948268757949	0.00519857612945334	8.74806302406574e-105	- - - -
