id.exposure	id.outcome	exposure	outcome	snp_r2.exposure	snp_r2.outcome	correct_causal_direction	steiger_pval
Lu BF EU sex combined 5 SNPs	00vVAP	Lu BF EU sex combined 5 SNPs	Ala.txt	0.0019628701360705	0.000121952743329801	TRUE	5.00764751364799e-08
Lu BF EU sex combined 5 SNPs	0iPlP8	Lu BF EU sex combined 5 SNPs	HDL-TG.txt	0.0019628701360705	0.000170536423112944	TRUE	3.04045340728995e-07
Lu BF EU sex combined 5 SNPs	0ttqk4	Lu BF EU sex combined 5 SNPs	IDL-PL.txt	0.0019628701360705	0.000704404888699226	TRUE	0.0035859822582263
Lu BF EU sex combined 5 SNPs	1G2fRh	Lu BF EU sex combined 5 SNPs	IDL-L.txt	0.0019628701360705	0.0107136823762921	FALSE	1.83834761408402e-22
Lu BF EU sex combined 5 SNPs	1j1xuv	Lu BF EU sex combined 5 SNPs	L-LDL-FC_percent.txt	0.0019628701360705	0.00416649147062564	FALSE	0.000884674144849383
Lu BF EU sex combined 5 SNPs	1mV9sc	Lu BF EU sex combined 5 SNPs	HDL-D.txt	0.0019628701360705	0.00195080659330865	TRUE	0.982151876340504
Lu BF EU sex combined 5 SNPs	28Ecak	Lu BF EU sex combined 5 SNPs	XS-VLDL-L.txt	0.0019628701360705	0.00729652084718374	FALSE	1.36205284042997e-11
Lu BF EU sex combined 5 SNPs	2bOtDV	Lu BF EU sex combined 5 SNPs	SFAbyFA.txt	0.0019628701360705	0.000938520634170296	TRUE	0.0249986086622308
Lu BF EU sex combined 5 SNPs	2Fdhzu	Lu BF EU sex combined 5 SNPs	M-HDL-TG.txt	0.0019628701360705	0.00145221497349683	TRUE	0.309460123700113
Lu BF EU sex combined 5 SNPs	2ixMgY	Lu BF EU sex combined 5 SNPs	L-HDL-FC.txt	0.0019628701360705	0.00201899089884423	FALSE	0.917817019638167
Lu BF EU sex combined 5 SNPs	2jBlFJ	Lu BF EU sex combined 5 SNPs	S-VLDL-FC_percent.txt	0.0019628701360705	0.000118301204208773	TRUE	4.29383809321566e-08
Lu BF EU sex combined 5 SNPs	2Uacrz	Lu BF EU sex combined 5 SNPs	S-LDL-C.txt	0.0019628701360705	0.0122909554258427	FALSE	5.37793267052344e-28
Lu BF EU sex combined 5 SNPs	3YMi9B	Lu BF EU sex combined 5 SNPs	S-VLDL-P.txt	0.0019628701360705	0.00368156494345545	FALSE	0.00718276611409543
Lu BF EU sex combined 5 SNPs	4BfnMp	Lu BF EU sex combined 5 SNPs	IDL-C.txt	0.0019628701360705	0.00113719671401021	TRUE	0.0826688752546873
Lu BF EU sex combined 5 SNPs	4RYbaz	Lu BF EU sex combined 5 SNPs	S-HDL-P.txt	0.0019628701360705	0.00910911275487126	FALSE	3.87923158086725e-17
Lu BF EU sex combined 5 SNPs	4Ve706	Lu BF EU sex combined 5 SNPs	L-LDL-PL.txt	0.0019628701360705	0.0149091795157875	FALSE	1.04745636387549e-37
Lu BF EU sex combined 5 SNPs	4ZYstD	Lu BF EU sex combined 5 SNPs	ApoBbyApoA1.txt	0.0019628701360705	0.0100762859620701	FALSE	2.62987807643923e-20
Lu BF EU sex combined 5 SNPs	5JHAer	Lu BF EU sex combined 5 SNPs	S-HDL-C_percent.txt	0.0019628701360705	0.00592690667546633	FALSE	7.79542050925386e-08
Lu BF EU sex combined 5 SNPs	5lrIap	Lu BF EU sex combined 5 SNPs	L-VLDL-CE_percent.txt	0.0019628701360705	0.000335526662279357	TRUE	2.04735597148003e-05
Lu BF EU sex combined 5 SNPs	5RJBFe	Lu BF EU sex combined 5 SNPs	M-VLDL-P.txt	0.0019628701360705	0.00143088216546618	TRUE	0.288043289974266
Lu BF EU sex combined 5 SNPs	6DkOr2	Lu BF EU sex combined 5 SNPs	M-VLDL-C_percent.txt	0.0019628701360705	0.000646753910925025	TRUE	0.00197332746811739
Lu BF EU sex combined 5 SNPs	6e7Aif	Lu BF EU sex combined 5 SNPs	M-HDL-L.txt	0.0019628701360705	0.0013996418966966	TRUE	0.258261408346816
Lu BF EU sex combined 5 SNPs	6gykXV	Lu BF EU sex combined 5 SNPs	DHA.txt	0.0019628701360705	0.000200086968598878	TRUE	7.69215334804973e-07
Lu BF EU sex combined 5 SNPs	6H21Wu	Lu BF EU sex combined 5 SNPs	XL-VLDL-C.txt	0.0019628701360705	0.000237275625889631	TRUE	2.17018693633514e-06
Lu BF EU sex combined 5 SNPs	6yU0PW	Lu BF EU sex combined 5 SNPs	XL-HDL-C.txt	0.0019628701360705	0.00321211945425899	FALSE	0.0422603338695531
Lu BF EU sex combined 5 SNPs	79xGev	Lu BF EU sex combined 5 SNPs	M-LDL-FC.txt	0.0019628701360705	0.0124384787774759	FALSE	1.58415332585501e-28
Lu BF EU sex combined 5 SNPs	7e3dhh	Lu BF EU sex combined 5 SNPs	PUFAbyFA.txt	0.0019628701360705	0.000194361268923951	TRUE	6.47751125675663e-07
Lu BF EU sex combined 5 SNPs	7j3JHr	Lu BF EU sex combined 5 SNPs	DAG.txt	0.0019628701360705	0.000318895901824467	TRUE	1.45782483852322e-05
