exposure	metabolite	fe_effect	fe_lower	fe_upper	fe_p	b	lower_ci	upper_ci	pval	q	q_df	q_p	tau2	tau2_se	tau	h	i1	raw.label	class	subclass	label	label.no.units	derived_features
BF_Lu_7	acace	0.0241104255993169	-0.110485406211168	0.158706257409802	0.725519072847622	0.0241104255993169	-0.110485406211168	0.158706257409802	0.725519072847622	0.117305435653764	1	0.731975538506551	0	0.0133386547913866	0	1	0	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	Acetoacetate (mmol/l)	Acetoacetate	no
BF_Lu_7	ace	0.00147538379344078	-0.165796638088393	0.168747405675274	0.986207333881451	0.0293800925952499	-0.210459029419097	0.269219214609597	0.810257420449016	1.36805472183047	1	0.242146390750551	0.011153124790454	0.0423534568475549	0.105608355684832	1.16963871423208	0.269035087527791	Acetate (mmol/l)	Ketone bodies	Ketone bodies	Acetate (mmol/l)	Acetate	no
BF_Lu_7	ala	0.0889888440673262	0.00564437765615999	0.172333310478492	0.0363759812716067	0.0727546583036756	-0.0531337630419993	0.198643079649351	0.25733126423906	1.73885084226569	1	0.187284498509434	0.00392276278168344	0.0116686439008653	0.0626319629397278	1.31865493676917	0.42490754486048	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	Alanine	no
BF_Lu_7	alb	-0.132421869247846	-0.249727207644003	-0.0151165308516899	0.0269297632154161	-0.132421869247846	-0.249727207644003	-0.0151165308516899	0.0269297632154161	0.195708192393088	1	0.658207602595993	0	0.0101317476609763	0	1	0	Albumin  (signal area)	Fluid balance	Fluid balance	Albumin (signal area)	Albumin	no
BF_Lu_7	apoa1	0.0701145960058881	-0.207057524175782	0.347286716187558	0.62003515377346	0.0701145960058881	-0.207057524175782	0.347286716187558	0.62003515377346	0.0950446007549195	1	0.757859358815557	0	0.05656501404092	0	1	0	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein A-I (g/l)	Apolipoprotein A-I	no
BF_Lu_7	apob	-0.56357244172382	-1.24865077153392	0.121505888086282	0.106887181718209	-0.56357244172382	-1.24865077153392	0.121505888086282	0.106887181718209	0.121371951595004	1	0.727551234854785	0	0.345564620276668	0	1	0	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein B (g/l)	Apolipoprotein B	no
BF_Lu_7	crea	-0.0128726545137071	-0.0955883778675382	0.0698430688401239	0.760351018478876	-0.017082831048483	-0.112962663515253	0.0787970014182871	0.726935281901838	1.26154409201498	1	0.261359017303828	0.00108633977881562	0.0067686700540764	0.0329596689730892	1.12318479869298	0.207320611043595	Creatinine (mmol/l)	Fluid balance	Fluid balance	Creatinine (mmol/l)	Creatinine	no
BF_Lu_7	dha	0.107728678864028	-0.0385169733642721	0.253974331092328	0.148805135402264	0.107728678864028	-0.0385169733642721	0.253974331092328	0.148805135402264	0.189001666293598	1	0.663748823978564	0	0.0157476131981469	0	1	0	22:6, docosahexaenoic acid (mmol/l)	Fatty acids	Fatty acids	Docosahexaenoic acid (mmol/l)	Docosahexaenoic acid	no
BF_Lu_7	estc	-0.424056048312343	-1.01565461985291	0.16754252322822	0.16005214822487	-0.424056048312343	-1.01565461985291	0.16754252322822	0.16005214822487	0.0512530895830809	1	0.820896975603696	0	0.257693251195867	0	1	0	Esterified cholesterol (mmol/l)	Cholesterol	Cholesterol	Esterified cholesterol (mmol/l)	Esterified C	no
BF_Lu_7	falen	0.101075836078155	-0.14319430875213	0.345345980908439	0.417361178145324	0.101075836078155	-0.14319430875213	0.345345980908439	0.417361178145324	0.108153912876285	1	0.742255748084188	0	0.0439328716128745	0	1	0	Estimated description of fatty acid chain length, not actual carbon number	Fatty acids	Fatty acids	Fatty acid chain length	Fatty acid chain length	no
