exposure	metabolite	fe_effect	fe_lower	fe_upper	fe_p	b	lower_ci	upper_ci	pval	q	q_df	q_p	tau2	tau2_se	tau	h	i1	raw.label	class	subclass	label	label.no.units	derived_features
BMI_Yengo_941	acace	0.01037815639784	-0.00921062123658119	0.0299669340322613	0.299088001611203	0.01037815639784	-0.00921062123658119	0.0299669340322613	0.299088001611203	0.257543963552595	1	0.61181252779049	0	0.000282529293870968	0	1	0	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	Acetoacetate (mmol/l)	Acetoacetate	no
BMI_Yengo_941	ace	-0.0355173344514956	-0.062991870817514	-0.00804279808547714	0.0112859878596079	-0.0239376694283699	-0.0872873172815924	0.0394119784248526	0.458933894533627	4.13021125987205	1	0.0421240917643895	0.00161111752406675	0.00295486212683589	0.0401387284809416	2.03229211971903	0.75788163435713	Acetate (mmol/l)	Ketone bodies	Ketone bodies	Acetate (mmol/l)	Acetate	no
BMI_Yengo_941	ala	0.00853092519403482	-0.0112889775603882	0.0283508279484579	0.398886303459859	0.00853092519403482	-0.0112889775603882	0.0283508279484579	0.398886303459859	1.03668807917368	1	0.308592990000982	0	0.000289235669172878	0	1.01817880510924	0.0353896990914796	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	Alanine	no
BMI_Yengo_941	alb	-0.0222067883666919	-0.0418534586279888	-0.00256011810539495	0.0267351621629509	-0.0222067883666919	-0.0418534586279888	-0.00256011810539495	0.0267351621629509	0.962205438077858	1	0.326631844072406	0	0.000284201734395373	0	1	0	Albumin  (signal area)	Fluid balance	Fluid balance	Albumin (signal area)	Albumin	no
BMI_Yengo_941	apoa1	-0.0682522891026104	-0.0906419311895101	-0.0458626470157107	2.30473951057675e-09	-0.0682522891026104	-0.0906419311895101	-0.0458626470157107	2.30473951057675e-09	0.17064432977407	1	0.679539805199224	0	0.000369099208389274	0	1	0	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein A-I (g/l)	Apolipoprotein A-I	no
BMI_Yengo_941	apob	0.0777808419851256	0.0542500538089348	0.101311630161316	9.25492926743761e-11	0.0777808419851256	0.0542500538089348	0.101311630161316	9.25492926743761e-11	0.00338416825107166	1	0.953610345728345	0	0.000407682209581129	0	1	0	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein B (g/l)	Apolipoprotein B	no
BMI_Yengo_941	crea	0.0206434065420698	-0.00103286058435748	0.0423196736684971	0.0619612514240619	0.0206434065420698	-0.00103286058435748	0.0423196736684971	0.0619612514240619	0.00298385342356788	1	0.956437492659189	0	0.000345953556965446	0	1	0	Creatinine (mmol/l)	Fluid balance	Fluid balance	Creatinine (mmol/l)	Creatinine	no
BMI_Yengo_941	dha	-0.00735625385954098	-0.0288655831667757	0.0141530754476937	0.502657998100371	-0.00735625385954098	-0.0288655831667757	0.0141530754476937	0.502657998100371	0.462112094550605	1	0.496638533816097	0	0.000340645415736829	0	1	0	22:6, docosahexaenoic acid (mmol/l)	Fatty acids	Fatty acids	Docosahexaenoic acid (mmol/l)	Docosahexaenoic acid	no
BMI_Yengo_941	estc	-0.00423689600834303	-0.028058695767087	0.019584903750401	0.727393278097555	-0.00423689600834303	-0.028058695767087	0.019584903750401	0.727393278097555	0.467215817030694	1	0.494270819005818	0	0.000417828395250354	0	1	0	Esterified cholesterol (mmol/l)	Cholesterol	Cholesterol	Esterified cholesterol (mmol/l)	Esterified C	no
BMI_Yengo_941	falen	0.0272217427232012	0.00516607930552612	0.0492774061408764	0.0155613285332398	0.00848425838410697	-0.0838903800556562	0.10085889682387	0.857140619494798	14.2930251198008	1	0.000156443485790878	0.0041365471354105	0.00628281561665668	0.0643159943980539	3.78061173883286	0.930035804763636	Estimated description of fatty acid chain length, not actual carbon number	Fatty acids	Fatty acids	Fatty acid chain length	Fatty acid chain length	no
BMI_Yengo_941	faw3	0.00148707685479171	-0.0200778032461593	0.0230519569557427	0.89248874946462	0.00148707685479171	-0.0200778032461593	0.0230519569557427	0.89248874946462	1.08590859241073	1	0.297379513689921	0	0.000342407214882698	0	1.04206937984509	0.0791121766704262	Omega-3 fatty acids (mmol/l)	Fatty acids	Fatty acids	n-3 fatty acids (mmol/l)	n-3 fatty acids	no
BMI_Yengo_941	faw6	-0.0375645905332857	-0.0596562366499587	-0.0154729444166128	0.000860018144346778	-0.0224321540580901	-0.0968620371072214	0.0519977289910413	0.554717106962848	9.07687937040037	1	0.00258861404642641	0.002573443020333	0.00407890400599364	0.0507291141291961	3.01278598151285	0.889829977992107	Omega-6 fatty acids (mmol/l)	Fatty acids	Fatty acids	n-6 fatty acids (mmol/l)	n-6 fatty acids	no
BMI_Yengo_941	freec	-0.00179516604613167	-0.0250519310805979	0.0214615989883346	0.87974882906581	-0.00179516604613167	-0.0250519310805979	0.0214615989883346	0.87974882906581	0.213974275165261	1	0.643670082148697	0	0.000398242331467676	0	1	0	Free cholesterol (mmol/l)	Cholesterol	Cholesterol	Free cholesterol (mmol/l)	Free C	no
BMI_Yengo_941	glc	0.0175767474131098	-0.00406407346266552	0.0392175682888851	0.111409572915855	0.017889681575587	-0.00706471989817629	0.0428440830493503	0.159995093832126	1.41330713259172	1	0.234508165349825	7.98186595495511e-05	0.000458503998270991	0.0089341289194611	1.18882594713933	0.292439713251712	Glucose (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Glucose (mmol/l)	Glucose	no
BMI_Yengo_941	gln	-0.046949083635328	-0.0669613637923975	-0.0269368034782585	4.2635648031048e-06	-0.046949083635328	-0.0669613637923975	-0.0269368034782585	4.2635648031048e-06	0.121486751935396	1	0.727427548050774	0	0.000294877719761955	0	1	0	Glutamine (mmol/l)	Amino acids	Amino acids	Glutamine (mmol/l)	Glutamine	no
BMI_Yengo_941	hdlc	-0.0961275998910665	-0.11906244426934	-0.0731927555127924	2.12404361877929e-16	-0.0961275998910665	-0.11906244426934	-0.0731927555127924	2.12404361877929e-16	0.460322940359637	1	0.497473085252753	0	0.000387293676998657	0	1	0	Total cholesterol in HDL (mmol/l)	Cholesterol	Cholesterol	HDL cholesterol (mmol/l)	HDL C	no
BMI_Yengo_941	hdld	-0.100963211619058	-0.124145237068274	-0.0777811861698432	1.38819357551724e-17	-0.100963211619058	-0.124145237068274	-0.0777811861698432	1.38819357551724e-17	0.160498507852229	1	0.688697966962511	0	0.00039568680493237	0	1	0	Mean diameter for HDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	HDL particle size (nm)	HDL particles size	no
