exposure	metabolite	fe_effect	fe_lower	fe_upper	fe_p	b	lower_ci	upper_ci	pval	q	q_df	q_p	tau2	tau2_se	tau	h	i1	raw.label	class	subclass	label	label.no.units	derived_features
WHR_Pulit_316	acace	0.00632297276437896	-0.0419804160715535	0.0546263616003114	0.797517155033156	0.00632297276437896	-0.0419804160715535	0.0546263616003114	0.797517155033156	0.889149979579202	1	0.345707759336611	0	0.00171792426103102	0	1	0	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	Acetoacetate (mmol/l)	Acetoacetate	no
WHR_Pulit_316	ace	-0.0846152916149309	-0.151162365905952	-0.0180682173239096	0.0126985118953524	-0.0846152916149309	-0.151162365905952	-0.0180682173239096	0.0126985118953524	0.329059325058367	1	0.566213517236915	0	0.0032606692274061	0	1	0	Acetate (mmol/l)	Ketone bodies	Ketone bodies	Acetate (mmol/l)	Acetate	no
WHR_Pulit_316	ala	0.0541440570123193	0.00574861707312416	0.102539496951514	0.0283234585967029	0.0541440570123193	0.00574861707312416	0.102539496951514	0.0283234585967029	0.149884394062472	1	0.698645859948879	0	0.00172447814915143	0	1	0	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	Alanine	no
WHR_Pulit_316	alb	0.00258802379708829	-0.047633584590106	0.0528096321842825	0.919549654264597	0.00258802379708829	-0.047633584590106	0.0528096321842825	0.919549654264597	0.00105564055351087	1	0.974080794206308	0	0.0018570775757419	0	1	0	Albumin  (signal area)	Fluid balance	Fluid balance	Albumin (signal area)	Albumin	no
WHR_Pulit_316	apoa1	-0.166353290170863	-0.225055043278535	-0.107651537063191	2.78745184708544e-08	-0.166353290170863	-0.225055043278535	-0.107651537063191	2.78745184708544e-08	0.448031702325382	1	0.503271152582526	0	0.00253717810221808	0	1	0	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein A-I (g/l)	Apolipoprotein A-I	no
WHR_Pulit_316	apob	0.276674973536111	0.196977529993031	0.35637241707919	1.01650926375201e-11	0.276674973536111	0.196977529993031	0.35637241707919	1.01650926375201e-11	0.39485206369084	1	0.529759913840092	0	0.00467667933719608	0	1	0	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein B (g/l)	Apolipoprotein B	no
WHR_Pulit_316	crea	0.026705278047942	-0.0278683220503789	0.0812788781462629	0.337509816635796	0.026705278047942	-0.0278683220503789	0.0812788781462629	0.337509816635796	0.298688686394191	1	0.584705666766813	0	0.00219287572405905	0	1	0	Creatinine (mmol/l)	Fluid balance	Fluid balance	Creatinine (mmol/l)	Creatinine	no
WHR_Pulit_316	dha	-0.00732409392049968	-0.061231202088092	0.0465830142470927	0.790015353012835	-0.00732409392049968	-0.061231202088092	0.0465830142470927	0.790015353012835	0.749795323833648	1	0.386541040191017	0	0.00213964085143984	0	1	0	22:6, docosahexaenoic acid (mmol/l)	Fatty acids	Fatty acids	Docosahexaenoic acid (mmol/l)	Docosahexaenoic acid	no
WHR_Pulit_316	estc	0.0266074327552879	-0.0455442736393211	0.0987591391498968	0.469816763534729	0.0266074327552879	-0.0455442736393211	0.0987591391498968	0.469816763534729	0.272959540068467	1	0.601353361760936	0	0.00383302829135388	0	1	0	Esterified cholesterol (mmol/l)	Cholesterol	Cholesterol	Esterified cholesterol (mmol/l)	Esterified C	no
WHR_Pulit_316	falen	0.125144217642118	0.0655357568720708	0.184752678412164	3.87479612989009e-05	0.0712134485251035	-0.26707085778667	0.409497754836877	0.679900373765735	28.8477493760055	1	7.82968281526912e-08	0.0575207942573294	0.0842582650487349	0.239834931270091	5.37101008898749	0.9653352506996	Estimated description of fatty acid chain length, not actual carbon number	Fatty acids	Fatty acids	Fatty acid chain length	Fatty acid chain length	no
WHR_Pulit_316	faw3	0.0178471948715598	-0.0358318891790381	0.0715262789221577	0.514628378404957	0.0428639376155565	-0.0876054047568624	0.173333279987975	0.519627535464254	4.6002147884041	1	0.0319679508662815	0.00701471121419049	0.0125333093205051	0.083753872830995	2.14481113117312	0.782618845858952	Omega-3 fatty acids (mmol/l)	Fatty acids	Fatty acids	n-3 fatty acids (mmol/l)	n-3 fatty acids	no
WHR_Pulit_316	faw6	-0.222482314125478	-0.285455238870102	-0.159509389380855	4.37453978318242e-12	-0.136085841781172	-0.531665035408633	0.25949335184629	0.500145834372603	31.7548271612106	1	1.74913986850574e-08	0.0789205239129226	0.115216769237952	0.280927969260668	5.63514215980489	0.968508724833447	Omega-6 fatty acids (mmol/l)	Fatty acids	Fatty acids	n-6 fatty acids (mmol/l)	n-6 fatty acids	no
WHR_Pulit_316	freec	-0.0110828888889501	-0.0802668689797732	0.058101091201873	0.753539774849831	-0.0110828888889501	-0.0802668689797732	0.058101091201873	0.753539774849831	0.32647670505298	1	0.567741134043848	0	0.00352419472962633	0	1	0	Free cholesterol (mmol/l)	Cholesterol	Cholesterol	Free cholesterol (mmol/l)	Free C	no
WHR_Pulit_316	glc	0.0834560950049099	0.0300982262750908	0.136813963734729	0.00217273777085707	0.0834560950049099	0.0300982262750908	0.136813963734729	0.00217273777085707	0.222331904590666	1	0.637268839557911	0	0.00209626295686398	0	1	0	Glucose (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Glucose (mmol/l)	Glucose	no
WHR_Pulit_316	gln	-0.156918024018335	-0.205223772845836	-0.108612275190834	1.92996077585787e-10	-0.156918024018335	-0.205223772845836	-0.108612275190834	1.92996077585787e-10	0.777483137669515	1	0.3779119926836	0	0.00171809213272328	0	1	0	Glutamine (mmol/l)	Amino acids	Amino acids	Glutamine (mmol/l)	Glutamine	no
