exposure	outcome	kettunen_b	kettunen_se	kettunen_p	interval_b	interval_se	interval_p	raw.label	class	subclass	chisq	df	p	meta_direction
BF_Lu_7	acace	0.0538831516536337	0.110778822059558	0.626681462246391	0.00552953292141056	0.0875146438271579	0.949619915719334	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	1.03802073059641	4	0.903977039276089	+ +
BF_Lu_7	ace	-0.0387795459841165	0.0920209790371793	0.673447901637426	0.249009364983118	0.228189011098116	0.275166542293658	Acetate (mmol/l)	Ketone bodies	Ketone bodies	3.37144679412815	4	0.497692290364328	- +
BF_Lu_7	ala	-0.016929877698482	0.0908833043771607	0.852224019287439	0.118674521082368	0.0481139732484076	0.0136429595331012	Alanine (mmol/l)	Amino acids	Amino acids	8.90887505762532	4	0.0634179695716257	- +
BF_Lu_7	alb	-0.0414388520888249	0.214190644150037	0.846593135606731	-0.140127142457451	0.0623324720156836	0.0245723587060701	Albumin  (signal area)	Fluid balance	Fluid balance	7.74533631348276	4	0.101365093409245	- -
BF_Lu_7	apoa1	-0.0125131461236374	0.30303206083508	0.967062199760828	0.0931186549123532	0.159892418689169	0.560308609964524	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	1.22552004204378	4	0.873879302239547	- +
BF_Lu_7	apob	-0.468055698163231	0.444226992502724	0.292047387267304	-0.718819402190605	0.566339356680953	0.204356210769342	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	5.63745976269826	4	0.227908281334248	- -
BF_Lu_7	crea	0.0181931785218916	0.0504576653091682	0.718425984800432	-0.0851994780862383	0.076990181946437	0.268454869213554	Creatinine (mmol/l)	Fluid balance	Fluid balance	3.29153011259168	4	0.510275355319627	+ -
BF_Lu_7	dha	0.0401639143448996	0.172394148022858	0.815779072392355	0.123303214649567	0.0827694255798199	0.136298045308627	22:6, docosahexaenoic acid (mmol/l)	Fatty acids	Fatty acids	4.39304597354316	4	0.355418491559326	+ +
BF_Lu_7	estc	-0.372995166332551	0.376792383389621	0.322212120090185	-0.515507328503942	0.504258066034534	0.306634891391172	Esterified cholesterol (mmol/l)	Cholesterol	Cholesterol	4.62928542056773	4	0.327491600305494	- -
BF_Lu_7	falen	0.0832802666578457	0.135867611556308	0.539908358752318	0.195476477459431	0.312930193664728	0.532191078952714	Estimated description of fatty acid chain length, not actual carbon number	Fatty acids	Fatty acids	2.49421708600587	4	0.645671611858949	+ +
BF_Lu_7	faw3	-0.0950672437121421	0.198030224468804	0.631181662834338	0.152034265135884	0.0553204546998611	0.00599148827354638	Omega-3 fatty acids (mmol/l)	Fatty acids	Fatty acids	11.1551539983482	4	0.0248745382515775	- +
BF_Lu_7	faw6	-0.386627228844293	0.365855527427962	0.290613969807394	0.164372697265578	0.269062754361673	0.541260222281671	Omega-6 fatty acids (mmol/l)	Fatty acids	Fatty acids	3.6992291402456	4	0.44823805113915	- +
BF_Lu_7	freec	-0.321236538496146	0.339435540468477	0.343952501844911	-0.414520253057173	0.422985559885421	0.327092648730196	Free cholesterol (mmol/l)	Cholesterol	Cholesterol	4.3695270518786	4	0.358299702190755	- -
BF_Lu_7	glc	0.207653797734258	0.092397490645378	0.0246146980484313	-0.0334147608954204	0.0935167203749288	0.720857330918878	Glucose (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	8.06345114154314	4	0.0892813562340704	+ -
BF_Lu_7	gln	0.00352474013289969	0.128388358729719	0.978097839081174	0.0433090444097415	0.125496481732051	0.730017944092028	Glutamine (mmol/l)	Amino acids	Amino acids	0.673663476369011	4	0.954536593901002	+ +
BF_Lu_7	hdlc	0.231375241449325	0.254578361399497	0.363425789048877	0.294600338115882	0.26388458735882	0.264251626736882	Total cholesterol in HDL (mmol/l)	Cholesterol	Cholesterol	4.68606731544784	4	0.321051098803553	+ +
BF_Lu_7	hdld	0.386949349406748	0.255348635812952	0.129677057985623	0.395272616817762	0.317305291096391	0.212868285349455	Mean diameter for HDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	7.17957954344966	4	0.126697167220692	+ +
BF_Lu_7	his	-0.159854508004206	0.167248798949652	0.339179010913533	-0.0885949287642728	0.0488687627124629	0.0698448824216321	Histidine (mmol/l)	Amino acids	Amino acids	7.48541143280906	4	0.112354310170175	- -
BF_Lu_7	idlc	-0.582005360705098	0.440566836788257	0.186488824407823	-0.0425380018829775	0.209155600310354	0.838838270378706	Total cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	3.71024264056338	4	0.446637942723969	- -
BF_Lu_7	idlfc	-0.315140559599803	0.35769066224886	0.378294992307177	-0.0456367150287042	0.322880510863149	0.887599434142454	Free cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	2.18263142045515	4	0.702210321961532	- -
BF_Lu_7	idll	-0.604967748633536	0.442700962895528	0.171770119533632	-0.631808498386856	0.576606588794001	0.273194398444152	Total lipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	6.11833973086865	4	0.190483180553953	- -
BF_Lu_7	idlp	-0.609671819434359	0.436619863099831	0.16261072766526	0.196479755511824	0.170366945142576	0.248797969150944	Concentration of IDL particles (mol/l)	Lipoprotein subclasses	IDL	6.41502037794129	4	0.170224160340605	- +
BF_Lu_7	idlpl	-0.334426082729883	0.373665945821055	0.370794153403874	0.196479755511824	0.170366945142576	0.248797969150944	Phospholipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	4.76644458732196	4	0.312111839025811	- +
BF_Lu_7	idltg	-0.544452678159855	0.385007059544106	0.157321719388134	0.0280386769399375	0.30231915743312	0.926105918425944	Triglycerides in IDL (mmol/l)	Lipoprotein subclasses	IDL	3.8524581407308	4	0.426341554453409	- +
BF_Lu_7	ile	-0.210045460269417	0.223458174520125	0.347229551862743	-0.0753518303084847	0.187393253452376	0.687606493477852	Isoleucine (mmol/l)	Amino acids	Branched-chain amino acids	2.86461549367784	4	0.580731217241246	- -
BF_Lu_7	la	-0.456862998310297	0.393964554615909	0.246189264633014	-0.133191058937806	0.125648577874526	0.289131686592693	18:2, linoleic acid (mmol/l)	Fatty acids	Fatty acids	5.28505540427421	4	0.259279191650196	- -
BF_Lu_7	lac	0.0324916951867444	0.0683343665758569	0.634444149326775	-0.0467015055163949	0.123410573441107	0.705115746358987	Lactate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	1.60879865848161	4	0.807209876571082	+ -
BF_Lu_7	ldlc	-0.432722314783104	0.470381768983728	0.357604880802397	-0.679095318613025	0.658316327196492	0.302276487109357	Total cholesterol in LDL (mmol/l)	Cholesterol	Cholesterol	4.44947949442057	4	0.348580007365602	- -
BF_Lu_7	ldld	0.336129920315113	0.216071664796765	0.119793505948236	0.39109675440988	0.380666775819511	0.304232511393067	Mean diameter for LDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	6.62389766404424	4	0.157149316530767	+ +
BF_Lu_7	leu	-0.11096639925443	0.204291524563741	0.587008136927232	0.00366051208323811	0.176628427288617	0.983465532341179	Leucine (mmol/l)	Amino acids	Branched-chain amino acids	1.0987785700949	4	0.89446595117285	- +
BF_Lu_7	lhdlc	0.315161774078086	0.282205321074151	0.264087620886042	0.447651270451186	0.355620707792175	0.208106721872125	Total cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	5.8023571570933	4	0.214402568173338	+ +
BF_Lu_7	lhdlce	0.523595533906161	0.31048655959798	0.0917243610775257	0.447651270451186	0.355620707792175	0.208106721872125	Cholesterol esters in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	7.9173430386729	4	0.0946533836094833	+ +
BF_Lu_7	lhdlfc	0.245395891405866	0.266579137361755	0.357292340225213	0.388232885350129	0.340797769573683	0.254624558894792	Free cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	4.7943321778558	4	0.309058559183356	+ +
BF_Lu_7	lhdll	0.516947335096815	0.304403311944875	0.0894640514211812	0.415713229919928	0.347358739915847	0.231390927080622	Total lipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	7.75513013658269	4	0.10097130268308	+ +
BF_Lu_7	lhdlp	0.511634646661726	0.299027281221303	0.087081749622594	-0.375859436652111	0.331149675552306	0.25636955527013	Concentration of large HDL particles (mol/l)	Lipoprotein subclasses	Large HDL	7.60408650174073	4	0.107206141029128	+ -
BF_Lu_7	lhdlpl	0.530796597952112	0.297406522824275	0.0743017096423081	-0.375859436652111	0.331149675552306	0.25636955527013	Phospholipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	7.9215132354284	4	0.0944959460147922	+ -
BF_Lu_7	lldlc	-0.357724570030767	0.418253273803762	0.392394952692729	-0.620761696918295	0.626461535477758	0.321733662918363	Total cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	4.13903524705576	4	0.387516364481272	- -
BF_Lu_7	lldlce	-0.70437844578909	0.505042160244024	0.163108627716546	-0.620761696918295	0.626461535477758	0.321733662918363	Cholesterol esters in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	5.89474016385275	4	0.207148256561846	- -
BF_Lu_7	lldlfc	-0.325106848577793	0.404766550266295	0.421861493565667	0.565368051629591	0.377685602847193	0.134412064233672	Free cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	5.73984664879561	4	0.21943732328354	- +
BF_Lu_7	lldll	-0.707506735298441	0.509674230410098	0.165089909059801	-0.672990644328976	0.629065669165491	0.284697754410374	Total lipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	6.11518444477713	4	0.19070978182695	- -
BF_Lu_7	lldlp	-0.706548777049671	0.506611293875326	0.163119422771124	0.786666265149227	0.676179471336166	0.244667808395454	Concentration of large LDL particles (mol/l)	Lipoprotein subclasses	Large LDL	6.44225312795734	4	0.168465463722458	- +
BF_Lu_7	lldlpl	-0.35214626922655	0.410360380245567	0.390815683593751	0.786666265149227	0.676179471336166	0.244667808395454	Phospholipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	4.69474620035621	4	0.320075872046293	- +
BF_Lu_7	lvldlc	-0.278179987744756	0.260172484816003	0.284973382328504	0.148681982074039	0.193523442188255	0.44231535424423	Total cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	4.14218335715374	4	0.387105278856477	- +
BF_Lu_7	lvldlce	-0.598363101821623	0.255748607613574	0.0193016426999472	0.148681982074039	0.193523442188255	0.44231535424423	Cholesterol esters in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	9.52659450573914	4	0.0492036484764154	- +
BF_Lu_7	lvldlfc	-0.251024059494245	0.267140331712678	0.347386274098596	-0.276039746981837	0.148336550242457	0.0627580516150929	Free cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	7.6515726658658	4	0.105208346669169	- -
BF_Lu_7	lvldll	-0.498852184395226	0.287053864305725	0.0822399332696557	-0.411066294671367	0.273321076412069	0.132589472611394	Total lipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	9.03722377027693	4	0.0601757683647993	- -
BF_Lu_7	lvldlp	-0.566076705439217	0.260518355238283	0.0297888930474473	-0.384171677527868	0.384720287343399	0.318001098755217	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	9.31864022495661	4	0.0536101775670171	- -
BF_Lu_7	lvldlpl	-0.308586371288361	0.286831867535335	0.281996987311979	-0.384171677527868	0.384720287343399	0.318001098755217	Phospholipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	4.82311866478958	4	0.305932783356161	- -
BF_Lu_7	lvldltg	-0.260747014973227	0.26735920552315	0.329427084584468	0.0568513448097364	0.156768208602244	0.716869433471138	Triglycerides in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	2.8865235934864	4	0.576991439839021	- +
BF_Lu_7	mhdlc	0.343788806790924	0.247493648429412	0.164808019736914	0.419122083105422	0.282100970802149	0.13735410927572	Total cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	7.57633389569464	4	0.108390016515003	+ +
BF_Lu_7	mhdlce	0.55712816409577	0.251998280043153	0.027046840003285	0.419122083105422	0.282100970802149	0.13735410927572	Cholesterol esters in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	11.1907560994067	4	0.0245017939541953	+ +
BF_Lu_7	mhdlfc	0.260409821045427	0.215684042099792	0.227290791693894	0.143563789122309	0.20191429574758	0.477075873223146	Free cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	4.44320959602372	4	0.349334564608749	+ +
BF_Lu_7	mhdll	0.454646638212431	0.231693968856367	0.0497307998812022	0.191474193715247	0.231851162762289	0.408889404682636	Total lipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	7.79088277121737	4	0.0995458493977764	+ +
BF_Lu_7	mhdlp	0.410317784938374	0.221633807228521	0.0641217887335294	-0.31187175142674	0.258603920549319	0.227824314454463	Concentration of medium HDL particles (mol/l)	Lipoprotein subclasses	Medium HDL	8.45230310533494	4	0.0763462483350991	+ -
BF_Lu_7	mhdlpl	0.28433309310712	0.204639638683699	0.164701082711113	-0.31187175142674	0.258603920549319	0.227824314454463	Phospholipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	6.56560713134987	4	0.160703258132696	+ -
BF_Lu_7	mldlc	-0.41248491009222	0.449997026314877	0.359331740632022	-0.620806116184098	0.624503435012868	0.320184122892598	Total cholesterol in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	4.32473662637694	4	0.363837805440042	- -
BF_Lu_7	mldlce	-0.757957196336689	0.520699232273132	0.145488676672633	-0.620806116184098	0.624503435012868	0.320184122892598	Cholesterol esters in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	6.13303216714742	4	0.189431186976711	- -
BF_Lu_7	mldll	-0.774781204594705	0.530891307156064	0.144455859009038	-0.711737152651619	0.66128405330224	0.281795051692385	Total lipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	6.40271306279546	4	0.171024394528926	- -
BF_Lu_7	mldlp	-0.77082452708091	0.526118822099796	0.142889571289691	0.65958618991726	0.642360877526765	0.30450728754581	Concentration of medium LDL particles (mol/l)	Lipoprotein subclasses	Medium LDL	6.26948687015893	4	0.179906473342603	- +
BF_Lu_7	mldlpl	-0.405614518611545	0.435578082824814	0.351745121685377	0.65958618991726	0.642360877526765	0.30450728754581	Phospholipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	4.46781742214741	4	0.346380575855729	- +
BF_Lu_7	mufa	-0.25542627357683	0.274638851936837	0.352348195700944	-0.285064801752645	0.183867430859906	0.121049795524	Monounsaturated fatty acids; 16:1, 18:1 (mmol/l)	Fatty acids	Fatty acids	6.30937736953186	4	0.177204439996218	- -
BF_Lu_7	mvldlc	-0.373326888280443	0.341432133253372	0.274211794703159	0.102152849447735	0.237025980416132	0.666484776730906	Total cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	3.3991849561059	4	0.493372086387626	- +
BF_Lu_7	mvldlce	-0.705793027749116	0.376753857400064	0.0610196341269474	0.102152849447735	0.237025980416132	0.666484776730906	Cholesterol esters in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	6.40459515180523	4	0.170901799681498	- +
BF_Lu_7	mvldlfc	-0.357697103721386	0.313291866554628	0.253563106899379	-0.293032141204241	0.162931184249432	0.0720974137993049	Free cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	8.00375929899556	4	0.0914405835433685	- -
BF_Lu_7	mvldll	-0.688498762783549	0.287608332293142	0.0166713714853924	-0.468498638524037	0.299580073989996	0.117852532511296	Total lipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	12.464766946977	4	0.0142099219817843	- -
BF_Lu_7	mvldlp	-0.653629518726077	0.251606458085721	0.00938163236510484	-0.0782639741773479	0.286383799427383	0.78463527872683	Concentration of medium VLDL particles (mol/l)	Lipoprotein subclasses	Medium VLDL	9.82307557445377	4	0.0435157738763278	- -
