id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Hubel BF EU sex combined 76 SNPs clumped	838	Acetoacetate || id:838	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	91.635966480141	69	0.0355753496394213
Hubel BF EU sex combined 76 SNPs clumped	838	Acetoacetate || id:838	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	91.6534534737566	68	0.029555327504026
Hubel BF EU sex combined 76 SNPs clumped	838	Acetoacetate || id:838	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	91.6546011037107	69	0.035472518217251
Hubel BF EU sex combined 76 SNPs clumped	838	Acetoacetate || id:838	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	91.627132682309	69	0.0356241872553819
Hubel BF EU sex combined 76 SNPs clumped	838	Acetoacetate || id:838	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.0182753509532037	69	1
Hubel BF EU sex combined 76 SNPs clumped	839	Acetate || id:839	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	53.0160158665803	69	0.92288131422256
Hubel BF EU sex combined 76 SNPs clumped	839	Acetate || id:839	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	51.7017696116367	68	0.929161999868548
Hubel BF EU sex combined 76 SNPs clumped	839	Acetate || id:839	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	53.0230534313431	69	0.922777891396549
Hubel BF EU sex combined 76 SNPs clumped	839	Acetate || id:839	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	53.0156974803261	69	0.922885990902731
Hubel BF EU sex combined 76 SNPs clumped	839	Acetate || id:839	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.00766118910669904	69	1
Hubel BF EU sex combined 76 SNPs clumped	840	Alanine || id:840	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	90.3798246657966	69	0.0431278682672665
Hubel BF EU sex combined 76 SNPs clumped	840	Alanine || id:840	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	89.8294690324054	68	0.039362063582601
Hubel BF EU sex combined 76 SNPs clumped	840	Alanine || id:840	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	90.3890912258982	69	0.0430674789106282
Hubel BF EU sex combined 76 SNPs clumped	840	Alanine || id:840	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	90.3794253155127	69	0.0431304724252791
Hubel BF EU sex combined 76 SNPs clumped	840	Alanine || id:840	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.019218774091964	69	1
Hubel BF EU sex combined 76 SNPs clumped	841	Albumin || id:841	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	91.4920825939606	69	0.0363780657320151
Hubel BF EU sex combined 76 SNPs clumped	841	Albumin || id:841	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	90.6813131128616	68	0.0344784276213027
Hubel BF EU sex combined 76 SNPs clumped	841	Albumin || id:841	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	91.5318044247647	69	0.0361549111450018
Hubel BF EU sex combined 76 SNPs clumped	841	Albumin || id:841	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	91.4676626401601	69	0.0365158455570804
Hubel BF EU sex combined 76 SNPs clumped	841	Albumin || id:841	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.0243348068242629	69	1
Hubel BF EU sex combined 76 SNPs clumped	842	Apolipoprotein A-I || id:842	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	110.9649828938	69	0.00101907200569876
Hubel BF EU sex combined 76 SNPs clumped	842	Apolipoprotein A-I || id:842	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	102.927887782681	68	0.00400883479730315
Hubel BF EU sex combined 76 SNPs clumped	842	Apolipoprotein A-I || id:842	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	110.969110401186	69	0.00101819068007777
Hubel BF EU sex combined 76 SNPs clumped	842	Apolipoprotein A-I || id:842	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	110.964560967505	69	0.00101916213807583
Hubel BF EU sex combined 76 SNPs clumped	842	Apolipoprotein A-I || id:842	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.036004371461306	69	1
Hubel BF EU sex combined 76 SNPs clumped	843	Apolipoprotein B || id:843	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	111.550564899118	69	0.000900985135015065
Hubel BF EU sex combined 76 SNPs clumped	843	Apolipoprotein B || id:843	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	111.128969038303	68	0.000752521456531992
Hubel BF EU sex combined 76 SNPs clumped	843	Apolipoprotein B || id:843	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	111.669227010952	69	0.000878689606485476
Hubel BF EU sex combined 76 SNPs clumped	843	Apolipoprotein B || id:843	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	111.510917858705	69	0.000908553018046723
Hubel BF EU sex combined 76 SNPs clumped	843	Apolipoprotein B || id:843	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.0186103458368316	69	1
Hubel BF EU sex combined 76 SNPs clumped	844	Ratio of bisallylic groups to double bonds || id:844	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	49.3769305833181	69	0.964340033800237
Hubel BF EU sex combined 76 SNPs clumped	844	Ratio of bisallylic groups to double bonds || id:844	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	49.1763978634484	68	0.95857043238568
Hubel BF EU sex combined 76 SNPs clumped	844	Ratio of bisallylic groups to double bonds || id:844	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	49.4082462845946	69	0.964077246355794
Hubel BF EU sex combined 76 SNPs clumped	844	Ratio of bisallylic groups to double bonds || id:844	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	49.3567511966039	69	0.964508594060539
Hubel BF EU sex combined 76 SNPs clumped	844	Ratio of bisallylic groups to double bonds || id:844	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.0128405152006718	69	1
Hubel BF EU sex combined 76 SNPs clumped	845	Ratio of bisallylic groups to total fatty acids || id:845	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	51.0349614325081	69	0.948301190867371
Hubel BF EU sex combined 76 SNPs clumped	845	Ratio of bisallylic groups to total fatty acids || id:845	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	50.8107523983128	68	0.940851339636991
Hubel BF EU sex combined 76 SNPs clumped	845	Ratio of bisallylic groups to total fatty acids || id:845	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	51.0651191834118	69	0.947967357804888
Hubel BF EU sex combined 76 SNPs clumped	845	Ratio of bisallylic groups to total fatty acids || id:845	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	51.014570057669	69	0.948526023976426
Hubel BF EU sex combined 76 SNPs clumped	845	Ratio of bisallylic groups to total fatty acids || id:845	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.0139616294801532	69	1
Hubel BF EU sex combined 76 SNPs clumped	846	3-hydroxybutyrate || id:846	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	75.3649492733586	69	0.280158879778471
Hubel BF EU sex combined 76 SNPs clumped	846	3-hydroxybutyrate || id:846	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	72.1270407615939	68	0.343143919500322
Hubel BF EU sex combined 76 SNPs clumped	846	3-hydroxybutyrate || id:846	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	75.3693997513328	69	0.280038688180563
Hubel BF EU sex combined 76 SNPs clumped	846	3-hydroxybutyrate || id:846	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	75.3646324946834	69	0.280167435976906
Hubel BF EU sex combined 76 SNPs clumped	846	3-hydroxybutyrate || id:846	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.0117438269104144	69	1
Hubel BF EU sex combined 76 SNPs clumped	847	Average number of methylene groups per double bond || id:847	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	62.7011760672979	69	0.690124380448859
Hubel BF EU sex combined 76 SNPs clumped	847	Average number of methylene groups per double bond || id:847	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	62.4756400169022	68	0.666249672578029
Hubel BF EU sex combined 76 SNPs clumped	847	Average number of methylene groups per double bond || id:847	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	62.7327025455686	69	0.689115373201344
Hubel BF EU sex combined 76 SNPs clumped	847	Average number of methylene groups per double bond || id:847	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	62.6883465352957	69	0.690534678972506
Hubel BF EU sex combined 76 SNPs clumped	847	Average number of methylene groups per double bond || id:847	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.0157031845587774	69	1
Hubel BF EU sex combined 76 SNPs clumped	848	Average number of methylene groups in a fatty acid chain || id:848	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	67.1858536500588	69	0.539387400437775
Hubel BF EU sex combined 76 SNPs clumped	848	Average number of methylene groups in a fatty acid chain || id:848	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	67.0500837500908	68	0.509798765660745
Hubel BF EU sex combined 76 SNPs clumped	848	Average number of methylene groups in a fatty acid chain || id:848	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	67.2224134088964	69	0.53813075396416
Hubel BF EU sex combined 76 SNPs clumped	848	Average number of methylene groups in a fatty acid chain || id:848	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	67.175602261992	69	0.539739777142036
Hubel BF EU sex combined 76 SNPs clumped	848	Average number of methylene groups in a fatty acid chain || id:848	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.0143130440078105	69	1
Hubel BF EU sex combined 76 SNPs clumped	849	Citrate || id:849	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	82.9316272031806	69	0.12094617374136
Hubel BF EU sex combined 76 SNPs clumped	849	Citrate || id:849	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	81.5868555852409	68	0.12471582289917
Hubel BF EU sex combined 76 SNPs clumped	849	Citrate || id:849	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	82.9522056243679	69	0.120634735745265
Hubel BF EU sex combined 76 SNPs clumped	849	Citrate || id:849	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	82.9259974694593	69	0.121031482595774
Hubel BF EU sex combined 76 SNPs clumped	849	Citrate || id:849	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.015305815657393	69	1
