id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Hubel BF EU sex combined 76 SNPs clumped	303	Glutamine || id:303	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	61.0846453075839	57	0.331449083534009
Hubel BF EU sex combined 76 SNPs clumped	303	Glutamine || id:303	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	58.8314206661561	56	0.372230907679115
Hubel BF EU sex combined 76 SNPs clumped	303	Glutamine || id:303	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	61.0850661034103	57	0.331435442155459
Hubel BF EU sex combined 76 SNPs clumped	303	Glutamine || id:303	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	61.0844567985737	57	0.331455194720542
Hubel BF EU sex combined 76 SNPs clumped	303	Glutamine || id:303	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.00014868435411846	57	1
Hubel BF EU sex combined 76 SNPs clumped	304	Tryptophan || id:304	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	56.2075595057854	57	0.504788121721067
Hubel BF EU sex combined 76 SNPs clumped	304	Tryptophan || id:304	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	56.2769884179248	56	0.464480788503989
Hubel BF EU sex combined 76 SNPs clumped	304	Tryptophan || id:304	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	56.2796835802229	57	0.502071874092616
Hubel BF EU sex combined 76 SNPs clumped	304	Tryptophan || id:304	Hubel BF EU sex combined 76 SNPs clumped	IVW radial	56.1638937234748	57	0.506433639233115
Hubel BF EU sex combined 76 SNPs clumped	304	Tryptophan || id:304	Hubel BF EU sex combined 76 SNPs clumped	Unweighted regression	0.00011071234509638	57	1
Hubel BF EU sex combined 76 SNPs clumped	305	Histidine || id:305	Hubel BF EU sex combined 76 SNPs clumped	Maximum likelihood	49.5392005684474	57	0.748131085629044
Hubel BF EU sex combined 76 SNPs clumped	305	Histidine || id:305	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	45.8009399830859	56	0.832802505268171
Hubel BF EU sex combined 76 SNPs clumped	305	Histidine || id:305	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted	49.5563307610265	57	0.747569021742685
