id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
Hubel BF EU sex combined 76 SNPs clumped	303	Glutamine || id:303	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	58	0.0073979973190675	0.00506223248585586	0.149491836727271
Hubel BF EU sex combined 76 SNPs clumped	303	Glutamine || id:303	Hubel BF EU sex combined 76 SNPs clumped	Weighted median	58	-0.000887372572646529	0.00169441309625837	0.600483753006964
Hubel BF EU sex combined 76 SNPs clumped	303	Glutamine || id:303	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted (multiplicative random effects)	58	0.0001768409376087	0.00115960426095349	0.878791714580346
Hubel BF EU sex combined 76 SNPs clumped	303	Glutamine || id:303	Hubel BF EU sex combined 76 SNPs clumped	Weighted mode	58	-0.00219873151083007	0.00374462112613279	0.559407860137037
Hubel BF EU sex combined 76 SNPs clumped	304	Tryptophan || id:304	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	58	-0.00264516899687369	0.00523509249219949	0.615347602941581
Hubel BF EU sex combined 76 SNPs clumped	304	Tryptophan || id:304	Hubel BF EU sex combined 76 SNPs clumped	Weighted median	58	0.000752147989855748	0.00184232047228508	0.683081912396238
Hubel BF EU sex combined 76 SNPs clumped	304	Tryptophan || id:304	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted (multiplicative random effects)	58	-0.00238141575577301	0.0012006272389298	0.0473142441614484
Hubel BF EU sex combined 76 SNPs clumped	304	Tryptophan || id:304	Hubel BF EU sex combined 76 SNPs clumped	Weighted mode	58	0.00262196064125283	0.00403349088191928	0.518272968618066
Hubel BF EU sex combined 76 SNPs clumped	305	Histidine || id:305	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	58	0.00826600513065463	0.00499960402494111	0.103859236522391
Hubel BF EU sex combined 76 SNPs clumped	305	Histidine || id:305	Hubel BF EU sex combined 76 SNPs clumped	Weighted median	58	-0.00208175635654789	0.00163576546402394	0.203142389362799
Hubel BF EU sex combined 76 SNPs clumped	305	Histidine || id:305	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted (multiplicative random effects)	58	-0.0011666255326579	0.00106457854503215	0.273141490077687
Hubel BF EU sex combined 76 SNPs clumped	305	Histidine || id:305	Hubel BF EU sex combined 76 SNPs clumped	Weighted mode	58	-0.00311589499921918	0.00404939275326084	0.444790135762505
Hubel BF EU sex combined 76 SNPs clumped	306	Leucine || id:306	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	58	0.00934202372075425	0.006418049673544	0.151090519536902
Hubel BF EU sex combined 76 SNPs clumped	306	Leucine || id:306	Hubel BF EU sex combined 76 SNPs clumped	Weighted median	58	0.00314141570617679	0.00174730387054484	0.0721984733288372
Hubel BF EU sex combined 76 SNPs clumped	306	Leucine || id:306	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted (multiplicative random effects)	58	0.00142965764961781	0.00150549034974394	0.342300678041473
Hubel BF EU sex combined 76 SNPs clumped	306	Leucine || id:306	Hubel BF EU sex combined 76 SNPs clumped	Weighted mode	58	0.00481139066518078	0.00378038619967636	0.208282743078874
Hubel BF EU sex combined 76 SNPs clumped	307	Cholesterol || id:307	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	58	-0.000505612788983791	0.00739695355695812	0.945747170294341
Hubel BF EU sex combined 76 SNPs clumped	307	Cholesterol || id:307	Hubel BF EU sex combined 76 SNPs clumped	Weighted median	58	0	0.00240302784884514	1
Hubel BF EU sex combined 76 SNPs clumped	307	Cholesterol || id:307	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted (multiplicative random effects)	58	0.0017219125925704	0.00170527471692035	0.312611863796936
Hubel BF EU sex combined 76 SNPs clumped	307	Cholesterol || id:307	Hubel BF EU sex combined 76 SNPs clumped	Weighted mode	58	0.000186692214780709	0.00476066648373518	0.968855557932949
Hubel BF EU sex combined 76 SNPs clumped	308	Phenylalanine || id:308	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	58	0.00233800301771487	0.00493809839518449	0.637724008434716
Hubel BF EU sex combined 76 SNPs clumped	308	Phenylalanine || id:308	Hubel BF EU sex combined 76 SNPs clumped	Weighted median	58	0.00192920942589783	0.00166108510310045	0.245473105532698
Hubel BF EU sex combined 76 SNPs clumped	308	Phenylalanine || id:308	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted (multiplicative random effects)	58	0.00219326271250426	0.00114023767663285	0.05441557640517
Hubel BF EU sex combined 76 SNPs clumped	308	Phenylalanine || id:308	Hubel BF EU sex combined 76 SNPs clumped	Weighted mode	58	0.00107997195020532	0.00332157328868735	0.746266553627217
Hubel BF EU sex combined 76 SNPs clumped	309	Creatinine || id:309	Hubel BF EU sex combined 76 SNPs clumped	MR Egger	58	-0.00142440539589081	0.00638800943199101	0.824361566338783
Hubel BF EU sex combined 76 SNPs clumped	309	Creatinine || id:309	Hubel BF EU sex combined 76 SNPs clumped	Weighted median	58	0	0.0021980878034582	1
Hubel BF EU sex combined 76 SNPs clumped	309	Creatinine || id:309	Hubel BF EU sex combined 76 SNPs clumped	Inverse variance weighted (multiplicative random effects)	58	-0.000675871227183199	0.00153584055425137	0.659889297799976
Hubel BF EU sex combined 76 SNPs clumped	309	Creatinine || id:309	Hubel BF EU sex combined 76 SNPs clumped	Weighted mode	58	-0.00102815326653723	0.00490692259235617	0.834780695541999
