id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Lu BF EU sex combined 5 SNPs	838	Acetoacetate || id:838	Lu BF EU sex combined 5 SNPs	Maximum likelihood	2.98954018635903	3	0.393240686836616
Lu BF EU sex combined 5 SNPs	838	Acetoacetate || id:838	Lu BF EU sex combined 5 SNPs	MR Egger	2.9402169398515	2	0.229900546538989
Lu BF EU sex combined 5 SNPs	838	Acetoacetate || id:838	Lu BF EU sex combined 5 SNPs	Inverse variance weighted	2.98984187334235	3	0.393194012663354
Lu BF EU sex combined 5 SNPs	838	Acetoacetate || id:838	Lu BF EU sex combined 5 SNPs	Unweighted regression	0.000378046329009837	3	0.999998045268596
Lu BF EU sex combined 5 SNPs	839	Acetate || id:839	Lu BF EU sex combined 5 SNPs	Maximum likelihood	5.10096863637174	4	0.277093496751917
Lu BF EU sex combined 5 SNPs	839	Acetate || id:839	Lu BF EU sex combined 5 SNPs	MR Egger	4.96095556077264	3	0.174678597690095
Lu BF EU sex combined 5 SNPs	839	Acetate || id:839	Lu BF EU sex combined 5 SNPs	Inverse variance weighted	5.10309146743998	4	0.276882290528288
Lu BF EU sex combined 5 SNPs	839	Acetate || id:839	Lu BF EU sex combined 5 SNPs	Unweighted regression	0.000629883858422731	4	0.999999950416202
Lu BF EU sex combined 5 SNPs	840	Alanine || id:840	Lu BF EU sex combined 5 SNPs	Maximum likelihood	2.88390131840581	4	0.57743841163366
Lu BF EU sex combined 5 SNPs	840	Alanine || id:840	Lu BF EU sex combined 5 SNPs	MR Egger	2.81798627501837	3	0.420547608391946
Lu BF EU sex combined 5 SNPs	840	Alanine || id:840	Lu BF EU sex combined 5 SNPs	Inverse variance weighted	2.88776861106393	4	0.576779287199112
Lu BF EU sex combined 5 SNPs	840	Alanine || id:840	Lu BF EU sex combined 5 SNPs	Unweighted regression	0.000392397214665656	4	0.99999998075557
Lu BF EU sex combined 5 SNPs	841	Albumin || id:841	Lu BF EU sex combined 5 SNPs	Maximum likelihood	10.2876000146736	3	0.0162731682216743
Lu BF EU sex combined 5 SNPs	841	Albumin || id:841	Lu BF EU sex combined 5 SNPs	MR Egger	6.93351799427276	2	0.031218044651435
Lu BF EU sex combined 5 SNPs	841	Albumin || id:841	Lu BF EU sex combined 5 SNPs	Inverse variance weighted	10.3771888876767	3	0.0156175626720956
Lu BF EU sex combined 5 SNPs	841	Albumin || id:841	Lu BF EU sex combined 5 SNPs	Unweighted regression	0.00154171633101333	3	0.999983907457782
Lu BF EU sex combined 5 SNPs	842	Apolipoprotein A-I || id:842	Lu BF EU sex combined 5 SNPs	Maximum likelihood	0.440430719829716	3	0.931769456263656
Lu BF EU sex combined 5 SNPs	842	Apolipoprotein A-I || id:842	Lu BF EU sex combined 5 SNPs	MR Egger	0.323702674066912	2	0.850567643050701
Lu BF EU sex combined 5 SNPs	842	Apolipoprotein A-I || id:842	Lu BF EU sex combined 5 SNPs	Inverse variance weighted	0.470973474636441	3	0.925220536026895
Lu BF EU sex combined 5 SNPs	842	Apolipoprotein A-I || id:842	Lu BF EU sex combined 5 SNPs	Unweighted regression	9.25637506666666e-05	3	0.99999976315285
Lu BF EU sex combined 5 SNPs	843	Apolipoprotein B || id:843	Lu BF EU sex combined 5 SNPs	Maximum likelihood	91.3305910314689	4	6.86765015176166e-19
Lu BF EU sex combined 5 SNPs	843	Apolipoprotein B || id:843	Lu BF EU sex combined 5 SNPs	MR Egger	94.2193616666017	3	2.71690136925568e-20
Lu BF EU sex combined 5 SNPs	843	Apolipoprotein B || id:843	Lu BF EU sex combined 5 SNPs	Inverse variance weighted	104.01148068725	4	1.37567817169733e-21
Lu BF EU sex combined 5 SNPs	843	Apolipoprotein B || id:843	Lu BF EU sex combined 5 SNPs	Unweighted regression	0.0158256848022664	4	0.999968858122681
Lu BF EU sex combined 5 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Lu BF EU sex combined 5 SNPs	Maximum likelihood	6.61059862801597	4	0.157953806680717
Lu BF EU sex combined 5 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Lu BF EU sex combined 5 SNPs	MR Egger	4.64485973385696	3	0.199727395899021
Lu BF EU sex combined 5 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Lu BF EU sex combined 5 SNPs	Inverse variance weighted	6.61350892646605	4	0.157777436689128
Lu BF EU sex combined 5 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Lu BF EU sex combined 5 SNPs	Unweighted regression	0.00170446828102426	4	0.999999637054746
Lu BF EU sex combined 5 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Lu BF EU sex combined 5 SNPs	Maximum likelihood	3.51943106530538	4	0.474929965858894
Lu BF EU sex combined 5 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Lu BF EU sex combined 5 SNPs	MR Egger	2.2098028670344	3	0.53002009405664
Lu BF EU sex combined 5 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Lu BF EU sex combined 5 SNPs	Inverse variance weighted	3.51956360554039	4	0.474909897158483
Lu BF EU sex combined 5 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Lu BF EU sex combined 5 SNPs	Unweighted regression	0.000945747475936208	4	0.999999888230454
Lu BF EU sex combined 5 SNPs	846	3-hydroxybutyrate || id:846	Lu BF EU sex combined 5 SNPs	Maximum likelihood	5.90761342567026	4	0.206154812955906
Lu BF EU sex combined 5 SNPs	846	3-hydroxybutyrate || id:846	Lu BF EU sex combined 5 SNPs	MR Egger	5.48020155837889	3	0.139827590575992
Lu BF EU sex combined 5 SNPs	846	3-hydroxybutyrate || id:846	Lu BF EU sex combined 5 SNPs	Inverse variance weighted	5.90764325381309	4	0.206152515991881
Lu BF EU sex combined 5 SNPs	846	3-hydroxybutyrate || id:846	Lu BF EU sex combined 5 SNPs	Unweighted regression	0.000803327725213837	4	0.999999919354668
Lu BF EU sex combined 5 SNPs	847	Average number of methylene groups per double bond || id:847	Lu BF EU sex combined 5 SNPs	Maximum likelihood	1.67865350996337	4	0.794591490875673
Lu BF EU sex combined 5 SNPs	847	Average number of methylene groups per double bond || id:847	Lu BF EU sex combined 5 SNPs	MR Egger	1.38099846474435	3	0.709994778885691
Lu BF EU sex combined 5 SNPs	847	Average number of methylene groups per double bond || id:847	Lu BF EU sex combined 5 SNPs	Inverse variance weighted	1.68554516884097	4	0.793341658141678
Lu BF EU sex combined 5 SNPs	847	Average number of methylene groups per double bond || id:847	Lu BF EU sex combined 5 SNPs	Unweighted regression	0.000413698660156222	4	0.999999978609627
Lu BF EU sex combined 5 SNPs	848	Average number of methylene groups in a fatty acid chain || id:848	Lu BF EU sex combined 5 SNPs	Maximum likelihood	2.02567757493546	4	0.73103588530984
Lu BF EU sex combined 5 SNPs	848	Average number of methylene groups in a fatty acid chain || id:848	Lu BF EU sex combined 5 SNPs	MR Egger	1.86684721649495	3	0.60049736677317
Lu BF EU sex combined 5 SNPs	848	Average number of methylene groups in a fatty acid chain || id:848	Lu BF EU sex combined 5 SNPs	Inverse variance weighted	2.02972325103756	4	0.730291795621298
Lu BF EU sex combined 5 SNPs	848	Average number of methylene groups in a fatty acid chain || id:848	Lu BF EU sex combined 5 SNPs	Unweighted regression	0.000302361003179582	4	0.99999998857338
Lu BF EU sex combined 5 SNPs	849	Citrate || id:849	Lu BF EU sex combined 5 SNPs	Maximum likelihood	2.45752580810067	4	0.652257260175466
Lu BF EU sex combined 5 SNPs	849	Citrate || id:849	Lu BF EU sex combined 5 SNPs	MR Egger	1.4804580781821	3	0.686787884362682
Lu BF EU sex combined 5 SNPs	849	Citrate || id:849	Lu BF EU sex combined 5 SNPs	Inverse variance weighted	2.45848806543687	4	0.652084252681056
Lu BF EU sex combined 5 SNPs	849	Citrate || id:849	Lu BF EU sex combined 5 SNPs	Unweighted regression	0.000253992360638702	4	0.999999991936668
Lu BF EU sex combined 5 SNPs	850	Creatinine || id:850	Lu BF EU sex combined 5 SNPs	Maximum likelihood	0.908475353025795	4	0.923341755658409
Lu BF EU sex combined 5 SNPs	850	Creatinine || id:850	Lu BF EU sex combined 5 SNPs	MR Egger	0.831964947752285	3	0.841807144208995
Lu BF EU sex combined 5 SNPs	850	Creatinine || id:850	Lu BF EU sex combined 5 SNPs	Inverse variance weighted	0.90949114613365	4	0.92319522856656
Lu BF EU sex combined 5 SNPs	850	Creatinine || id:850	Lu BF EU sex combined 5 SNPs	Unweighted regression	9.80913762065364e-05	4	0.9999999987973
Lu BF EU sex combined 5 SNPs	851	Average number of double bonds in a fatty acid chain || id:851	Lu BF EU sex combined 5 SNPs	Maximum likelihood	4.49512873683098	4	0.343125476457597
Lu BF EU sex combined 5 SNPs	851	Average number of double bonds in a fatty acid chain || id:851	Lu BF EU sex combined 5 SNPs	MR Egger	3.42985876736321	3	0.32997379042447
Lu BF EU sex combined 5 SNPs	851	Average number of double bonds in a fatty acid chain || id:851	Lu BF EU sex combined 5 SNPs	Inverse variance weighted	4.52218488223919	4	0.339925026073032
Lu BF EU sex combined 5 SNPs	851	Average number of double bonds in a fatty acid chain || id:851	Lu BF EU sex combined 5 SNPs	Unweighted regression	0.00101398674826314	4	0.999999871522291
Lu BF EU sex combined 5 SNPs	852	22:6, docosahexaenoic acid || id:852	Lu BF EU sex combined 5 SNPs	Maximum likelihood	10.0694833982264	4	0.0392733681137612
Lu BF EU sex combined 5 SNPs	852	22:6, docosahexaenoic acid || id:852	Lu BF EU sex combined 5 SNPs	MR Egger	7.32842036416371	3	0.0621348922144268
Lu BF EU sex combined 5 SNPs	852	22:6, docosahexaenoic acid || id:852	Lu BF EU sex combined 5 SNPs	Inverse variance weighted	10.0729112424995	4	0.039217249166146
