id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Lu BF EU sex combined 5 SNPs	838	Acetoacetate || id:838	Lu BF EU sex combined 5 SNPs	-0.00636122934632176	0.03462308602738	0.87116737407563
Lu BF EU sex combined 5 SNPs	839	Acetate || id:839	Lu BF EU sex combined 5 SNPs	-0.00816802874073658	0.0278604031259015	0.788497238339294
Lu BF EU sex combined 5 SNPs	840	Alanine || id:840	Lu BF EU sex combined 5 SNPs	0.00569534897365529	0.021559941991308	0.808761698330688
Lu BF EU sex combined 5 SNPs	841	Albumin || id:841	Lu BF EU sex combined 5 SNPs	-0.0540586136767522	0.0542395290300834	0.423935703817128
Lu BF EU sex combined 5 SNPs	842	Apolipoprotein A-I || id:842	Lu BF EU sex combined 5 SNPs	0.0111598647198247	0.0290804154233002	0.738112412711237
Lu BF EU sex combined 5 SNPs	843	Apolipoprotein B || id:843	Lu BF EU sex combined 5 SNPs	0.0732412813904895	0.131167742339367	0.615551512113382
Lu BF EU sex combined 5 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Lu BF EU sex combined 5 SNPs	-0.0407014152662754	0.036095330165055	0.341525286010757
Lu BF EU sex combined 5 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Lu BF EU sex combined 5 SNPs	-0.0333328985304078	0.029125748585503	0.335473530043215
Lu BF EU sex combined 5 SNPs	846	3-hydroxybutyrate || id:846	Lu BF EU sex combined 5 SNPs	0.0142882014950458	0.0295377059514438	0.661691149482625
Lu BF EU sex combined 5 SNPs	847	Average number of methylene groups per double bond || id:847	Lu BF EU sex combined 5 SNPs	0.0158593513831685	0.0287381276588184	0.619493823409192
Lu BF EU sex combined 5 SNPs	848	Average number of methylene groups in a fatty acid chain || id:848	Lu BF EU sex combined 5 SNPs	0.0100476240594242	0.0248962985661078	0.713566024279641
Lu BF EU sex combined 5 SNPs	849	Citrate || id:849	Lu BF EU sex combined 5 SNPs	0.0213852531469835	0.0216241133972383	0.39559498113637
Lu BF EU sex combined 5 SNPs	850	Creatinine || id:850	Lu BF EU sex combined 5 SNPs	0.0060080020664473	0.0215777337148817	0.798766967524295
Lu BF EU sex combined 5 SNPs	851	Average number of double bonds in a fatty acid chain || id:851	Lu BF EU sex combined 5 SNPs	-0.0279569913557904	0.0286016946020539	0.400428171777619
Lu BF EU sex combined 5 SNPs	852	22:6, docosahexaenoic acid || id:852	Lu BF EU sex combined 5 SNPs	-0.0476639537482868	0.0449680160890808	0.3669474958043
Lu BF EU sex combined 5 SNPs	853	Free cholesterol to esterified cholesterol ratio || id:853	Lu BF EU sex combined 5 SNPs	0.0468367563546448	0.111318344063783	0.702262916662952
Lu BF EU sex combined 5 SNPs	854	Description of average fatty acid chain length, not actual carbon number || id:854	Lu BF EU sex combined 5 SNPs	-0.0344108327893001	0.0361757940875365	0.411672060364038
Lu BF EU sex combined 5 SNPs	855	Omega-3 fatty acids || id:855	Lu BF EU sex combined 5 SNPs	-0.0236387461222738	0.0556053427937193	0.699401606228893
Lu BF EU sex combined 5 SNPs	856	Omega-6 fatty acids || id:856	Lu BF EU sex combined 5 SNPs	0.0497494674032505	0.108574584476258	0.677957854248812
Lu BF EU sex combined 5 SNPs	857	Omega-7, omega-9 and saturated fatty acids || id:857	Lu BF EU sex combined 5 SNPs	0.0239522249858577	0.0791872904330257	0.782048741811723
Lu BF EU sex combined 5 SNPs	858	Free cholesterol || id:858	Lu BF EU sex combined 5 SNPs	0.0181629910869634	0.0994981401140748	0.86679332822377
Lu BF EU sex combined 5 SNPs	859	Glucose || id:859	Lu BF EU sex combined 5 SNPs	-2.07681698486047e-05	0.0216560951606146	0.999295035125674
Lu BF EU sex combined 5 SNPs	860	Glutamine || id:860	Lu BF EU sex combined 5 SNPs	0.0275852255344808	0.0269399777794869	0.381216554592236
Lu BF EU sex combined 5 SNPs	861	Glycerol || id:861	Lu BF EU sex combined 5 SNPs	-0.0131500889990439	0.0370332911414431	0.746020569011069
Lu BF EU sex combined 5 SNPs	862	Glycoproteins || id:862	Lu BF EU sex combined 5 SNPs	0.061110196436014	0.0248838040673847	0.0912056734356902
