id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
Lu BF EU sex combined 5 SNPs	838	Acetoacetate || id:838	Lu BF EU sex combined 5 SNPs	MR Egger	4	0.141796450857175	0.899884175500597	0.889265084040171
Lu BF EU sex combined 5 SNPs	838	Acetoacetate || id:838	Lu BF EU sex combined 5 SNPs	Weighted median	4	-0.0672995541515918	0.202825714171189	0.740032904296021
Lu BF EU sex combined 5 SNPs	838	Acetoacetate || id:838	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	4	-0.019694678628085	0.158815554065836	0.901307547932215
Lu BF EU sex combined 5 SNPs	838	Acetoacetate || id:838	Lu BF EU sex combined 5 SNPs	Weighted mode	4	-0.0911101140081571	0.270356665278479	0.758316261729281
Lu BF EU sex combined 5 SNPs	839	Acetate || id:839	Lu BF EU sex combined 5 SNPs	MR Egger	5	0.158371344408094	0.664641307946902	0.827011541053051
Lu BF EU sex combined 5 SNPs	839	Acetate || id:839	Lu BF EU sex combined 5 SNPs	Weighted median	5	-0.228981200027686	0.146121437406594	0.117100443283877
Lu BF EU sex combined 5 SNPs	839	Acetate || id:839	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	-0.0317175920023065	0.128360100694329	0.804831972501816
Lu BF EU sex combined 5 SNPs	839	Acetate || id:839	Lu BF EU sex combined 5 SNPs	Weighted mode	5	-0.234964873867599	0.206970085954928	0.319677712389728
Lu BF EU sex combined 5 SNPs	840	Alanine || id:840	Lu BF EU sex combined 5 SNPs	MR Egger	5	-0.072955369466969	0.513872028912753	0.896100396522995
Lu BF EU sex combined 5 SNPs	840	Alanine || id:840	Lu BF EU sex combined 5 SNPs	Weighted median	5	0.0633000864465189	0.134652502039402	0.63828386472743
Lu BF EU sex combined 5 SNPs	840	Alanine || id:840	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	0.0594748958390497	0.0959163830641269	0.535211536134141
