id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Lu BF EU sex combined 7 SNPs clumped	838	Acetoacetate || id:838	Lu BF EU sex combined 7 SNPs clumped	Maximum likelihood	3.63044219683183	5	0.603748405360017
Lu BF EU sex combined 7 SNPs clumped	838	Acetoacetate || id:838	Lu BF EU sex combined 7 SNPs clumped	MR Egger	3.62381559499601	4	0.459303249385501
Lu BF EU sex combined 7 SNPs clumped	838	Acetoacetate || id:838	Lu BF EU sex combined 7 SNPs clumped	Inverse variance weighted	3.63315415678443	5	0.603342317810278
Lu BF EU sex combined 7 SNPs clumped	838	Acetoacetate || id:838	Lu BF EU sex combined 7 SNPs clumped	Unweighted regression	0.000470051746803546	5	0.999999999745235
Lu BF EU sex combined 7 SNPs clumped	839	Acetate || id:839	Lu BF EU sex combined 7 SNPs clumped	Maximum likelihood	5.19179658536662	6	0.519459774429794
Lu BF EU sex combined 7 SNPs clumped	839	Acetate || id:839	Lu BF EU sex combined 7 SNPs clumped	MR Egger	5.10624253623988	5	0.403052394963108
Lu BF EU sex combined 7 SNPs clumped	839	Acetate || id:839	Lu BF EU sex combined 7 SNPs clumped	Inverse variance weighted	5.19504021437432	6	0.519052317855695
Lu BF EU sex combined 7 SNPs clumped	839	Acetate || id:839	Lu BF EU sex combined 7 SNPs clumped	Unweighted regression	0.000644629493193771	6	0.999999999994421
Lu BF EU sex combined 7 SNPs clumped	840	Alanine || id:840	Lu BF EU sex combined 7 SNPs clumped	Maximum likelihood	5.12525717386644	6	0.527851388024487
Lu BF EU sex combined 7 SNPs clumped	840	Alanine || id:840	Lu BF EU sex combined 7 SNPs clumped	MR Egger	4.75386873499729	5	0.446650686403501
Lu BF EU sex combined 7 SNPs clumped	840	Alanine || id:840	Lu BF EU sex combined 7 SNPs clumped	Inverse variance weighted	5.12574000248326	6	0.527790271678751
Lu BF EU sex combined 7 SNPs clumped	840	Alanine || id:840	Lu BF EU sex combined 7 SNPs clumped	Unweighted regression	0.000600679306750828	6	0.999999999995486
Lu BF EU sex combined 7 SNPs clumped	841	Albumin || id:841	Lu BF EU sex combined 7 SNPs clumped	Maximum likelihood	12.7719484386836	5	0.025612206429822
Lu BF EU sex combined 7 SNPs clumped	841	Albumin || id:841	Lu BF EU sex combined 7 SNPs clumped	MR Egger	11.4745641900765	4	0.0217177473723054
Lu BF EU sex combined 7 SNPs clumped	841	Albumin || id:841	Lu BF EU sex combined 7 SNPs clumped	Inverse variance weighted	12.7770486705566	5	0.025560093262042
Lu BF EU sex combined 7 SNPs clumped	841	Albumin || id:841	Lu BF EU sex combined 7 SNPs clumped	Unweighted regression	0.00180067426929853	5	0.999999992685959
Lu BF EU sex combined 7 SNPs clumped	842	Apolipoprotein A-I || id:842	Lu BF EU sex combined 7 SNPs clumped	Maximum likelihood	26.1481206438402	5	8.35227233183609e-05
Lu BF EU sex combined 7 SNPs clumped	842	Apolipoprotein A-I || id:842	Lu BF EU sex combined 7 SNPs clumped	MR Egger	22.3631953773209	4	0.00016966727207668
Lu BF EU sex combined 7 SNPs clumped	842	Apolipoprotein A-I || id:842	Lu BF EU sex combined 7 SNPs clumped	Inverse variance weighted	26.1495469713637	5	8.34695076583529e-05
Lu BF EU sex combined 7 SNPs clumped	842	Apolipoprotein A-I || id:842	Lu BF EU sex combined 7 SNPs clumped	Unweighted regression	0.00345619909217487	5	0.999999962691341
Lu BF EU sex combined 7 SNPs clumped	843	Apolipoprotein B || id:843	Lu BF EU sex combined 7 SNPs clumped	Maximum likelihood	93.2152445118047	6	6.50251556160524e-18
Lu BF EU sex combined 7 SNPs clumped	843	Apolipoprotein B || id:843	Lu BF EU sex combined 7 SNPs clumped	MR Egger	97.8141655299038	5	1.52614523803482e-19
Lu BF EU sex combined 7 SNPs clumped	843	Apolipoprotein B || id:843	Lu BF EU sex combined 7 SNPs clumped	Inverse variance weighted	104.084841661274	6	3.5207470168636e-20
Lu BF EU sex combined 7 SNPs clumped	843	Apolipoprotein B || id:843	Lu BF EU sex combined 7 SNPs clumped	Unweighted regression	0.015860798233673	6	0.999999917367422
Lu BF EU sex combined 7 SNPs clumped	844	Ratio of bisallylic groups to double bonds || id:844	Lu BF EU sex combined 7 SNPs clumped	Maximum likelihood	6.98509611634679	6	0.322227703564295
Lu BF EU sex combined 7 SNPs clumped	844	Ratio of bisallylic groups to double bonds || id:844	Lu BF EU sex combined 7 SNPs clumped	MR Egger	5.68323149411073	5	0.338271799916895
Lu BF EU sex combined 7 SNPs clumped	844	Ratio of bisallylic groups to double bonds || id:844	Lu BF EU sex combined 7 SNPs clumped	Inverse variance weighted	6.99246509260129	6	0.321544585818555
Lu BF EU sex combined 7 SNPs clumped	844	Ratio of bisallylic groups to double bonds || id:844	Lu BF EU sex combined 7 SNPs clumped	Unweighted regression	0.00175860624973481	6	0.999999999886766
Lu BF EU sex combined 7 SNPs clumped	845	Ratio of bisallylic groups to total fatty acids || id:845	Lu BF EU sex combined 7 SNPs clumped	Maximum likelihood	4.73583955100007	6	0.578112215529732
Lu BF EU sex combined 7 SNPs clumped	845	Ratio of bisallylic groups to total fatty acids || id:845	Lu BF EU sex combined 7 SNPs clumped	MR Egger	3.88116812459284	5	0.56664870397934
Lu BF EU sex combined 7 SNPs clumped	845	Ratio of bisallylic groups to total fatty acids || id:845	Lu BF EU sex combined 7 SNPs clumped	Inverse variance weighted	4.73895346323667	6	0.577703375641303
Lu BF EU sex combined 7 SNPs clumped	845	Ratio of bisallylic groups to total fatty acids || id:845	Lu BF EU sex combined 7 SNPs clumped	Unweighted regression	0.00114916273557362	6	0.999999999968398
Lu BF EU sex combined 7 SNPs clumped	846	3-hydroxybutyrate || id:846	Lu BF EU sex combined 7 SNPs clumped	Maximum likelihood	10.9796310301866	6	0.0890080036811609
Lu BF EU sex combined 7 SNPs clumped	846	3-hydroxybutyrate || id:846	Lu BF EU sex combined 7 SNPs clumped	MR Egger	8.65870626510264	5	0.123476344072354
Lu BF EU sex combined 7 SNPs clumped	846	3-hydroxybutyrate || id:846	Lu BF EU sex combined 7 SNPs clumped	Inverse variance weighted	11.0448678925236	6	0.086999594891831
Lu BF EU sex combined 7 SNPs clumped	846	3-hydroxybutyrate || id:846	Lu BF EU sex combined 7 SNPs clumped	Unweighted regression	0.00139066424260843	6	0.999999999943999
Lu BF EU sex combined 7 SNPs clumped	847	Average number of methylene groups per double bond || id:847	Lu BF EU sex combined 7 SNPs clumped	Maximum likelihood	4.39114202417905	6	0.623901592461885
Lu BF EU sex combined 7 SNPs clumped	847	Average number of methylene groups per double bond || id:847	Lu BF EU sex combined 7 SNPs clumped	MR Egger	4.39261253658071	5	0.494378764657278
Lu BF EU sex combined 7 SNPs clumped	847	Average number of methylene groups per double bond || id:847	Lu BF EU sex combined 7 SNPs clumped	Inverse variance weighted	4.39337535821701	6	0.623602060853465
Lu BF EU sex combined 7 SNPs clumped	847	Average number of methylene groups per double bond || id:847	Lu BF EU sex combined 7 SNPs clumped	Unweighted regression	0.00091051138781697	6	0.999999999984279
Lu BF EU sex combined 7 SNPs clumped	848	Average number of methylene groups in a fatty acid chain || id:848	Lu BF EU sex combined 7 SNPs clumped	Maximum likelihood	3.60559052777506	6	0.72987244278721
Lu BF EU sex combined 7 SNPs clumped	848	Average number of methylene groups in a fatty acid chain || id:848	Lu BF EU sex combined 7 SNPs clumped	MR Egger	3.62832366881118	5	0.604065699253372
Lu BF EU sex combined 7 SNPs clumped	848	Average number of methylene groups in a fatty acid chain || id:848	Lu BF EU sex combined 7 SNPs clumped	Inverse variance weighted	3.62900281074917	6	0.726734792338689
Lu BF EU sex combined 7 SNPs clumped	848	Average number of methylene groups in a fatty acid chain || id:848	Lu BF EU sex combined 7 SNPs clumped	Unweighted regression	0.000474982896875862	6	0.999999999997768
Lu BF EU sex combined 7 SNPs clumped	849	Citrate || id:849	Lu BF EU sex combined 7 SNPs clumped	Maximum likelihood	4.06449411161216	6	0.667948837586248
Lu BF EU sex combined 7 SNPs clumped	849	Citrate || id:849	Lu BF EU sex combined 7 SNPs clumped	MR Egger	2.70729287663528	5	0.745002800324618
Lu BF EU sex combined 7 SNPs clumped	849	Citrate || id:849	Lu BF EU sex combined 7 SNPs clumped	Inverse variance weighted	4.06594949202246	6	0.66775192506558
Lu BF EU sex combined 7 SNPs clumped	849	Citrate || id:849	Lu BF EU sex combined 7 SNPs clumped	Unweighted regression	0.000401491255216773	6	0.999999999998652
Lu BF EU sex combined 7 SNPs clumped	850	Creatinine || id:850	Lu BF EU sex combined 7 SNPs clumped	Maximum likelihood	1.5748371701263	6	0.954369314685403
Lu BF EU sex combined 7 SNPs clumped	850	Creatinine || id:850	Lu BF EU sex combined 7 SNPs clumped	MR Egger	1.56373238981762	5	0.90560000307508
Lu BF EU sex combined 7 SNPs clumped	850	Creatinine || id:850	Lu BF EU sex combined 7 SNPs clumped	Inverse variance weighted	1.57500390422823	6	0.95435755401456
Lu BF EU sex combined 7 SNPs clumped	850	Creatinine || id:850	Lu BF EU sex combined 7 SNPs clumped	Unweighted regression	0.000159924415345744	6	0.999999999999915
Lu BF EU sex combined 7 SNPs clumped	851	Average number of double bonds in a fatty acid chain || id:851	Lu BF EU sex combined 7 SNPs clumped	Maximum likelihood	5.58682636683939	6	0.471025294283005
Lu BF EU sex combined 7 SNPs clumped	851	Average number of double bonds in a fatty acid chain || id:851	Lu BF EU sex combined 7 SNPs clumped	MR Egger	5.32334120229753	5	0.37770606006656
Lu BF EU sex combined 7 SNPs clumped	851	Average number of double bonds in a fatty acid chain || id:851	Lu BF EU sex combined 7 SNPs clumped	Inverse variance weighted	5.59869177680455	6	0.469609622178518
Lu BF EU sex combined 7 SNPs clumped	851	Average number of double bonds in a fatty acid chain || id:851	Lu BF EU sex combined 7 SNPs clumped	Unweighted regression	0.00119275969472317	6	0.999999999964663
Lu BF EU sex combined 7 SNPs clumped	852	22:6, docosahexaenoic acid || id:852	Lu BF EU sex combined 7 SNPs clumped	Maximum likelihood	10.4222615792765	6	0.107959310131139
Lu BF EU sex combined 7 SNPs clumped	852	22:6, docosahexaenoic acid || id:852	Lu BF EU sex combined 7 SNPs clumped	MR Egger	8.9071277263401	5	0.112826354098093
