id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Lu BF EU sex combined 7 SNPs	303	Glutamine || id:303	Lu BF EU sex combined 7 SNPs	Maximum likelihood	11.2786239178654	6	0.0801375958696791
Lu BF EU sex combined 7 SNPs	303	Glutamine || id:303	Lu BF EU sex combined 7 SNPs	MR Egger	10.8127485293801	5	0.055221661094482
Lu BF EU sex combined 7 SNPs	303	Glutamine || id:303	Lu BF EU sex combined 7 SNPs	Inverse variance weighted	11.2792942128827	6	0.0801186511053012
Lu BF EU sex combined 7 SNPs	303	Glutamine || id:303	Lu BF EU sex combined 7 SNPs	Unweighted regression	3.14327047346281e-05	6	0.999999999999999
Lu BF EU sex combined 7 SNPs	304	Tryptophan || id:304	Lu BF EU sex combined 7 SNPs	Maximum likelihood	15.8416400658735	6	0.0146296651700675
Lu BF EU sex combined 7 SNPs	304	Tryptophan || id:304	Lu BF EU sex combined 7 SNPs	MR Egger	3.93270782483002	5	0.559144569707106
Lu BF EU sex combined 7 SNPs	304	Tryptophan || id:304	Lu BF EU sex combined 7 SNPs	Inverse variance weighted	15.8424342792677	6	0.0146251426071357
Lu BF EU sex combined 7 SNPs	304	Tryptophan || id:304	Lu BF EU sex combined 7 SNPs	Unweighted regression	4.05768003222053e-05	6	0.999999999999998
Lu BF EU sex combined 7 SNPs	305	Histidine || id:305	Lu BF EU sex combined 7 SNPs	Maximum likelihood	3.28601664544985	6	0.772186650043765
Lu BF EU sex combined 7 SNPs	305	Histidine || id:305	Lu BF EU sex combined 7 SNPs	MR Egger	3.27091385039027	5	0.658297615948916
Lu BF EU sex combined 7 SNPs	305	Histidine || id:305	Lu BF EU sex combined 7 SNPs	Inverse variance weighted	3.29613146593333	6	0.770865763441501
Lu BF EU sex combined 7 SNPs	305	Histidine || id:305	Lu BF EU sex combined 7 SNPs	Unweighted regression	1.07101423073481e-05	6	1
Lu BF EU sex combined 7 SNPs	306	Leucine || id:306	Lu BF EU sex combined 7 SNPs	Maximum likelihood	21.6261900266759	6	0.00141491688186809
Lu BF EU sex combined 7 SNPs	306	Leucine || id:306	Lu BF EU sex combined 7 SNPs	MR Egger	4.95948276443841	5	0.420844979191245
Lu BF EU sex combined 7 SNPs	306	Leucine || id:306	Lu BF EU sex combined 7 SNPs	Inverse variance weighted	21.6425695165459	6	0.0014053090765191
Lu BF EU sex combined 7 SNPs	306	Leucine || id:306	Lu BF EU sex combined 7 SNPs	Unweighted regression	3.37951552850622e-05	6	0.999999999999999
Lu BF EU sex combined 7 SNPs	307	Cholesterol || id:307	Lu BF EU sex combined 7 SNPs	Maximum likelihood	5.33702956980835	6	0.501368449224284
