id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Lu BF EU sex combined 7 SNPs clumped	838	Acetoacetate || id:838	Lu BF EU sex combined 7 SNPs clumped	0.00239004279474523	0.0247323668077524	0.927663486231776
Lu BF EU sex combined 7 SNPs clumped	839	Acetate || id:839	Lu BF EU sex combined 7 SNPs clumped	-0.00535663492536947	0.0181659017475489	0.779941970480347
Lu BF EU sex combined 7 SNPs clumped	840	Alanine || id:840	Lu BF EU sex combined 7 SNPs clumped	-0.010911339271325	0.0178929417330131	0.568633005854125
Lu BF EU sex combined 7 SNPs clumped	841	Albumin || id:841	Lu BF EU sex combined 7 SNPs clumped	-0.028560466025946	0.0423854809253424	0.537354360492228
Lu BF EU sex combined 7 SNPs clumped	842	Apolipoprotein A-I || id:842	Lu BF EU sex combined 7 SNPs clumped	0.0490018009169443	0.0595440684495643	0.456767778074179
Lu BF EU sex combined 7 SNPs clumped	843	Apolipoprotein B || id:843	Lu BF EU sex combined 7 SNPs clumped	0.0485731869457864	0.0857936783869379	0.59574838250201
Lu BF EU sex combined 7 SNPs clumped	844	Ratio of bisallylic groups to double bonds || id:844	Lu BF EU sex combined 7 SNPs clumped	-0.0273654797135196	0.0254980615863434	0.332207624197332
Lu BF EU sex combined 7 SNPs clumped	845	Ratio of bisallylic groups to total fatty acids || id:845	Lu BF EU sex combined 7 SNPs clumped	-0.0223567408407322	0.0241389949027251	0.396863058677391
Lu BF EU sex combined 7 SNPs clumped	846	3-hydroxybutyrate || id:846	Lu BF EU sex combined 7 SNPs clumped	0.0280456601744973	0.023892260435614	0.293323326588434
Lu BF EU sex combined 7 SNPs clumped	847	Average number of methylene groups per double bond || id:847	Lu BF EU sex combined 7 SNPs clumped	0.000657878537272268	0.0238195864342161	0.979034312721062
Lu BF EU sex combined 7 SNPs clumped	848	Average number of methylene groups in a fatty acid chain || id:848	Lu BF EU sex combined 7 SNPs clumped	0.000537747003638531	0.0206346793379922	0.980217319182016
Lu BF EU sex combined 7 SNPs clumped	849	Citrate || id:849	Lu BF EU sex combined 7 SNPs clumped	0.0209106130636194	0.0179395651604191	0.296345496826132
Lu BF EU sex combined 7 SNPs clumped	850	Creatinine || id:850	Lu BF EU sex combined 7 SNPs clumped	-0.00190102888698192	0.017905958800869	0.91957751299374
Lu BF EU sex combined 7 SNPs clumped	851	Average number of double bonds in a fatty acid chain || id:851	Lu BF EU sex combined 7 SNPs clumped	-0.0116519964350566	0.0229120790565754	0.632703540853194
Lu BF EU sex combined 7 SNPs clumped	852	22:6, docosahexaenoic acid || id:852	Lu BF EU sex combined 7 SNPs clumped	-0.0293778265629189	0.0318233379498352	0.398287891194387
Lu BF EU sex combined 7 SNPs clumped	853	Free cholesterol to esterified cholesterol ratio || id:853	Lu BF EU sex combined 7 SNPs clumped	0.0516277602134389	0.0716085850674465	0.503217806670475
Lu BF EU sex combined 7 SNPs clumped	854	Description of average fatty acid chain length, not actual carbon number || id:854	Lu BF EU sex combined 7 SNPs clumped	-0.019430986483011	0.0257025424337083	0.48372679884123
Lu BF EU sex combined 7 SNPs clumped	855	Omega-3 fatty acids || id:855	Lu BF EU sex combined 7 SNPs clumped	-0.00773897630222006	0.0393975684348077	0.852005894005855
Lu BF EU sex combined 7 SNPs clumped	856	Omega-6 fatty acids || id:856	Lu BF EU sex combined 7 SNPs clumped	0.048904441838357	0.0697080842074698	0.514254459500392
Lu BF EU sex combined 7 SNPs clumped	857	Omega-7, omega-9 and saturated fatty acids || id:857	Lu BF EU sex combined 7 SNPs clumped	0.0210100862900519	0.0517334377325084	0.701450361434271
Lu BF EU sex combined 7 SNPs clumped	858	Free cholesterol || id:858	Lu BF EU sex combined 7 SNPs clumped	0.0384044445338871	0.0655682500751961	0.583504651643126
Lu BF EU sex combined 7 SNPs clumped	859	Glucose || id:859	Lu BF EU sex combined 7 SNPs clumped	-0.0198100324709841	0.0179640802241358	0.320359505172824
Lu BF EU sex combined 7 SNPs clumped	860	Glutamine || id:860	Lu BF EU sex combined 7 SNPs clumped	0.0211210491486981	0.0237550432900822	0.414663258952418
Lu BF EU sex combined 7 SNPs clumped	861	Glycerol || id:861	Lu BF EU sex combined 7 SNPs clumped	-0.0198314775805982	0.0253190628555529	0.468930721298032
Lu BF EU sex combined 7 SNPs clumped	862	Glycoproteins || id:862	Lu BF EU sex combined 7 SNPs clumped	0.0499538299086012	0.0206141559861464	0.0598748225667046
Lu BF EU sex combined 7 SNPs clumped	863	Glycoprotein acetyls || id:863	Lu BF EU sex combined 7 SNPs clumped	0.0571209622259256	0.0357279125228043	0.185115663903342
Lu BF EU sex combined 7 SNPs clumped	864	Total cholesterol in HDL || id:864	Lu BF EU sex combined 7 SNPs clumped	0.00299280209027619	0.0507215124436008	0.955234091682746
