id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
Lu BF EU sex combined 7 SNPs	303	Glutamine || id:303	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.0416247069073958	0.0875289772133196	0.654442661148965
Lu BF EU sex combined 7 SNPs	303	Glutamine || id:303	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.0114037461157823	0.0160652194261631	0.477802945786472
Lu BF EU sex combined 7 SNPs	303	Glutamine || id:303	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.00190517227733194	0.0174073915393659	0.912848617867546
Lu BF EU sex combined 7 SNPs	303	Glutamine || id:303	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.0153510160108889	0.0177391192394236	0.420082114514748
Lu BF EU sex combined 7 SNPs	304	Tryptophan || id:304	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.194575909841957	0.0572787075900388	0.0193138005487553
Lu BF EU sex combined 7 SNPs	304	Tryptophan || id:304	Lu BF EU sex combined 7 SNPs	Weighted median	7	-0.00320230777218008	0.0162519064924915	0.843794689395703
Lu BF EU sex combined 7 SNPs	304	Tryptophan || id:304	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.0015471283567454	0.0200536513723668	0.938504647526398
Lu BF EU sex combined 7 SNPs	304	Tryptophan || id:304	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.0164842786780415	0.0189846214443275	0.418603167146037
Lu BF EU sex combined 7 SNPs	305	Histidine || id:305	Lu BF EU sex combined 7 SNPs	MR Egger	7	-0.00392043968175107	0.062664429892791	0.952538905214838
Lu BF EU sex combined 7 SNPs	305	Histidine || id:305	Lu BF EU sex combined 7 SNPs	Weighted median	7	-0.0166120217727315	0.0169367215428602	0.326677246021556
Lu BF EU sex combined 7 SNPs	305	Histidine || id:305	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	-0.0136494283493588	0.00975930943077429	0.161931177680941
Lu BF EU sex combined 7 SNPs	305	Histidine || id:305	Lu BF EU sex combined 7 SNPs	Weighted mode	7	-0.0163968002581789	0.0199640462422624	0.442869227609578
Lu BF EU sex combined 7 SNPs	306	Leucine || id:306	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.208198072259097	0.0509879606554787	0.00950923291990709
Lu BF EU sex combined 7 SNPs	306	Leucine || id:306	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.0366067794937404	0.0206463765287876	0.0762226563611686
Lu BF EU sex combined 7 SNPs	306	Leucine || id:306	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.00551704241641635	0.0222641958148714	0.804290034420423
Lu BF EU sex combined 7 SNPs	306	Leucine || id:306	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.0494991921050993	0.018038287963203	0.0335521069548492
Lu BF EU sex combined 7 SNPs	307	Cholesterol || id:307	Lu BF EU sex combined 7 SNPs	MR Egger	7	-0.10681603961226	0.0853970391109252	0.266342124315885
Lu BF EU sex combined 7 SNPs	307	Cholesterol || id:307	Lu BF EU sex combined 7 SNPs	Weighted median	7	-0.0318326024181071	0.0236671004737275	0.178620427780067
Lu BF EU sex combined 7 SNPs	307	Cholesterol || id:307	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	-0.0414827991472531	0.0172543769918106	0.0162083504453526
Lu BF EU sex combined 7 SNPs	307	Cholesterol || id:307	Lu BF EU sex combined 7 SNPs	Weighted mode	7	-0.0316957733706962	0.0270643671845807	0.285948133988974
Lu BF EU sex combined 7 SNPs	308	Phenylalanine || id:308	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.117624240026715	0.062664429892791	0.119328010318183
Lu BF EU sex combined 7 SNPs	308	Phenylalanine || id:308	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.00693288604036193	0.0172201890836637	0.68724088964621
Lu BF EU sex combined 7 SNPs	308	Phenylalanine || id:308	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.00120641686022219	0.0131254415365057	0.926766063868219
Lu BF EU sex combined 7 SNPs	308	Phenylalanine || id:308	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.0085424902447592	0.0209016270913904	0.696946926467397
Lu BF EU sex combined 7 SNPs	309	Creatinine || id:309	Lu BF EU sex combined 7 SNPs	MR Egger	7	-0.0474397142307367	0.0771544703598435	0.565544124252558
Lu BF EU sex combined 7 SNPs	309	Creatinine || id:309	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.0139098530998745	0.0202372605905061	0.491869294627803
Lu BF EU sex combined 7 SNPs	309	Creatinine || id:309	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.0183894236982046	0.00748639411225257	0.0140344930120476
Lu BF EU sex combined 7 SNPs	309	Creatinine || id:309	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.010701950004229	0.0269075734497233	0.704593731539234
Lu BF EU sex combined 7 SNPs	310	Lactate || id:310	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.148757868484514	0.114444782440893	0.250356995464868
Lu BF EU sex combined 7 SNPs	310	Lactate || id:310	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.00460133369747886	0.0311554023135694	0.882587618232845
Lu BF EU sex combined 7 SNPs	310	Lactate || id:310	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	-0.0158652281498519	0.0225244443656669	0.481211083026941
Lu BF EU sex combined 7 SNPs	310	Lactate || id:310	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.015231904658793	0.040443563433052	0.719414542456814
Lu BF EU sex combined 7 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Lu BF EU sex combined 7 SNPs	MR Egger	7	-0.936893279163738	0.347723027631063	0.043073137692349
Lu BF EU sex combined 7 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.199341167125083	0.122763632418139	0.104422707247185
Lu BF EU sex combined 7 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.076810190434088	0.109642454817183	0.483582930659494
Lu BF EU sex combined 7 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Lu BF EU sex combined 7 SNPs	Weighted mode	7	-0.203923400476222	0.147679164701369	0.216555175111923
Lu BF EU sex combined 7 SNPs	312	Arabinose || id:312	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.233775663509796	0.183133942440179	0.257842482039347
Lu BF EU sex combined 7 SNPs	312	Arabinose || id:312	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.0833032709155259	0.0490634540060194	0.089532668902151
Lu BF EU sex combined 7 SNPs	312	Arabinose || id:312	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.0557396566604284	0.0378630239254922	0.140983185479042
Lu BF EU sex combined 7 SNPs	312	Arabinose || id:312	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.0959002761621818	0.0621284648686524	0.173636446521752
Lu BF EU sex combined 7 SNPs	313	Fructose || id:313	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.216802594490972	0.210115267527199	0.349455700084948
Lu BF EU sex combined 7 SNPs	313	Fructose || id:313	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.0291566884438559	0.0535563928274563	0.586158689876126
