id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	subcategory.outcome	originalname.outcome
Locke BMI EU sex combined 77 SNPs	303	Glutamine || id:303	Locke BMI EU sex combined 77 SNPs	MR Egger	77	0.0091472363439967	0.0144541543265379	0.528759861452274	Amino acid	Glutamine
Locke BMI EU sex combined 77 SNPs	303	Glutamine || id:303	Locke BMI EU sex combined 77 SNPs	Weighted median	77	0	0.00859281588555538	1	Amino acid	Glutamine
Locke BMI EU sex combined 77 SNPs	303	Glutamine || id:303	Locke BMI EU sex combined 77 SNPs	Inverse variance weighted (multiplicative random effects)	77	-0.000712342596877028	0.00580871513968472	0.902397389732519	Amino acid	Glutamine
Locke BMI EU sex combined 77 SNPs	303	Glutamine || id:303	Locke BMI EU sex combined 77 SNPs	Weighted mode	77	0.00664427009835497	0.0113448371586262	0.559836055415826	Amino acid	Glutamine
Locke BMI EU sex combined 77 SNPs	304	Tryptophan || id:304	Locke BMI EU sex combined 77 SNPs	MR Egger	77	0.00284079752588412	0.0117698026781194	0.809932275072969	Amino acid	Tryptophan
Locke BMI EU sex combined 77 SNPs	304	Tryptophan || id:304	Locke BMI EU sex combined 77 SNPs	Weighted median	77	0.0129877996537623	0.00865177022898204	0.133310947493024	Amino acid	Tryptophan
Locke BMI EU sex combined 77 SNPs	304	Tryptophan || id:304	Locke BMI EU sex combined 77 SNPs	Inverse variance weighted (multiplicative random effects)	77	0.00759604593330261	0.00467473976151438	0.10418107394843	Amino acid	Tryptophan
Locke BMI EU sex combined 77 SNPs	304	Tryptophan || id:304	Locke BMI EU sex combined 77 SNPs	Weighted mode	77	0.0113419897972064	0.00951152858924166	0.236796036779948	Amino acid	Tryptophan
Locke BMI EU sex combined 77 SNPs	305	Histidine || id:305	Locke BMI EU sex combined 77 SNPs	MR Egger	77	0.00164070960714488	0.0136483128681091	0.904635587055186	Amino acid	Histidine
Locke BMI EU sex combined 77 SNPs	305	Histidine || id:305	Locke BMI EU sex combined 77 SNPs	Weighted median	77	-0.00881609979139603	0.0093176272656326	0.344059673721596	Amino acid	Histidine
Locke BMI EU sex combined 77 SNPs	305	Histidine || id:305	Locke BMI EU sex combined 77 SNPs	Inverse variance weighted (multiplicative random effects)	77	-0.00388986690672065	0.00511226975332308	0.446723709723345	Amino acid	Histidine
Locke BMI EU sex combined 77 SNPs	305	Histidine || id:305	Locke BMI EU sex combined 77 SNPs	Weighted mode	77	-0.00800173616677968	0.0133182143013598	0.549753211133048	Amino acid	Histidine
Locke BMI EU sex combined 77 SNPs	306	Leucine || id:306	Locke BMI EU sex combined 77 SNPs	MR Egger	77	0.0116535277667974	0.0132786885821038	0.382957370339753	Amino acid	Leucine
Locke BMI EU sex combined 77 SNPs	306	Leucine || id:306	Locke BMI EU sex combined 77 SNPs	Weighted median	77	0.0270267594188565	0.00778121225038566	0.000514032684854367	Amino acid	Leucine
Locke BMI EU sex combined 77 SNPs	306	Leucine || id:306	Locke BMI EU sex combined 77 SNPs	Inverse variance weighted (multiplicative random effects)	77	0.0175682550967462	0.00556431836623582	0.00159234217507309	Amino acid	Leucine
Locke BMI EU sex combined 77 SNPs	306	Leucine || id:306	Locke BMI EU sex combined 77 SNPs	Weighted mode	77	0.0261253887491155	0.00943768425268996	0.00707720262246806	Amino acid	Leucine
Locke BMI EU sex combined 77 SNPs	307	Cholesterol || id:307	Locke BMI EU sex combined 77 SNPs	MR Egger	77	-0.0094006912074611	0.0222623757433402	0.674037419915578	Lipid	Cholesterol
Locke BMI EU sex combined 77 SNPs	307	Cholesterol || id:307	Locke BMI EU sex combined 77 SNPs	Weighted median	77	-0.0100150819642547	0.0122261283779586	0.412698556005116	Lipid	Cholesterol
Locke BMI EU sex combined 77 SNPs	307	Cholesterol || id:307	Locke BMI EU sex combined 77 SNPs	Inverse variance weighted (multiplicative random effects)	77	0.00182437435373965	0.00876607949620548	0.835137240733006	Lipid	Cholesterol
Locke BMI EU sex combined 77 SNPs	307	Cholesterol || id:307	Locke BMI EU sex combined 77 SNPs	Weighted mode	77	-0.0106253969537412	0.016121596373483	0.511837423680893	Lipid	Cholesterol
Locke BMI EU sex combined 77 SNPs	308	Phenylalanine || id:308	Locke BMI EU sex combined 77 SNPs	MR Egger	77	0.0123062196338646	0.0135207293220677	0.365646520617756	Amino acid	Phenylalanine
Locke BMI EU sex combined 77 SNPs	308	Phenylalanine || id:308	Locke BMI EU sex combined 77 SNPs	Weighted median	77	0.00738137673097348	0.00906822223387889	0.415654816722582	Amino acid	Phenylalanine
Locke BMI EU sex combined 77 SNPs	308	Phenylalanine || id:308	Locke BMI EU sex combined 77 SNPs	Inverse variance weighted (multiplicative random effects)	77	0.0150105529156439	0.00465572693330535	0.00126367015227439	Amino acid	Phenylalanine
Locke BMI EU sex combined 77 SNPs	308	Phenylalanine || id:308	Locke BMI EU sex combined 77 SNPs	Weighted mode	77	0.00371557970841871	0.0127409845165604	0.771368457711473	Amino acid	Phenylalanine
Locke BMI EU sex combined 77 SNPs	309	Creatinine || id:309	Locke BMI EU sex combined 77 SNPs	MR Egger	77	-0.00705223342485361	0.01826881699262	0.700570497390558	Amino acid	Creatinine
Locke BMI EU sex combined 77 SNPs	309	Creatinine || id:309	Locke BMI EU sex combined 77 SNPs	Weighted median	77	0	0.0113736973786112	1	Amino acid	Creatinine
Locke BMI EU sex combined 77 SNPs	309	Creatinine || id:309	Locke BMI EU sex combined 77 SNPs	Inverse variance weighted (multiplicative random effects)	77	-0.00583737665530054	0.0067007492869535	0.383670715428638	Amino acid	Creatinine
Locke BMI EU sex combined 77 SNPs	309	Creatinine || id:309	Locke BMI EU sex combined 77 SNPs	Weighted mode	77	0.00138949067531213	0.0161004531526127	0.931453838743201	Amino acid	Creatinine
Locke BMI EU sex combined 77 SNPs	310	Lactate || id:310	Locke BMI EU sex combined 77 SNPs	MR Egger	77	-0.00309944744164246	0.0272435094711776	0.909725476271327	Carbohydrate	Lactate
Locke BMI EU sex combined 77 SNPs	310	Lactate || id:310	Locke BMI EU sex combined 77 SNPs	Weighted median	77	0.0203583565766339	0.0176732056705008	0.249348426211137	Carbohydrate	Lactate
Locke BMI EU sex combined 77 SNPs	310	Lactate || id:310	Locke BMI EU sex combined 77 SNPs	Inverse variance weighted (multiplicative random effects)	77	0.0168896495906992	0.0107720844679889	0.116902340667272	Carbohydrate	Lactate
Locke BMI EU sex combined 77 SNPs	310	Lactate || id:310	Locke BMI EU sex combined 77 SNPs	Weighted mode	77	0.0108011864982383	0.0220214662979028	0.625204288053807	Carbohydrate	Lactate
Locke BMI EU sex combined 77 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Locke BMI EU sex combined 77 SNPs	MR Egger	77	-0.0650024451291324	0.0927102112626387	0.485388068871039	Lipid	3-hydroxybutyrate (BHBA)
Locke BMI EU sex combined 77 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Locke BMI EU sex combined 77 SNPs	Weighted median	77	-0.10008445482689	0.05495070688103	0.0685537123568476	Lipid	3-hydroxybutyrate (BHBA)
Locke BMI EU sex combined 77 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Locke BMI EU sex combined 77 SNPs	Inverse variance weighted (multiplicative random effects)	77	-0.0831562724300133	0.0371091020072633	0.025035197161811	Lipid	3-hydroxybutyrate (BHBA)
Locke BMI EU sex combined 77 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Locke BMI EU sex combined 77 SNPs	Weighted mode	77	-0.0925895146898443	0.0650115395261743	0.158481344765924	Lipid	3-hydroxybutyrate (BHBA)
Locke BMI EU sex combined 77 SNPs	312	Arabinose || id:312	Locke BMI EU sex combined 77 SNPs	MR Egger	77	0.047964240344371	0.0418238468358775	0.255103327693046	Carbohydrate	Arabinose
Locke BMI EU sex combined 77 SNPs	312	Arabinose || id:312	Locke BMI EU sex combined 77 SNPs	Weighted median	77	0.0473237423283714	0.0283658109011675	0.0952487736704762	Carbohydrate	Arabinose
Locke BMI EU sex combined 77 SNPs	312	Arabinose || id:312	Locke BMI EU sex combined 77 SNPs	Inverse variance weighted (multiplicative random effects)	77	0.0394577438274794	0.0140630991494086	0.00501973702828977	Carbohydrate	Arabinose
Locke BMI EU sex combined 77 SNPs	312	Arabinose || id:312	Locke BMI EU sex combined 77 SNPs	Weighted mode	77	0.0505039937847879	0.0349066750275993	0.152056851734414	Carbohydrate	Arabinose
Locke BMI EU sex combined 77 SNPs	313	Fructose || id:313	Locke BMI EU sex combined 77 SNPs	MR Egger	77	0.041450271725935	0.0437993239853566	0.347000138054035	Carbohydrate	Fructose
Locke BMI EU sex combined 77 SNPs	313	Fructose || id:313	Locke BMI EU sex combined 77 SNPs	Weighted median	77	0.0248663229654667	0.0298843790493943	0.405361356553206	Carbohydrate	Fructose
Locke BMI EU sex combined 77 SNPs	313	Fructose || id:313	Locke BMI EU sex combined 77 SNPs	Inverse variance weighted (multiplicative random effects)	77	0.0151827519319681	0.0147928318794534	0.304722530223907	Carbohydrate	Fructose
