id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Locke BMI EU sex combined 77 SNPs	838	Acetoacetate || id:838	Locke BMI EU sex combined 77 SNPs	-0.00243478177176932	0.00409586125571528	0.554049615707511
Locke BMI EU sex combined 77 SNPs	839	Acetate || id:839	Locke BMI EU sex combined 77 SNPs	-0.00221750338075271	0.00305614448868654	0.470379573513867
Locke BMI EU sex combined 77 SNPs	840	Alanine || id:840	Locke BMI EU sex combined 77 SNPs	-0.00155854563321376	0.00333352398632073	0.641489686369674
Locke BMI EU sex combined 77 SNPs	841	Albumin || id:841	Locke BMI EU sex combined 77 SNPs	-0.00614276460050812	0.00443765825327875	0.170503521695555
Locke BMI EU sex combined 77 SNPs	842	Apolipoprotein A-I || id:842	Locke BMI EU sex combined 77 SNPs	-0.00377506583080649	0.00518454686114559	0.468858333328754
Locke BMI EU sex combined 77 SNPs	843	Apolipoprotein B || id:843	Locke BMI EU sex combined 77 SNPs	-0.00294210238750589	0.00546449934492888	0.59191478251727
Locke BMI EU sex combined 77 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Locke BMI EU sex combined 77 SNPs	0.00273558072968199	0.00403497947135291	0.499907408696284
Locke BMI EU sex combined 77 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Locke BMI EU sex combined 77 SNPs	0.0013506197170064	0.00425698700213682	0.751931214596006
Locke BMI EU sex combined 77 SNPs	846	3-hydroxybutyrate || id:846	Locke BMI EU sex combined 77 SNPs	-0.00034795240845591	0.00347928967463551	0.920609420012355
Locke BMI EU sex combined 77 SNPs	847	Average number of methylene groups per double bond || id:847	Locke BMI EU sex combined 77 SNPs	-0.00419800517384296	0.00402154412556811	0.299939575716849
Locke BMI EU sex combined 77 SNPs	848	Average number of methylene groups in a fatty acid chain || id:848	Locke BMI EU sex combined 77 SNPs	-0.00195972025754897	0.00353843951526228	0.581359835215953
