id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Yengo BMI EU sex combined 656 SNPs	838	Acetoacetate || id:838	Yengo BMI EU sex combined 656 SNPs	-0.000906501122895068	0.00123914881851964	0.464713971861239
Yengo BMI EU sex combined 656 SNPs	839	Acetate || id:839	Yengo BMI EU sex combined 656 SNPs	-0.000439493991376635	0.00110708322463588	0.691513503977693
Yengo BMI EU sex combined 656 SNPs	840	Alanine || id:840	Yengo BMI EU sex combined 656 SNPs	0.000172383992158411	0.00117573434600473	0.883480184056576
Yengo BMI EU sex combined 656 SNPs	841	Albumin || id:841	Yengo BMI EU sex combined 656 SNPs	0.000365675682522978	0.0012024911946726	0.761153158462777
Yengo BMI EU sex combined 656 SNPs	842	Apolipoprotein A-I || id:842	Yengo BMI EU sex combined 656 SNPs	0.000235222025391292	0.0013068523739412	0.85721720407003
Yengo BMI EU sex combined 656 SNPs	843	Apolipoprotein B || id:843	Yengo BMI EU sex combined 656 SNPs	-0.000828337121729768	0.00136803480713415	0.54506874303724
Yengo BMI EU sex combined 656 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Yengo BMI EU sex combined 656 SNPs	0.000176724868551658	0.00155173331322645	0.909362318069744
Yengo BMI EU sex combined 656 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Yengo BMI EU sex combined 656 SNPs	0.000129171962096505	0.0015774452975711	0.934762732314615
Yengo BMI EU sex combined 656 SNPs	846	3-hydroxybutyrate || id:846	Yengo BMI EU sex combined 656 SNPs	-0.000408867541302314	0.00110069755971189	0.710417798103785
Yengo BMI EU sex combined 656 SNPs	847	Average number of methylene groups per double bond || id:847	Yengo BMI EU sex combined 656 SNPs	-2.87839871865352e-05	0.00152028077568905	0.984900280357428
Yengo BMI EU sex combined 656 SNPs	848	Average number of methylene groups in a fatty acid chain || id:848	Yengo BMI EU sex combined 656 SNPs	0.000292123567944847	0.00126150596329602	0.816949156815999
Yengo BMI EU sex combined 656 SNPs	849	Citrate || id:849	Yengo BMI EU sex combined 656 SNPs	-0.00193602649164983	0.0011218136334889	0.0848720877818881
Yengo BMI EU sex combined 656 SNPs	850	Creatinine || id:850	Yengo BMI EU sex combined 656 SNPs	0.00045541833706414	0.00118274927234069	0.700329462204841
