id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Yengo BMI EU sex combined 656 SNPs	303	Glutamine || id:303	Yengo BMI EU sex combined 656 SNPs	-0.000107588649820382	0.000130576680257831	0.410277353373907
Yengo BMI EU sex combined 656 SNPs	304	Tryptophan || id:304	Yengo BMI EU sex combined 656 SNPs	0.000204920301674201	0.000150871084217034	0.174868220449457
Yengo BMI EU sex combined 656 SNPs	305	Histidine || id:305	Yengo BMI EU sex combined 656 SNPs	2.87040742861081e-06	0.000135582487862478	0.98311595373272
Yengo BMI EU sex combined 656 SNPs	306	Leucine || id:306	Yengo BMI EU sex combined 656 SNPs	-0.000254127769004606	0.000149665414177648	0.0900036352702692
Yengo BMI EU sex combined 656 SNPs	307	Cholesterol || id:307	Yengo BMI EU sex combined 656 SNPs	0.000273528967660302	0.000185382580081465	0.140578213321058
Yengo BMI EU sex combined 656 SNPs	308	Phenylalanine || id:308	Yengo BMI EU sex combined 656 SNPs	-0.000201706178024263	0.000133764324284743	0.132071809614038
Yengo BMI EU sex combined 656 SNPs	309	Creatinine || id:309	Yengo BMI EU sex combined 656 SNPs	5.71744724692216e-05	0.000183038740070463	0.75486745088361
Yengo BMI EU sex combined 656 SNPs	310	Lactate || id:310	Yengo BMI EU sex combined 656 SNPs	-9.00857164880528e-05	0.000258592976128952	0.727678717986242
Yengo BMI EU sex combined 656 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Yengo BMI EU sex combined 656 SNPs	0.00111863085327209	0.000830054828837959	0.178248698755458
Yengo BMI EU sex combined 656 SNPs	312	Arabinose || id:312	Yengo BMI EU sex combined 656 SNPs	-7.9661893807378e-05	0.000415364274749305	0.84796965965923
Yengo BMI EU sex combined 656 SNPs	313	Fructose || id:313	Yengo BMI EU sex combined 656 SNPs	-0.000474178734686793	0.000438939555800576	0.280427154199007
Yengo BMI EU sex combined 656 SNPs	314	Mannose || id:314	Yengo BMI EU sex combined 656 SNPs	-0.000283879151899846	0.000266858442365122	0.287831916825996
Yengo BMI EU sex combined 656 SNPs	315	Pyruvate || id:315	Yengo BMI EU sex combined 656 SNPs	-0.000302295631989632	0.000438044041915419	0.490381771620555
Yengo BMI EU sex combined 656 SNPs	316	Uridine || id:316	Yengo BMI EU sex combined 656 SNPs	-9.33505034687575e-05	0.000184671065235347	0.613385847120018
Yengo BMI EU sex combined 656 SNPs	317	Linoleate (18:2n6) || id:317	Yengo BMI EU sex combined 656 SNPs	0.000595670089594107	0.000284584157545696	0.0367342317858257
Yengo BMI EU sex combined 656 SNPs	318	Allantoin || id:318	Yengo BMI EU sex combined 656 SNPs	-0.000677033614437404	0.000510585091763386	0.185318653232453
Yengo BMI EU sex combined 656 SNPs	319	Arachidonate (20:4n6) || id:319	Yengo BMI EU sex combined 656 SNPs	0.000480052621766713	0.000262113828721176	0.0675000477346732
Yengo BMI EU sex combined 656 SNPs	320	Deoxycholate || id:320	Yengo BMI EU sex combined 656 SNPs	-0.00112300477188252	0.000784582717044048	0.152825482861448
Yengo BMI EU sex combined 656 SNPs	321	Margarate (17:0) || id:321	Yengo BMI EU sex combined 656 SNPs	0.000308622512004071	0.000345654051160896	0.372267543117499
Yengo BMI EU sex combined 656 SNPs	322	Inosine || id:322	Yengo BMI EU sex combined 656 SNPs	0.000881096237274798	0.00123707554874876	0.476577411394662
