id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Yengo BMI EU sex combined 656 SNPs clumped	303	Glutamine || id:303	Yengo BMI EU sex combined 656 SNPs clumped	-0.000184253828476317	0.00020992712583373	0.380799910094233
Yengo BMI EU sex combined 656 SNPs clumped	304	Tryptophan || id:304	Yengo BMI EU sex combined 656 SNPs clumped	0.000236565539994552	0.000231735407909162	0.308145745563776
Yengo BMI EU sex combined 656 SNPs clumped	305	Histidine || id:305	Yengo BMI EU sex combined 656 SNPs clumped	0.000120423155476146	0.000217657785540514	0.580487684829276
Yengo BMI EU sex combined 656 SNPs clumped	306	Leucine || id:306	Yengo BMI EU sex combined 656 SNPs clumped	-8.87218111839328e-05	0.000237171791564326	0.708605457386839
Yengo BMI EU sex combined 656 SNPs clumped	307	Cholesterol || id:307	Yengo BMI EU sex combined 656 SNPs clumped	0.00052585642461587	0.000300927381495024	0.0815718530439819
Yengo BMI EU sex combined 656 SNPs clumped	308	Phenylalanine || id:308	Yengo BMI EU sex combined 656 SNPs clumped	1.23682078990365e-05	0.000215300233548182	0.954227523885918
Yengo BMI EU sex combined 656 SNPs clumped	309	Creatinine || id:309	Yengo BMI EU sex combined 656 SNPs clumped	4.16453069866562e-06	0.000293567190282716	0.988690961808433
Yengo BMI EU sex combined 656 SNPs clumped	310	Lactate || id:310	Yengo BMI EU sex combined 656 SNPs clumped	0.0002587883143348	0.00042756427520142	0.545458119367406
Yengo BMI EU sex combined 656 SNPs clumped	311	3-hydroxybutyrate (BHBA) || id:311	Yengo BMI EU sex combined 656 SNPs clumped	0.00154389279226826	0.00128088092454029	0.229013824381298
Yengo BMI EU sex combined 656 SNPs clumped	312	Arabinose || id:312	Yengo BMI EU sex combined 656 SNPs clumped	0.000969729699516606	0.000664823530818778	0.145706965787317
Yengo BMI EU sex combined 656 SNPs clumped	313	Fructose || id:313	Yengo BMI EU sex combined 656 SNPs clumped	0.000500222930728682	0.000717187855945006	0.486040148375151
Yengo BMI EU sex combined 656 SNPs clumped	314	Mannose || id:314	Yengo BMI EU sex combined 656 SNPs clumped	0.000301114016609208	0.000427552654201107	0.481803366709211
Yengo BMI EU sex combined 656 SNPs clumped	315	Pyruvate || id:315	Yengo BMI EU sex combined 656 SNPs clumped	0.000902235103767809	0.000690807673349069	0.192526634227317
Yengo BMI EU sex combined 656 SNPs clumped	316	Uridine || id:316	Yengo BMI EU sex combined 656 SNPs clumped	2.20465414119896e-05	0.000295163104461822	0.940508470979977
Yengo BMI EU sex combined 656 SNPs clumped	317	Linoleate (18:2n6) || id:317	Yengo BMI EU sex combined 656 SNPs clumped	0.000498396347945023	0.000456011590901685	0.275285401464546
Yengo BMI EU sex combined 656 SNPs clumped	318	Allantoin || id:318	Yengo BMI EU sex combined 656 SNPs clumped	-9.6699441663698e-05	0.000835733947348363	0.90796243989234
Yengo BMI EU sex combined 656 SNPs clumped	319	Arachidonate (20:4n6) || id:319	Yengo BMI EU sex combined 656 SNPs clumped	0.000626833912870295	0.000419378594530261	0.136043909420707
Yengo BMI EU sex combined 656 SNPs clumped	320	Deoxycholate || id:320	Yengo BMI EU sex combined 656 SNPs clumped	6.16306128359418e-05	0.00124996248079654	0.960708054327267
