id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
Yengo BMI EU sex combined 656 SNPs	838	Acetoacetate || id:838	Yengo BMI EU sex combined 656 SNPs	MR Egger	633	0.0976088826114065	0.0737072985114143	0.185890519293282
Yengo BMI EU sex combined 656 SNPs	838	Acetoacetate || id:838	Yengo BMI EU sex combined 656 SNPs	Weighted median	633	0.086605249535861	0.0525782998169565	0.0995236889259433
Yengo BMI EU sex combined 656 SNPs	838	Acetoacetate || id:838	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted (multiplicative random effects)	633	0.0480882167651336	0.0291520802164779	0.0990321802692393
Yengo BMI EU sex combined 656 SNPs	838	Acetoacetate || id:838	Yengo BMI EU sex combined 656 SNPs	Weighted mode	633	0.111005395413783	0.0756617735634302	0.142839067241281
Yengo BMI EU sex combined 656 SNPs	839	Acetate || id:839	Yengo BMI EU sex combined 656 SNPs	MR Egger	634	-0.0825743339899398	0.0659384764989236	0.210926104004109
Yengo BMI EU sex combined 656 SNPs	839	Acetate || id:839	Yengo BMI EU sex combined 656 SNPs	Weighted median	634	-0.145573130518785	0.0482125192968187	0.00253271559035115
Yengo BMI EU sex combined 656 SNPs	839	Acetate || id:839	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted (multiplicative random effects)	634	-0.106602038608876	0.0261460295824312	4.55854301406474e-05
Yengo BMI EU sex combined 656 SNPs	839	Acetate || id:839	Yengo BMI EU sex combined 656 SNPs	Weighted mode	634	-0.159578014462841	0.0749953546431641	0.0337362476506825
Yengo BMI EU sex combined 656 SNPs	840	Alanine || id:840	Yengo BMI EU sex combined 656 SNPs	MR Egger	634	0.0126405795961388	0.0700148181083409	0.856785361789383
Yengo BMI EU sex combined 656 SNPs	840	Alanine || id:840	Yengo BMI EU sex combined 656 SNPs	Weighted median	634	0.024595755224626	0.0471791984406853	0.60213950844426
Yengo BMI EU sex combined 656 SNPs	840	Alanine || id:840	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted (multiplicative random effects)	634	0.0220623421618124	0.0277752102474921	0.427010480520257
Yengo BMI EU sex combined 656 SNPs	840	Alanine || id:840	Yengo BMI EU sex combined 656 SNPs	Weighted mode	634	0.0183080102169932	0.0695968413950525	0.792591426710501
Yengo BMI EU sex combined 656 SNPs	841	Albumin || id:841	Yengo BMI EU sex combined 656 SNPs	MR Egger	633	-0.10476061125814	0.0714963028953363	0.143348310049325
Yengo BMI EU sex combined 656 SNPs	841	Albumin || id:841	Yengo BMI EU sex combined 656 SNPs	Weighted median	633	-0.113383270392427	0.0504825175297396	0.0247045966135276
Yengo BMI EU sex combined 656 SNPs	841	Albumin || id:841	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted (multiplicative random effects)	633	-0.0847945230000274	0.0282802712847076	0.00271434037172834
Yengo BMI EU sex combined 656 SNPs	841	Albumin || id:841	Yengo BMI EU sex combined 656 SNPs	Weighted mode	633	-0.10422285428881	0.0867956604218318	0.230284786575522
Yengo BMI EU sex combined 656 SNPs	842	Apolipoprotein A-I || id:842	Yengo BMI EU sex combined 656 SNPs	MR Egger	633	-0.1587914763684	0.0777906377532951	0.041639768278542
Yengo BMI EU sex combined 656 SNPs	842	Apolipoprotein A-I || id:842	Yengo BMI EU sex combined 656 SNPs	Weighted median	633	-0.0811925573523877	0.0511689498553842	0.112568275678678
Yengo BMI EU sex combined 656 SNPs	842	Apolipoprotein A-I || id:842	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted (multiplicative random effects)	633	-0.145929028501463	0.0307113987692665	2.0178905614412e-06
Yengo BMI EU sex combined 656 SNPs	842	Apolipoprotein A-I || id:842	Yengo BMI EU sex combined 656 SNPs	Weighted mode	633	-0.000396763430295266	0.0848850702184882	0.996272076359067
Yengo BMI EU sex combined 656 SNPs	843	Apolipoprotein B || id:843	Yengo BMI EU sex combined 656 SNPs	MR Egger	632	0.229416043504712	0.0814381387677387	0.00499843291761766
Yengo BMI EU sex combined 656 SNPs	843	Apolipoprotein B || id:843	Yengo BMI EU sex combined 656 SNPs	Weighted median	632	0.229814041825396	0.0484776488757838	2.13066732450584e-06
Yengo BMI EU sex combined 656 SNPs	843	Apolipoprotein B || id:843	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted (multiplicative random effects)	632	0.184137944992968	0.0322376290469836	1.11725164524892e-08
Yengo BMI EU sex combined 656 SNPs	843	Apolipoprotein B || id:843	Yengo BMI EU sex combined 656 SNPs	Weighted mode	632	0.288864979846633	0.081283646793009	0.000408085153578195
