id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
Yengo BMI EU sex combined 656 SNPs clumped	303	Glutamine || id:303	Yengo BMI EU sex combined 656 SNPs clumped	MR Egger	305	0.00549263748976987	0.0137715879288621	0.690293242863916
Yengo BMI EU sex combined 656 SNPs clumped	303	Glutamine || id:303	Yengo BMI EU sex combined 656 SNPs clumped	Weighted median	305	0.0063283448477642	0.00822436075054591	0.441618245037192
Yengo BMI EU sex combined 656 SNPs clumped	303	Glutamine || id:303	Yengo BMI EU sex combined 656 SNPs clumped	Inverse variance weighted (multiplicative random effects)	305	-0.00582986266585554	0.00447033288926289	0.192191745097257
Yengo BMI EU sex combined 656 SNPs clumped	303	Glutamine || id:303	Yengo BMI EU sex combined 656 SNPs clumped	Weighted mode	305	0.00942521660655471	0.013272641875331	0.478171841770774
Yengo BMI EU sex combined 656 SNPs clumped	304	Tryptophan || id:304	Yengo BMI EU sex combined 656 SNPs clumped	MR Egger	304	-0.0129692475053912	0.0153234075918749	0.398017420855531
Yengo BMI EU sex combined 656 SNPs clumped	304	Tryptophan || id:304	Yengo BMI EU sex combined 656 SNPs clumped	Weighted median	304	0	0.00865562140060778	1
Yengo BMI EU sex combined 656 SNPs clumped	304	Tryptophan || id:304	Yengo BMI EU sex combined 656 SNPs clumped	Inverse variance weighted (multiplicative random effects)	304	0.00173598494880512	0.00522561236523461	0.739732966818556
Yengo BMI EU sex combined 656 SNPs clumped	304	Tryptophan || id:304	Yengo BMI EU sex combined 656 SNPs clumped	Weighted mode	304	-0.000432076821566652	0.0148516019803893	0.97680961610222
Yengo BMI EU sex combined 656 SNPs clumped	305	Histidine || id:305	Yengo BMI EU sex combined 656 SNPs clumped	MR Egger	305	-0.0178188989070894	0.014186747345607	0.210074773693887
Yengo BMI EU sex combined 656 SNPs clumped	305	Histidine || id:305	Yengo BMI EU sex combined 656 SNPs clumped	Weighted median	305	-0.00746391176639837	0.00826329483064355	0.366387401816983
Yengo BMI EU sex combined 656 SNPs clumped	305	Histidine || id:305	Yengo BMI EU sex combined 656 SNPs clumped	Inverse variance weighted (multiplicative random effects)	305	-0.0104691548768454	0.00471477722350423	0.0263849599875782
Yengo BMI EU sex combined 656 SNPs clumped	305	Histidine || id:305	Yengo BMI EU sex combined 656 SNPs clumped	Weighted mode	305	-0.0219450318585865	0.0161297941404138	0.174670872044405
Yengo BMI EU sex combined 656 SNPs clumped	306	Leucine || id:306	Yengo BMI EU sex combined 656 SNPs clumped	MR Egger	304	0.0209836072103867	0.015765837403672	0.184208026715688
Yengo BMI EU sex combined 656 SNPs clumped	306	Leucine || id:306	Yengo BMI EU sex combined 656 SNPs clumped	Weighted median	304	0.0181101018315907	0.00774407045594584	0.0193573578643528
Yengo BMI EU sex combined 656 SNPs clumped	306	Leucine || id:306	Yengo BMI EU sex combined 656 SNPs clumped	Inverse variance weighted (multiplicative random effects)	304	0.0154336478589268	0.00532618919110712	0.00375921351609568
Yengo BMI EU sex combined 656 SNPs clumped	306	Leucine || id:306	Yengo BMI EU sex combined 656 SNPs clumped	Weighted mode	304	0.0199570281516434	0.0133285009517119	0.135351033481126
Yengo BMI EU sex combined 656 SNPs clumped	307	Cholesterol || id:307	Yengo BMI EU sex combined 656 SNPs clumped	MR Egger	305	-0.0311667545110469	0.0195055864273636	0.111121463947184
Yengo BMI EU sex combined 656 SNPs clumped	307	Cholesterol || id:307	Yengo BMI EU sex combined 656 SNPs clumped	Weighted median	305	-0.00914842268072219	0.0123458298239435	0.458685445832133
Yengo BMI EU sex combined 656 SNPs clumped	307	Cholesterol || id:307	Yengo BMI EU sex combined 656 SNPs clumped	Inverse variance weighted (multiplicative random effects)	305	0.000780151269785346	0.0064693216204641	0.904013858318627
Yengo BMI EU sex combined 656 SNPs clumped	307	Cholesterol || id:307	Yengo BMI EU sex combined 656 SNPs clumped	Weighted mode	305	-0.0134499756089612	0.021011691321155	0.522577607055026
Yengo BMI EU sex combined 656 SNPs clumped	308	Phenylalanine || id:308	Yengo BMI EU sex combined 656 SNPs clumped	MR Egger	305	0.0114140370201993	0.0140614729944729	0.417587150794565
Yengo BMI EU sex combined 656 SNPs clumped	308	Phenylalanine || id:308	Yengo BMI EU sex combined 656 SNPs clumped	Weighted median	305	0.00655922420435688	0.00898750099635068	0.465502514946797
Yengo BMI EU sex combined 656 SNPs clumped	308	Phenylalanine || id:308	Yengo BMI EU sex combined 656 SNPs clumped	Inverse variance weighted (multiplicative random effects)	305	0.0121708171561254	0.00441445088311099	0.00583272364166415
Yengo BMI EU sex combined 656 SNPs clumped	308	Phenylalanine || id:308	Yengo BMI EU sex combined 656 SNPs clumped	Weighted mode	305	0.00788521449913104	0.0132129916354941	0.551100189709193
Yengo BMI EU sex combined 656 SNPs clumped	309	Creatinine || id:309	Yengo BMI EU sex combined 656 SNPs clumped	MR Egger	305	-0.00314061161629029	0.0186597554182215	0.866452195829911
Yengo BMI EU sex combined 656 SNPs clumped	309	Creatinine || id:309	Yengo BMI EU sex combined 656 SNPs clumped	Weighted median	305	-0.00450007481471883	0.0115157903368578	0.695964079112164
Yengo BMI EU sex combined 656 SNPs clumped	309	Creatinine || id:309	Yengo BMI EU sex combined 656 SNPs clumped	Inverse variance weighted (multiplicative random effects)	305	-0.00289245345185415	0.0062327977732055	0.642597710753506
Yengo BMI EU sex combined 656 SNPs clumped	309	Creatinine || id:309	Yengo BMI EU sex combined 656 SNPs clumped	Weighted mode	305	-0.00997181166309413	0.0183276756084221	0.586781864844495
Yengo BMI EU sex combined 656 SNPs clumped	310	Lactate || id:310	Yengo BMI EU sex combined 656 SNPs clumped	MR Egger	305	-0.00576181526983686	0.0275455071403476	0.834452645140269
Yengo BMI EU sex combined 656 SNPs clumped	310	Lactate || id:310	Yengo BMI EU sex combined 656 SNPs clumped	Weighted median	305	0.0147586173887756	0.0160194590555709	0.356897412955642
