id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Yengo BMI EU sex combined 941 SNPs clumped	838	Acetoacetate || id:838	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	342.69076896073	338	0.418707369729184
Yengo BMI EU sex combined 941 SNPs clumped	838	Acetoacetate || id:838	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	334.859685641473	337	0.522695818357663
Yengo BMI EU sex combined 941 SNPs clumped	838	Acetoacetate || id:838	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	342.691955702292	338	0.418689705803318
Yengo BMI EU sex combined 941 SNPs clumped	838	Acetoacetate || id:838	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	342.689716759536	338	0.418723031274702
Yengo BMI EU sex combined 941 SNPs clumped	838	Acetoacetate || id:838	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.0576182153874208	338	1
Yengo BMI EU sex combined 941 SNPs clumped	839	Acetate || id:839	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	344.668823852115	338	0.389574471795973
Yengo BMI EU sex combined 941 SNPs clumped	839	Acetate || id:839	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	344.672598006471	337	0.374879089869399
Yengo BMI EU sex combined 941 SNPs clumped	839	Acetate || id:839	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	344.724995436484	338	0.388756949592395
Yengo BMI EU sex combined 941 SNPs clumped	839	Acetate || id:839	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	344.622655086224	338	0.390246845494871
Yengo BMI EU sex combined 941 SNPs clumped	839	Acetate || id:839	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.0478642853300482	338	1
Yengo BMI EU sex combined 941 SNPs clumped	840	Alanine || id:840	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	379.230581454572	338	0.0604584209693568
Yengo BMI EU sex combined 941 SNPs clumped	840	Alanine || id:840	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	378.573869873045	337	0.0587550592623687
Yengo BMI EU sex combined 941 SNPs clumped	840	Alanine || id:840	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	379.238180204578	338	0.0604259854282863
Yengo BMI EU sex combined 941 SNPs clumped	840	Alanine || id:840	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	379.222751988473	338	0.0604918560281869
Yengo BMI EU sex combined 941 SNPs clumped	840	Alanine || id:840	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.05490887344421	338	1
Yengo BMI EU sex combined 941 SNPs clumped	841	Albumin || id:841	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	297.765317969161	338	0.943815426177155
Yengo BMI EU sex combined 941 SNPs clumped	841	Albumin || id:841	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	297.156615401723	337	0.942232625533164
Yengo BMI EU sex combined 941 SNPs clumped	841	Albumin || id:841	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	297.788927117937	338	0.94370352686886
Yengo BMI EU sex combined 941 SNPs clumped	841	Albumin || id:841	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	297.748135672038	338	0.943896757834561
Yengo BMI EU sex combined 941 SNPs clumped	841	Albumin || id:841	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.0600456704628497	338	1
Yengo BMI EU sex combined 941 SNPs clumped	842	Apolipoprotein A-I || id:842	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	381.270430338492	338	0.0522430347209157
Yengo BMI EU sex combined 941 SNPs clumped	842	Apolipoprotein A-I || id:842	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	381.489382196932	337	0.0475596335208003
Yengo BMI EU sex combined 941 SNPs clumped	842	Apolipoprotein A-I || id:842	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	381.48942822709	338	0.0514180554136802
Yengo BMI EU sex combined 941 SNPs clumped	842	Apolipoprotein A-I || id:842	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	381.16398344947	338	0.0526479202988069
Yengo BMI EU sex combined 941 SNPs clumped	842	Apolipoprotein A-I || id:842	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.0695332617553108	338	1
Yengo BMI EU sex combined 941 SNPs clumped	843	Apolipoprotein B || id:843	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	475.465896826498	337	9.45346128359387e-07
Yengo BMI EU sex combined 941 SNPs clumped	843	Apolipoprotein B || id:843	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	468.774246874428	336	2.16647034120464e-06
Yengo BMI EU sex combined 941 SNPs clumped	843	Apolipoprotein B || id:843	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	475.64368367749	337	9.20078054899991e-07
Yengo BMI EU sex combined 941 SNPs clumped	843	Apolipoprotein B || id:843	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	475.38726829374	337	9.56734684690306e-07
Yengo BMI EU sex combined 941 SNPs clumped	843	Apolipoprotein B || id:843	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.0782821474589784	337	1
Yengo BMI EU sex combined 941 SNPs clumped	844	Ratio of bisallylic groups to double bonds || id:844	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	351.6420728667	337	0.280412884047618
Yengo BMI EU sex combined 941 SNPs clumped	844	Ratio of bisallylic groups to double bonds || id:844	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	351.501615942299	336	0.269391321067845
Yengo BMI EU sex combined 941 SNPs clumped	844	Ratio of bisallylic groups to double bonds || id:844	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	351.806313463134	337	0.278345626004321
Yengo BMI EU sex combined 941 SNPs clumped	844	Ratio of bisallylic groups to double bonds || id:844	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	351.552722303151	337	0.281540902491357
Yengo BMI EU sex combined 941 SNPs clumped	844	Ratio of bisallylic groups to double bonds || id:844	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.082551171012418	337	1
Yengo BMI EU sex combined 941 SNPs clumped	845	Ratio of bisallylic groups to total fatty acids || id:845	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	367.184121134778	337	0.124016280145927
Yengo BMI EU sex combined 941 SNPs clumped	845	Ratio of bisallylic groups to total fatty acids || id:845	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	367.28662424737	336	0.115675486089889
Yengo BMI EU sex combined 941 SNPs clumped	845	Ratio of bisallylic groups to total fatty acids || id:845	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	367.392383602783	337	0.122472317179997
Yengo BMI EU sex combined 941 SNPs clumped	845	Ratio of bisallylic groups to total fatty acids || id:845	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	367.074795180433	337	0.124832436246636
Yengo BMI EU sex combined 941 SNPs clumped	845	Ratio of bisallylic groups to total fatty acids || id:845	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.0892082092594052	337	1
Yengo BMI EU sex combined 941 SNPs clumped	846	3-hydroxybutyrate || id:846	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	319.829650426576	338	0.753652712479228
Yengo BMI EU sex combined 941 SNPs clumped	846	3-hydroxybutyrate || id:846	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	313.438735214978	337	0.816940675303764
Yengo BMI EU sex combined 941 SNPs clumped	846	3-hydroxybutyrate || id:846	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	319.832186779289	338	0.753620802442913
Yengo BMI EU sex combined 941 SNPs clumped	846	3-hydroxybutyrate || id:846	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	319.827400397652	338	0.753681018542786
Yengo BMI EU sex combined 941 SNPs clumped	846	3-hydroxybutyrate || id:846	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.0467712484626815	338	1
Yengo BMI EU sex combined 941 SNPs clumped	847	Average number of methylene groups per double bond || id:847	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	361.726701676875	337	0.169631957877076
Yengo BMI EU sex combined 941 SNPs clumped	847	Average number of methylene groups per double bond || id:847	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	361.984322560601	336	0.157883765931508
Yengo BMI EU sex combined 941 SNPs clumped	847	Average number of methylene groups per double bond || id:847	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	362.015885005989	337	0.166961321109987
Yengo BMI EU sex combined 941 SNPs clumped	847	Average number of methylene groups per double bond || id:847	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	361.600306671097	337	0.170808235609377
Yengo BMI EU sex combined 941 SNPs clumped	847	Average number of methylene groups per double bond || id:847	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.0864962306149569	337	1
Yengo BMI EU sex combined 941 SNPs clumped	848	Average number of methylene groups in a fatty acid chain || id:848	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	317.090810177457	337	0.775387123139452
Yengo BMI EU sex combined 941 SNPs clumped	848	Average number of methylene groups in a fatty acid chain || id:848	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	316.232710617127	336	0.774028395286563
Yengo BMI EU sex combined 941 SNPs clumped	848	Average number of methylene groups in a fatty acid chain || id:848	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	317.268348488681	337	0.773248066271619
Yengo BMI EU sex combined 941 SNPs clumped	848	Average number of methylene groups in a fatty acid chain || id:848	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	316.99384867585	337	0.776550843524735
Yengo BMI EU sex combined 941 SNPs clumped	848	Average number of methylene groups in a fatty acid chain || id:848	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.060341682499429	337	1
Yengo BMI EU sex combined 941 SNPs clumped	849	Citrate || id:849	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	357.196686670002	338	0.226528813066319
Yengo BMI EU sex combined 941 SNPs clumped	849	Citrate || id:849	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	354.955033804002	337	0.24032479005807
Yengo BMI EU sex combined 941 SNPs clumped	849	Citrate || id:849	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	357.19677780075	338	0.226527796067194
Yengo BMI EU sex combined 941 SNPs clumped	849	Citrate || id:849	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	357.196564249175	338	0.226530179260177
Yengo BMI EU sex combined 941 SNPs clumped	849	Citrate || id:849	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.0456067837157072	338	1
Yengo BMI EU sex combined 941 SNPs clumped	850	Creatinine || id:850	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	380.281397434089	338	0.0561046363941637
Yengo BMI EU sex combined 941 SNPs clumped	850	Creatinine || id:850	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	376.096653247485	337	0.0698643647621839
Yengo BMI EU sex combined 941 SNPs clumped	850	Creatinine || id:850	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	380.312036582487	338	0.0559816177128977
Yengo BMI EU sex combined 941 SNPs clumped	850	Creatinine || id:850	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	380.260978037312	338	0.0561867438917053
Yengo BMI EU sex combined 941 SNPs clumped	850	Creatinine || id:850	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.0578459047956129	338	1
Yengo BMI EU sex combined 941 SNPs clumped	851	Average number of double bonds in a fatty acid chain || id:851	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	345.185114077804	338	0.382082533833902
Yengo BMI EU sex combined 941 SNPs clumped	851	Average number of double bonds in a fatty acid chain || id:851	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	344.660534887464	337	0.375052630718954
Yengo BMI EU sex combined 941 SNPs clumped	851	Average number of double bonds in a fatty acid chain || id:851	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	345.360189258443	338	0.379553522101976
Yengo BMI EU sex combined 941 SNPs clumped	851	Average number of double bonds in a fatty acid chain || id:851	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	345.096965052745	338	0.383358110317603
Yengo BMI EU sex combined 941 SNPs clumped	851	Average number of double bonds in a fatty acid chain || id:851	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.0737514764486567	338	1
Yengo BMI EU sex combined 941 SNPs clumped	852	22:6, docosahexaenoic acid || id:852	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	336.777987818262	338	0.508538641087089
Yengo BMI EU sex combined 941 SNPs clumped	852	22:6, docosahexaenoic acid || id:852	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	333.367594369565	337	0.545664524870639
Yengo BMI EU sex combined 941 SNPs clumped	852	22:6, docosahexaenoic acid || id:852	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	336.810656157284	338	0.5080363754459
Yengo BMI EU sex combined 941 SNPs clumped	852	22:6, docosahexaenoic acid || id:852	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	336.750629684353	338	0.508959278576666
Yengo BMI EU sex combined 941 SNPs clumped	852	22:6, docosahexaenoic acid || id:852	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.0841102051672725	338	1
Yengo BMI EU sex combined 941 SNPs clumped	853	Free cholesterol to esterified cholesterol ratio || id:853	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	369.854269936455	337	0.10527657144272
Yengo BMI EU sex combined 941 SNPs clumped	853	Free cholesterol to esterified cholesterol ratio || id:853	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	367.215366792856	336	0.116181231038385
Yengo BMI EU sex combined 941 SNPs clumped	853	Free cholesterol to esterified cholesterol ratio || id:853	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	369.854341431784	337	0.105276099866935
Yengo BMI EU sex combined 941 SNPs clumped	853	Free cholesterol to esterified cholesterol ratio || id:853	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	369.854195697585	337	0.105277061116297
Yengo BMI EU sex combined 941 SNPs clumped	853	Free cholesterol to esterified cholesterol ratio || id:853	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.100312626905113	337	1
Yengo BMI EU sex combined 941 SNPs clumped	854	Description of average fatty acid chain length, not actual carbon number || id:854	Yengo BMI EU sex combined 941 SNPs clumped	Maximum likelihood	319.418980556145	337	0.746510051181857
Yengo BMI EU sex combined 941 SNPs clumped	854	Description of average fatty acid chain length, not actual carbon number || id:854	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	319.063022418063	336	0.738536540948885
Yengo BMI EU sex combined 941 SNPs clumped	854	Description of average fatty acid chain length, not actual carbon number || id:854	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted	319.435432966664	337	0.746299787665463
Yengo BMI EU sex combined 941 SNPs clumped	854	Description of average fatty acid chain length, not actual carbon number || id:854	Yengo BMI EU sex combined 941 SNPs clumped	IVW radial	319.404577683388	337	0.746694052147651
Yengo BMI EU sex combined 941 SNPs clumped	854	Description of average fatty acid chain length, not actual carbon number || id:854	Yengo BMI EU sex combined 941 SNPs clumped	Unweighted regression	0.0772033454222138	337	1
