id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
Yengo BMI EU sex combined 941 SNPs clumped	838	Acetoacetate || id:838	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	339	-0.169645812650688	0.0754399946013417	0.0251738634799422
Yengo BMI EU sex combined 941 SNPs clumped	838	Acetoacetate || id:838	Yengo BMI EU sex combined 941 SNPs clumped	Weighted median	339	-0.0470977872798647	0.0707691346859135	0.505722357867339
Yengo BMI EU sex combined 941 SNPs clumped	838	Acetoacetate || id:838	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted (multiplicative random effects)	339	0.0144826465554684	0.0371677232558571	0.69679053504753
Yengo BMI EU sex combined 941 SNPs clumped	838	Acetoacetate || id:838	Yengo BMI EU sex combined 941 SNPs clumped	Weighted mode	339	-0.0937189345663496	0.0778910110831108	0.229738676380649
Yengo BMI EU sex combined 941 SNPs clumped	839	Acetate || id:839	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	339	-0.0759116890187761	0.0709041314905547	0.2851045477865
Yengo BMI EU sex combined 941 SNPs clumped	839	Acetate || id:839	Yengo BMI EU sex combined 941 SNPs clumped	Weighted median	339	-0.154062393268642	0.0696349862991837	0.0269371061843972
Yengo BMI EU sex combined 941 SNPs clumped	839	Acetate || id:839	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted (multiplicative random effects)	339	-0.0899766904239421	0.0340985099053852	0.0083217737651303
Yengo BMI EU sex combined 941 SNPs clumped	839	Acetate || id:839	Yengo BMI EU sex combined 941 SNPs clumped	Weighted mode	339	-0.154354735202501	0.0657668655994767	0.0195019933748301
Yengo BMI EU sex combined 941 SNPs clumped	840	Alanine || id:840	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	339	0.0824920664548673	0.0736312615338582	0.26336656832133
Yengo BMI EU sex combined 941 SNPs clumped	840	Alanine || id:840	Yengo BMI EU sex combined 941 SNPs clumped	Weighted median	339	0.0273884778659622	0.0624621714159347	0.661037611614913
Yengo BMI EU sex combined 941 SNPs clumped	840	Alanine || id:840	Yengo BMI EU sex combined 941 SNPs clumped	Inverse variance weighted (multiplicative random effects)	339	0.0329038127535445	0.0355220539503096	0.354293983808207
Yengo BMI EU sex combined 941 SNPs clumped	840	Alanine || id:840	Yengo BMI EU sex combined 941 SNPs clumped	Weighted mode	339	0.0871112085199903	0.0763378575147089	0.254624824189556
Yengo BMI EU sex combined 941 SNPs clumped	841	Albumin || id:841	Yengo BMI EU sex combined 941 SNPs clumped	MR Egger	339	-0.118621004639716	0.0761796231194243	0.120379987145079
