id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Pulit WHR EU sex combined 316 SNPs	303	Glutamine || id:303	Pulit WHR EU sex combined 316 SNPs	Maximum likelihood	248.483248499649	277	0.890135254573604
Pulit WHR EU sex combined 316 SNPs	303	Glutamine || id:303	Pulit WHR EU sex combined 316 SNPs	MR Egger	248.547450935203	276	0.881197017060876
Pulit WHR EU sex combined 316 SNPs	303	Glutamine || id:303	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted	248.554586372854	277	0.889521832857289
Pulit WHR EU sex combined 316 SNPs	303	Glutamine || id:303	Pulit WHR EU sex combined 316 SNPs	IVW radial	248.450070039468	277	0.890419756157482
Pulit WHR EU sex combined 316 SNPs	303	Glutamine || id:303	Pulit WHR EU sex combined 316 SNPs	Unweighted regression	0.000453464254505501	277	1
Pulit WHR EU sex combined 316 SNPs	304	Tryptophan || id:304	Pulit WHR EU sex combined 316 SNPs	Maximum likelihood	353.278821225733	277	0.00130093351234393
Pulit WHR EU sex combined 316 SNPs	304	Tryptophan || id:304	Pulit WHR EU sex combined 316 SNPs	MR Egger	352.391703900806	276	0.00126403033425713
Pulit WHR EU sex combined 316 SNPs	304	Tryptophan || id:304	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted	353.456859432567	277	0.00127360632115962
Pulit WHR EU sex combined 316 SNPs	304	Tryptophan || id:304	Pulit WHR EU sex combined 316 SNPs	IVW radial	353.207890102085	277	0.00131197186842666
Pulit WHR EU sex combined 316 SNPs	304	Tryptophan || id:304	Pulit WHR EU sex combined 316 SNPs	Unweighted regression	0.000680990580076737	277	1
Pulit WHR EU sex combined 316 SNPs	305	Histidine || id:305	Pulit WHR EU sex combined 316 SNPs	Maximum likelihood	267.987949470273	277	0.64009469415136
Pulit WHR EU sex combined 316 SNPs	305	Histidine || id:305	Pulit WHR EU sex combined 316 SNPs	MR Egger	267.461644688985	276	0.632611985960842
Pulit WHR EU sex combined 316 SNPs	305	Histidine || id:305	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted	267.99316985432	277	0.640009886731749
Pulit WHR EU sex combined 316 SNPs	305	Histidine || id:305	Pulit WHR EU sex combined 316 SNPs	IVW radial	267.984421140672	277	0.640152010127284
Pulit WHR EU sex combined 316 SNPs	305	Histidine || id:305	Pulit WHR EU sex combined 316 SNPs	Unweighted regression	0.000715740139945556	277	1
Pulit WHR EU sex combined 316 SNPs	306	Leucine || id:306	Pulit WHR EU sex combined 316 SNPs	Maximum likelihood	338.206293378323	277	0.00698268937766728
Pulit WHR EU sex combined 316 SNPs	306	Leucine || id:306	Pulit WHR EU sex combined 316 SNPs	MR Egger	338.362500694385	276	0.00612081283331615
Pulit WHR EU sex combined 316 SNPs	306	Leucine || id:306	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted	338.695070912961	277	0.00663687725054126
Pulit WHR EU sex combined 316 SNPs	306	Leucine || id:306	Pulit WHR EU sex combined 316 SNPs	IVW radial	338.0371509356	277	0.00710608968136069
Pulit WHR EU sex combined 316 SNPs	306	Leucine || id:306	Pulit WHR EU sex combined 316 SNPs	Unweighted regression	0.000692013260718061	277	1
Pulit WHR EU sex combined 316 SNPs	307	Cholesterol || id:307	Pulit WHR EU sex combined 316 SNPs	Maximum likelihood	314.835584137554	277	0.0584825576025597
Pulit WHR EU sex combined 316 SNPs	307	Cholesterol || id:307	Pulit WHR EU sex combined 316 SNPs	MR Egger	313.932030150327	276	0.0577418020122996
Pulit WHR EU sex combined 316 SNPs	307	Cholesterol || id:307	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted	314.83641764823	277	0.0584787604605238
Pulit WHR EU sex combined 316 SNPs	307	Cholesterol || id:307	Pulit WHR EU sex combined 316 SNPs	IVW radial	314.834973611812	277	0.0584853390412656
Pulit WHR EU sex combined 316 SNPs	307	Cholesterol || id:307	Pulit WHR EU sex combined 316 SNPs	Unweighted regression	0.00120045071198774	277	1
Pulit WHR EU sex combined 316 SNPs	308	Phenylalanine || id:308	Pulit WHR EU sex combined 316 SNPs	Maximum likelihood	220.122854132913	277	0.995005248145406
Pulit WHR EU sex combined 316 SNPs	308	Phenylalanine || id:308	Pulit WHR EU sex combined 316 SNPs	MR Egger	220.200585426366	276	0.994266842614258
Pulit WHR EU sex combined 316 SNPs	308	Phenylalanine || id:308	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted	220.239058581713	277	0.994921405267069
Pulit WHR EU sex combined 316 SNPs	308	Phenylalanine || id:308	Pulit WHR EU sex combined 316 SNPs	IVW radial	220.075277823497	277	0.995039226329955
Pulit WHR EU sex combined 316 SNPs	308	Phenylalanine || id:308	Pulit WHR EU sex combined 316 SNPs	Unweighted regression	0.000544505745685893	277	1
Pulit WHR EU sex combined 316 SNPs	309	Creatinine || id:309	Pulit WHR EU sex combined 316 SNPs	Maximum likelihood	293.574420531863	277	0.236133405415126
Pulit WHR EU sex combined 316 SNPs	309	Creatinine || id:309	Pulit WHR EU sex combined 316 SNPs	MR Egger	292.798585365216	276	0.232932776214247
Pulit WHR EU sex combined 316 SNPs	309	Creatinine || id:309	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted	293.59500117687	277	0.235874341038467
Pulit WHR EU sex combined 316 SNPs	309	Creatinine || id:309	Pulit WHR EU sex combined 316 SNPs	IVW radial	293.564209098783	277	0.236262007191535
Pulit WHR EU sex combined 316 SNPs	309	Creatinine || id:309	Pulit WHR EU sex combined 316 SNPs	Unweighted regression	0.00136056357334032	277	1
Pulit WHR EU sex combined 316 SNPs	310	Lactate || id:310	Pulit WHR EU sex combined 316 SNPs	Maximum likelihood	253.714972751531	277	0.838892890311788
Pulit WHR EU sex combined 316 SNPs	310	Lactate || id:310	Pulit WHR EU sex combined 316 SNPs	MR Egger	253.792724863233	276	0.82722110393162
Pulit WHR EU sex combined 316 SNPs	310	Lactate || id:310	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted	253.798071066695	277	0.837976370762016
Pulit WHR EU sex combined 316 SNPs	310	Lactate || id:310	Pulit WHR EU sex combined 316 SNPs	IVW radial	253.677203643392	277	0.839308404619532
Pulit WHR EU sex combined 316 SNPs	310	Lactate || id:310	Pulit WHR EU sex combined 316 SNPs	Unweighted regression	0.00171199404303727	277	1
Pulit WHR EU sex combined 316 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Pulit WHR EU sex combined 316 SNPs	Maximum likelihood	316.394833096667	277	0.0517218710706804
Pulit WHR EU sex combined 316 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Pulit WHR EU sex combined 316 SNPs	MR Egger	316.149936907912	276	0.048409762274715
Pulit WHR EU sex combined 316 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted	316.472635069506	277	0.0514020760299073
Pulit WHR EU sex combined 316 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Pulit WHR EU sex combined 316 SNPs	IVW radial	316.370328797124	277	0.0518229304872748
Pulit WHR EU sex combined 316 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Pulit WHR EU sex combined 316 SNPs	Unweighted regression	0.0238703662590315	277	1
Pulit WHR EU sex combined 316 SNPs	312	Arabinose || id:312	Pulit WHR EU sex combined 316 SNPs	Maximum likelihood	243.794546623846	277	0.925464030642776
Pulit WHR EU sex combined 316 SNPs	312	Arabinose || id:312	Pulit WHR EU sex combined 316 SNPs	MR Egger	243.168753916443	276	0.923400294056811
Pulit WHR EU sex combined 316 SNPs	312	Arabinose || id:312	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted	243.799232184534	277	0.925433479808284
Pulit WHR EU sex combined 316 SNPs	312	Arabinose || id:312	Pulit WHR EU sex combined 316 SNPs	IVW radial	243.792090272927	277	0.925480042904102
