id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Pulit WHR EU sex combined 316 SNPs	303	Glutamine || id:303	Pulit WHR EU sex combined 316 SNPs	-2.32739491027128e-05	0.000275524214191948	0.932742783855865
Pulit WHR EU sex combined 316 SNPs	304	Tryptophan || id:304	Pulit WHR EU sex combined 316 SNPs	0.000268259179394379	0.000293701642255661	0.36184352391943
Pulit WHR EU sex combined 316 SNPs	305	Histidine || id:305	Pulit WHR EU sex combined 316 SNPs	-0.000208404560299791	0.000285854677014905	0.466584554090331
Pulit WHR EU sex combined 316 SNPs	306	Leucine || id:306	Pulit WHR EU sex combined 316 SNPs	-0.000148390578640508	0.000284905755286929	0.602895187058518
Pulit WHR EU sex combined 316 SNPs	307	Cholesterol || id:307	Pulit WHR EU sex combined 316 SNPs	0.000376438696492727	0.000422163089147922	0.373335707723916
Pulit WHR EU sex combined 316 SNPs	308	Phenylalanine || id:308	Pulit WHR EU sex combined 316 SNPs	-5.5356004721684e-05	0.000282218730955567	0.84464042849971
Pulit WHR EU sex combined 316 SNPs	309	Creatinine || id:309	Pulit WHR EU sex combined 316 SNPs	-0.000342327274286027	0.000395094979670672	0.386999867111646
Pulit WHR EU sex combined 316 SNPs	310	Lactate || id:310	Pulit WHR EU sex combined 316 SNPs	-3.91964380068452e-05	0.000536072909530558	0.941765387621388
Pulit WHR EU sex combined 316 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Pulit WHR EU sex combined 316 SNPs	-0.000958665154439082	0.00180617865262261	0.596005101604643
Pulit WHR EU sex combined 316 SNPs	312	Arabinose || id:312	Pulit WHR EU sex combined 316 SNPs	0.000689952602502037	0.000868928809131207	0.427862094040581
Pulit WHR EU sex combined 316 SNPs	313	Fructose || id:313	Pulit WHR EU sex combined 316 SNPs	-0.000709093045135831	0.000912476846710588	0.437760596406733
Pulit WHR EU sex combined 316 SNPs	314	Mannose || id:314	Pulit WHR EU sex combined 316 SNPs	-0.000729270749331454	0.000583314305653382	0.21227844515461
Pulit WHR EU sex combined 316 SNPs	315	Pyruvate || id:315	Pulit WHR EU sex combined 316 SNPs	0.000559495399885334	0.000895723485192962	0.532730202229505
Pulit WHR EU sex combined 316 SNPs	316	Uridine || id:316	Pulit WHR EU sex combined 316 SNPs	2.28516375773715e-05	0.000395806701627011	0.954002018331487
Pulit WHR EU sex combined 316 SNPs	317	Linoleate (18:2n6) || id:317	Pulit WHR EU sex combined 316 SNPs	0.000382856065996824	0.000594360204380608	0.520014270716767
Pulit WHR EU sex combined 316 SNPs	318	Allantoin || id:318	Pulit WHR EU sex combined 316 SNPs	0.000907490897029437	0.0010727779211476	0.398324093506792
Pulit WHR EU sex combined 316 SNPs	319	Arachidonate (20:4n6) || id:319	Pulit WHR EU sex combined 316 SNPs	-0.000427644469454297	0.000573115612566334	0.456196854729925
