id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Shungin WHR EU sex combined 26 SNPs clumped	303	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	19.9189939180967	17	0.278393551928809
Shungin WHR EU sex combined 26 SNPs clumped	303	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	19.5426444853208	16	0.241529406338579
Shungin WHR EU sex combined 26 SNPs clumped	303	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	19.9593850162821	17	0.276311925516969
Shungin WHR EU sex combined 26 SNPs clumped	303	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	19.9031383175061	17	0.279213543575172
Shungin WHR EU sex combined 26 SNPs clumped	303	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	2.90936956521739e-05	17	1
Shungin WHR EU sex combined 26 SNPs clumped	304	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	19.6957179848938	17	0.290087873018668
Shungin WHR EU sex combined 26 SNPs clumped	304	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	19.7120007833291	16	0.233473014930061
Shungin WHR EU sex combined 26 SNPs clumped	304	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	19.7461173721044	17	0.287420482963872
Shungin WHR EU sex combined 26 SNPs clumped	304	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	19.6821912579762	17	0.290806513087121
Shungin WHR EU sex combined 26 SNPs clumped	304	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	3.08583559782609e-05	17	1
Shungin WHR EU sex combined 26 SNPs clumped	305	Histidine || id:305	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	13.151229770768	17	0.726004704588117
Shungin WHR EU sex combined 26 SNPs clumped	305	Histidine || id:305	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	13.0552311903778	16	0.668715229508576
Shungin WHR EU sex combined 26 SNPs clumped	305	Histidine || id:305	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	13.1518958952715	17	0.725959611392035
Shungin WHR EU sex combined 26 SNPs clumped	305	Histidine || id:305	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	13.1511553169414	17	0.726009744597331
Shungin WHR EU sex combined 26 SNPs clumped	305	Histidine || id:305	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	2.24958483355978e-05	17	1
Shungin WHR EU sex combined 26 SNPs clumped	306	Leucine || id:306	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	20.3806889308712	17	0.255222132573627
Shungin WHR EU sex combined 26 SNPs clumped	306	Leucine || id:306	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	20.1035237371077	16	0.21559413685059
Shungin WHR EU sex combined 26 SNPs clumped	306	Leucine || id:306	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	20.4669730643423	17	0.251043517506642
Shungin WHR EU sex combined 26 SNPs clumped	306	Leucine || id:306	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	20.3655295506958	17	0.255961223372065
Shungin WHR EU sex combined 26 SNPs clumped	306	Leucine || id:306	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	3.3888175951087e-05	17	1
Shungin WHR EU sex combined 26 SNPs clumped	307	Cholesterol || id:307	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	21.9634753032231	17	0.186127770376977
Shungin WHR EU sex combined 26 SNPs clumped	307	Cholesterol || id:307	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	21.0734787496225	16	0.175703387055029
Shungin WHR EU sex combined 26 SNPs clumped	307	Cholesterol || id:307	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	21.9893776836171	17	0.18512788909813
Shungin WHR EU sex combined 26 SNPs clumped	307	Cholesterol || id:307	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	21.9594944181841	17	0.186281804701071
Shungin WHR EU sex combined 26 SNPs clumped	307	Cholesterol || id:307	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	6.79902776834239e-05	17	1
Shungin WHR EU sex combined 26 SNPs clumped	308	Phenylalanine || id:308	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	13.0728969368259	17	0.731292503645683
Shungin WHR EU sex combined 26 SNPs clumped	308	Phenylalanine || id:308	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	13.0838009812854	16	0.666620908890323
Shungin WHR EU sex combined 26 SNPs clumped	308	Phenylalanine || id:308	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	13.1122171485601	17	0.728641949657081
Shungin WHR EU sex combined 26 SNPs clumped	308	Phenylalanine || id:308	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	13.0651225415242	17	0.731815668117363
Shungin WHR EU sex combined 26 SNPs clumped	308	Phenylalanine || id:308	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	2.38540081521739e-05	17	1
Shungin WHR EU sex combined 26 SNPs clumped	309	Creatinine || id:309	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	23.1634350406819	17	0.144005224940079
Shungin WHR EU sex combined 26 SNPs clumped	309	Creatinine || id:309	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	22.1774051678145	16	0.137555192911968
Shungin WHR EU sex combined 26 SNPs clumped	309	Creatinine || id:309	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	23.171848827295	17	0.14373923409241
Shungin WHR EU sex combined 26 SNPs clumped	309	Creatinine || id:309	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	23.1635491874015	17	0.14400161370095
Shungin WHR EU sex combined 26 SNPs clumped	309	Creatinine || id:309	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	7.34415684442935e-05	17	1
Shungin WHR EU sex combined 26 SNPs clumped	310	Lactate || id:310	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	17.0051260687622	17	0.454018870648276
Shungin WHR EU sex combined 26 SNPs clumped	310	Lactate || id:310	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	16.6808283135695	16	0.406535399450817
Shungin WHR EU sex combined 26 SNPs clumped	310	Lactate || id:310	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	17.0460134974896	17	0.451252903649499
Shungin WHR EU sex combined 26 SNPs clumped	310	Lactate || id:310	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	16.9929942571845	17	0.454840856564315
Shungin WHR EU sex combined 26 SNPs clumped	310	Lactate || id:310	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	9.85649966032609e-05	17	1
Shungin WHR EU sex combined 26 SNPs clumped	311	3-hydroxybutyrate (BHBA) || id:311	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	10.2485015348741	17	0.892867136957457
Shungin WHR EU sex combined 26 SNPs clumped	311	3-hydroxybutyrate (BHBA) || id:311	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	10.2094764687136	16	0.855462284082278
Shungin WHR EU sex combined 26 SNPs clumped	311	3-hydroxybutyrate (BHBA) || id:311	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	10.2485347945253	17	0.89286565618178
Shungin WHR EU sex combined 26 SNPs clumped	311	3-hydroxybutyrate (BHBA) || id:311	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	10.2484936189529	17	0.892867489385917
Shungin WHR EU sex combined 26 SNPs clumped	311	3-hydroxybutyrate (BHBA) || id:311	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	0.00059878433423913	17	1
Shungin WHR EU sex combined 26 SNPs clumped	312	Arabinose || id:312	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	13.1746878956952	17	0.724415444040033
Shungin WHR EU sex combined 26 SNPs clumped	312	Arabinose || id:312	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	12.1571419424462	16	0.733093379442595
Shungin WHR EU sex combined 26 SNPs clumped	312	Arabinose || id:312	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	13.2052231231759	17	0.722342851143732
Shungin WHR EU sex combined 26 SNPs clumped	312	Arabinose || id:312	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	13.1564736488653	17	0.725649664016859
Shungin WHR EU sex combined 26 SNPs clumped	312	Arabinose || id:312	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	0.000195874686650815	17	1
Shungin WHR EU sex combined 26 SNPs clumped	313	Fructose || id:313	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	18.3706258654771	17	0.365828331697307
Shungin WHR EU sex combined 26 SNPs clumped	313	Fructose || id:313	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	17.2163659772176	16	0.371731533594305
Shungin WHR EU sex combined 26 SNPs clumped	313	Fructose || id:313	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	18.3996365288046	17	0.364058922024057
Shungin WHR EU sex combined 26 SNPs clumped	313	Fructose || id:313	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	18.3646008025502	17	0.366196402562829
Shungin WHR EU sex combined 26 SNPs clumped	313	Fructose || id:313	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	0.000411178688009511	17	1
Shungin WHR EU sex combined 26 SNPs clumped	314	Mannose || id:314	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	22.7503310381482	17	0.157556565034304
Shungin WHR EU sex combined 26 SNPs clumped	314	Mannose || id:314	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	22.6573771499403	16	0.123205088282313
Shungin WHR EU sex combined 26 SNPs clumped	314	Mannose || id:314	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	22.7756365271666	17	0.156698410192022
Shungin WHR EU sex combined 26 SNPs clumped	314	Mannose || id:314	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	22.7430489901205	17	0.157804198938801
Shungin WHR EU sex combined 26 SNPs clumped	314	Mannose || id:314	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	0.000169365203804348	17	1
Shungin WHR EU sex combined 26 SNPs clumped	315	Pyruvate || id:315	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	13.4848025453036	17	0.703175513692853
Shungin WHR EU sex combined 26 SNPs clumped	315	Pyruvate || id:315	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	13.3261417525731	16	0.648778502246547
Shungin WHR EU sex combined 26 SNPs clumped	315	Pyruvate || id:315	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	13.4848928568974	17	0.70316926998838
Shungin WHR EU sex combined 26 SNPs clumped	315	Pyruvate || id:315	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	13.4847943791415	17	0.703176078260032
Shungin WHR EU sex combined 26 SNPs clumped	315	Pyruvate || id:315	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	0.000283895556216033	17	1
Shungin WHR EU sex combined 26 SNPs clumped	316	Uridine || id:316	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	9.28820715139055	17	0.930783800281512
Shungin WHR EU sex combined 26 SNPs clumped	316	Uridine || id:316	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	8.89249051366243	16	0.917774746431114
Shungin WHR EU sex combined 26 SNPs clumped	316	Uridine || id:316	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	9.28894895785235	17	0.930758274929607
Shungin WHR EU sex combined 26 SNPs clumped	316	Uridine || id:316	Shungin WHR EU sex combined 26 SNPs clumped	IVW radial	9.28793599925296	17	0.93079312909753
Shungin WHR EU sex combined 26 SNPs clumped	316	Uridine || id:316	Shungin WHR EU sex combined 26 SNPs clumped	Unweighted regression	2.9634347826087e-05	17	1
Shungin WHR EU sex combined 26 SNPs clumped	317	Linoleate (18:2n6) || id:317	Shungin WHR EU sex combined 26 SNPs clumped	Maximum likelihood	15.1548583854212	17	0.584328333119706
Shungin WHR EU sex combined 26 SNPs clumped	317	Linoleate (18:2n6) || id:317	Shungin WHR EU sex combined 26 SNPs clumped	MR Egger	15.123708323663	16	0.515597261216335
Shungin WHR EU sex combined 26 SNPs clumped	317	Linoleate (18:2n6) || id:317	Shungin WHR EU sex combined 26 SNPs clumped	Inverse variance weighted	15.1554237608877	17	0.584287624092461
