id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Shungin WHR EU sex combined 26 SNPs	838	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs	0.00150213693521244	0.00699206526859362	0.831711392513631
Shungin WHR EU sex combined 26 SNPs	839	Acetate || id:839	Shungin WHR EU sex combined 26 SNPs	0.0161499466814011	0.0065785110191261	0.0217192366778446
Shungin WHR EU sex combined 26 SNPs	840	Alanine || id:840	Shungin WHR EU sex combined 26 SNPs	0.00339739548531303	0.00816964487667076	0.681210417547896
Shungin WHR EU sex combined 26 SNPs	841	Albumin || id:841	Shungin WHR EU sex combined 26 SNPs	-0.0147307558127554	0.00705283450912589	0.0475231055259646
Shungin WHR EU sex combined 26 SNPs	842	Apolipoprotein A-I || id:842	Shungin WHR EU sex combined 26 SNPs	-0.00358492306068441	0.00759443423219785	0.64115767395948
Shungin WHR EU sex combined 26 SNPs	843	Apolipoprotein B || id:843	Shungin WHR EU sex combined 26 SNPs	-0.00919349971167926	0.00966575178892433	0.351013583985331
Shungin WHR EU sex combined 26 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Shungin WHR EU sex combined 26 SNPs	0.00236132788568266	0.00991366958471437	0.813756344266073
Shungin WHR EU sex combined 26 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Shungin WHR EU sex combined 26 SNPs	-0.00115284779870502	0.00947806681582769	0.904202200067366
Shungin WHR EU sex combined 26 SNPs	846	3-hydroxybutyrate || id:846	Shungin WHR EU sex combined 26 SNPs	0.0027497099344125	0.007214394270971	0.706450979334647
Shungin WHR EU sex combined 26 SNPs	847	Average number of methylene groups per double bond || id:847	Shungin WHR EU sex combined 26 SNPs	-0.00170097398713416	0.00848000904444114	0.842712156757295
Shungin WHR EU sex combined 26 SNPs	848	Average number of methylene groups in a fatty acid chain || id:848	Shungin WHR EU sex combined 26 SNPs	0.00654643071201004	0.00777232870055104	0.407949951482047
Shungin WHR EU sex combined 26 SNPs	849	Citrate || id:849	Shungin WHR EU sex combined 26 SNPs	-0.00752283654115546	0.00651915228023703	0.259879158772386
Shungin WHR EU sex combined 26 SNPs	850	Creatinine || id:850	Shungin WHR EU sex combined 26 SNPs	-0.00726588323342562	0.00694708299132942	0.306031980440202
Shungin WHR EU sex combined 26 SNPs	851	Average number of double bonds in a fatty acid chain || id:851	Shungin WHR EU sex combined 26 SNPs	0.00226192501560081	0.00933800921513279	0.810661635102032
Shungin WHR EU sex combined 26 SNPs	852	22:6, docosahexaenoic acid || id:852	Shungin WHR EU sex combined 26 SNPs	0.00234334551048083	0.008489339069319	0.784885016939354
Shungin WHR EU sex combined 26 SNPs	853	Free cholesterol to esterified cholesterol ratio || id:853	Shungin WHR EU sex combined 26 SNPs	-0.00682417559399561	0.00849792520287414	0.429833043903693
Shungin WHR EU sex combined 26 SNPs	854	Description of average fatty acid chain length, not actual carbon number || id:854	Shungin WHR EU sex combined 26 SNPs	0.0102876750747762	0.0102377600062861	0.324981330264056
Shungin WHR EU sex combined 26 SNPs	855	Omega-3 fatty acids || id:855	Shungin WHR EU sex combined 26 SNPs	-0.0056970994988647	0.00993928339408788	0.571848062945205
Shungin WHR EU sex combined 26 SNPs	856	Omega-6 fatty acids || id:856	Shungin WHR EU sex combined 26 SNPs	-0.0050541244240831	0.00944653866564505	0.597556133861649
Shungin WHR EU sex combined 26 SNPs	857	Omega-7, omega-9 and saturated fatty acids || id:857	Shungin WHR EU sex combined 26 SNPs	-7.28367556583183e-05	0.0107475223051119	0.994648737666517
Shungin WHR EU sex combined 26 SNPs	858	Free cholesterol || id:858	Shungin WHR EU sex combined 26 SNPs	-0.00276020929922704	0.00848018569236966	0.747631543776773
Shungin WHR EU sex combined 26 SNPs	859	Glucose || id:859	Shungin WHR EU sex combined 26 SNPs	0.00928269742858209	0.00785389620733407	0.248815159031923
Shungin WHR EU sex combined 26 SNPs	860	Glutamine || id:860	Shungin WHR EU sex combined 26 SNPs	-0.00455160711105016	0.00718497130515909	0.532404894433158
Shungin WHR EU sex combined 26 SNPs	861	Glycerol || id:861	Shungin WHR EU sex combined 26 SNPs	0.0122167723504854	0.00732660155666999	0.108422047326979
Shungin WHR EU sex combined 26 SNPs	862	Glycoproteins || id:862	Shungin WHR EU sex combined 26 SNPs	0.000561764324256645	0.00737574490663421	0.939920188355115
Shungin WHR EU sex combined 26 SNPs	863	Glycoprotein acetyls || id:863	Shungin WHR EU sex combined 26 SNPs	-0.00760040072739616	0.00809020567487415	0.356855830478111
Shungin WHR EU sex combined 26 SNPs	864	Total cholesterol in HDL || id:864	Shungin WHR EU sex combined 26 SNPs	-0.00113721243425699	0.0116072094405772	0.922766082624072
