id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Shungin WHR EU sex combined 26 SNPs clumped	838	Acetoacetate || id:838	Shungin WHR EU sex combined 26 SNPs clumped	0.0121335730401692	0.0151444752151822	0.434760028521963
Shungin WHR EU sex combined 26 SNPs clumped	839	Acetate || id:839	Shungin WHR EU sex combined 26 SNPs clumped	0.015098899179806	0.0136048034195531	0.283478202381877
Shungin WHR EU sex combined 26 SNPs clumped	840	Alanine || id:840	Shungin WHR EU sex combined 26 SNPs clumped	0.0183636534312962	0.0160962219345521	0.270714481890219
Shungin WHR EU sex combined 26 SNPs clumped	841	Albumin || id:841	Shungin WHR EU sex combined 26 SNPs clumped	-0.00542193590068905	0.0152911688786489	0.727534820748241
Shungin WHR EU sex combined 26 SNPs clumped	842	Apolipoprotein A-I || id:842	Shungin WHR EU sex combined 26 SNPs clumped	-0.00177655180390073	0.0180760092282524	0.922928874387274
Shungin WHR EU sex combined 26 SNPs clumped	843	Apolipoprotein B || id:843	Shungin WHR EU sex combined 26 SNPs clumped	0.00452220158793556	0.0204079756063579	0.827436520956452
Shungin WHR EU sex combined 26 SNPs clumped	844	Ratio of bisallylic groups to double bonds || id:844	Shungin WHR EU sex combined 26 SNPs clumped	0.000760158414430929	0.023749062609857	0.974861610066405
Shungin WHR EU sex combined 26 SNPs clumped	845	Ratio of bisallylic groups to total fatty acids || id:845	Shungin WHR EU sex combined 26 SNPs clumped	-0.00176949399541575	0.0218997206345696	0.936603201343076
Shungin WHR EU sex combined 26 SNPs clumped	846	3-hydroxybutyrate || id:846	Shungin WHR EU sex combined 26 SNPs clumped	-0.0207214434421972	0.0140219412343327	0.15887902676311
Shungin WHR EU sex combined 26 SNPs clumped	847	Average number of methylene groups per double bond || id:847	Shungin WHR EU sex combined 26 SNPs clumped	0.00634844078162304	0.0199673970838796	0.754642161452603
Shungin WHR EU sex combined 26 SNPs clumped	848	Average number of methylene groups in a fatty acid chain || id:848	Shungin WHR EU sex combined 26 SNPs clumped	-0.00619866696245584	0.0159230395998512	0.702194631401006
Shungin WHR EU sex combined 26 SNPs clumped	849	Citrate || id:849	Shungin WHR EU sex combined 26 SNPs clumped	-0.0215859727033467	0.0135510223073806	0.13073463842248
Shungin WHR EU sex combined 26 SNPs clumped	850	Creatinine || id:850	Shungin WHR EU sex combined 26 SNPs clumped	-0.0130625948851037	0.0143537709835359	0.376304184776055
Shungin WHR EU sex combined 26 SNPs clumped	851	Average number of double bonds in a fatty acid chain || id:851	Shungin WHR EU sex combined 26 SNPs clumped	0.00626276662431632	0.0209004179100726	0.76830337653965
Shungin WHR EU sex combined 26 SNPs clumped	852	22:6, docosahexaenoic acid || id:852	Shungin WHR EU sex combined 26 SNPs clumped	0.0119891746239789	0.0180378786430723	0.515729983714999
Shungin WHR EU sex combined 26 SNPs clumped	853	Free cholesterol to esterified cholesterol ratio || id:853	Shungin WHR EU sex combined 26 SNPs clumped	-0.00388553510472935	0.018638466751894	0.837493795345266
Shungin WHR EU sex combined 26 SNPs clumped	854	Description of average fatty acid chain length, not actual carbon number || id:854	Shungin WHR EU sex combined 26 SNPs clumped	0.00577621541594924	0.021286560658123	0.789587878614498
Shungin WHR EU sex combined 26 SNPs clumped	855	Omega-3 fatty acids || id:855	Shungin WHR EU sex combined 26 SNPs clumped	0.0125543372966357	0.0197793612297053	0.534583245024474
Shungin WHR EU sex combined 26 SNPs clumped	856	Omega-6 fatty acids || id:856	Shungin WHR EU sex combined 26 SNPs clumped	-0.00297287994922936	0.0214558348344587	0.891528255830935
Shungin WHR EU sex combined 26 SNPs clumped	857	Omega-7, omega-9 and saturated fatty acids || id:857	Shungin WHR EU sex combined 26 SNPs clumped	0.0108489599956262	0.0254934578677928	0.676098369944699
Shungin WHR EU sex combined 26 SNPs clumped	858	Free cholesterol || id:858	Shungin WHR EU sex combined 26 SNPs clumped	-0.00417891493528086	0.0180209568103894	0.81956175958836
Shungin WHR EU sex combined 26 SNPs clumped	859	Glucose || id:859	Shungin WHR EU sex combined 26 SNPs clumped	-0.00915888687422348	0.015522361415482	0.563401779519911
Shungin WHR EU sex combined 26 SNPs clumped	860	Glutamine || id:860	Shungin WHR EU sex combined 26 SNPs clumped	0.000835113445618492	0.0161339293149367	0.959359603802955
