id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Shungin WHR EU sex combined 26 SNPs clumped	303	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs clumped	-0.00103924878602956	0.00177917361724054	0.567285375552527
Shungin WHR EU sex combined 26 SNPs clumped	304	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs clumped	0.000252993528931832	0.00152030938029503	0.869919671412302
Shungin WHR EU sex combined 26 SNPs clumped	305	Histidine || id:305	Shungin WHR EU sex combined 26 SNPs clumped	-0.000540708129390982	0.00173911753671828	0.759883305403554
Shungin WHR EU sex combined 26 SNPs clumped	306	Leucine || id:306	Shungin WHR EU sex combined 26 SNPs clumped	0.000818416607727559	0.0015216984605929	0.598095884243081
Shungin WHR EU sex combined 26 SNPs clumped	307	Cholesterol || id:307	Shungin WHR EU sex combined 26 SNPs clumped	-0.00227567520151346	0.00272894401219179	0.416612039911496
Shungin WHR EU sex combined 26 SNPs clumped	308	Phenylalanine || id:308	Shungin WHR EU sex combined 26 SNPs clumped	-0.000280717263225138	0.00166527656691625	0.868246692484013
Shungin WHR EU sex combined 26 SNPs clumped	309	Creatinine || id:309	Shungin WHR EU sex combined 26 SNPs clumped	0.00236682631536754	0.00279429125676976	0.409474089391345
Shungin WHR EU sex combined 26 SNPs clumped	310	Lactate || id:310	Shungin WHR EU sex combined 26 SNPs clumped	-0.00199781054495945	0.00337556551432229	0.56222490719234
Shungin WHR EU sex combined 26 SNPs clumped	311	3-hydroxybutyrate (BHBA) || id:311	Shungin WHR EU sex combined 26 SNPs clumped	-0.00192700284188007	0.00975046983845492	0.845822120899929
Shungin WHR EU sex combined 26 SNPs clumped	312	Arabinose || id:312	Shungin WHR EU sex combined 26 SNPs clumped	-0.0054020674005171	0.00527670162106015	0.321179731263911
Shungin WHR EU sex combined 26 SNPs clumped	313	Fructose || id:313	Shungin WHR EU sex combined 26 SNPs clumped	0.00594080430640893	0.00566518335285659	0.30992138096742
Shungin WHR EU sex combined 26 SNPs clumped	314	Mannose || id:314	Shungin WHR EU sex combined 26 SNPs clumped	-0.00119078933279273	0.00412061431898237	0.776304747457362
