id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Pulit WHRadjBMI EU sex combined 346 SNPs	303	Glutamine || id:303	Pulit WHRadjBMI EU sex combined 346 SNPs	Maximum likelihood	258.967772850903	291	0.911810108672127
Pulit WHRadjBMI EU sex combined 346 SNPs	303	Glutamine || id:303	Pulit WHRadjBMI EU sex combined 346 SNPs	MR Egger	258.083526775539	290	0.911381312172704
Pulit WHRadjBMI EU sex combined 346 SNPs	303	Glutamine || id:303	Pulit WHRadjBMI EU sex combined 346 SNPs	Inverse variance weighted	258.987033693179	291	0.911671975738375
Pulit WHRadjBMI EU sex combined 346 SNPs	303	Glutamine || id:303	Pulit WHRadjBMI EU sex combined 346 SNPs	IVW radial	258.957516332686	291	0.911883602401143
Pulit WHRadjBMI EU sex combined 346 SNPs	303	Glutamine || id:303	Pulit WHRadjBMI EU sex combined 346 SNPs	Unweighted regression	0.000617447549207222	291	1
Pulit WHRadjBMI EU sex combined 346 SNPs	304	Tryptophan || id:304	Pulit WHRadjBMI EU sex combined 346 SNPs	Maximum likelihood	346.934033559019	291	0.013486028370859
Pulit WHRadjBMI EU sex combined 346 SNPs	304	Tryptophan || id:304	Pulit WHRadjBMI EU sex combined 346 SNPs	MR Egger	346.986769798332	290	0.0120929120036583
Pulit WHRadjBMI EU sex combined 346 SNPs	304	Tryptophan || id:304	Pulit WHRadjBMI EU sex combined 346 SNPs	Inverse variance weighted	347.006560352305	291	0.0133938554339703
Pulit WHRadjBMI EU sex combined 346 SNPs	304	Tryptophan || id:304	Pulit WHRadjBMI EU sex combined 346 SNPs	IVW radial	346.901475578107	291	0.0135275876009921
Pulit WHRadjBMI EU sex combined 346 SNPs	304	Tryptophan || id:304	Pulit WHRadjBMI EU sex combined 346 SNPs	Unweighted regression	0.000772298789977855	291	1
Pulit WHRadjBMI EU sex combined 346 SNPs	305	Histidine || id:305	Pulit WHRadjBMI EU sex combined 346 SNPs	Maximum likelihood	256.7464238226	291	0.926723606841737
Pulit WHRadjBMI EU sex combined 346 SNPs	305	Histidine || id:305	Pulit WHRadjBMI EU sex combined 346 SNPs	MR Egger	254.74373874972	290	0.933177662558044
Pulit WHRadjBMI EU sex combined 346 SNPs	305	Histidine || id:305	Pulit WHRadjBMI EU sex combined 346 SNPs	Inverse variance weighted	256.755918852608	291	0.92666407564998
Pulit WHRadjBMI EU sex combined 346 SNPs	305	Histidine || id:305	Pulit WHRadjBMI EU sex combined 346 SNPs	IVW radial	256.742146989502	291	0.92675040979832
Pulit WHRadjBMI EU sex combined 346 SNPs	305	Histidine || id:305	Pulit WHRadjBMI EU sex combined 346 SNPs	Unweighted regression	0.000742990647177181	291	1
Pulit WHRadjBMI EU sex combined 346 SNPs	306	Leucine || id:306	Pulit WHRadjBMI EU sex combined 346 SNPs	Maximum likelihood	329.128773419854	291	0.0613368936044775
Pulit WHRadjBMI EU sex combined 346 SNPs	306	Leucine || id:306	Pulit WHRadjBMI EU sex combined 346 SNPs	MR Egger	329.124992725838	290	0.0565780101165245
Pulit WHRadjBMI EU sex combined 346 SNPs	306	Leucine || id:306	Pulit WHRadjBMI EU sex combined 346 SNPs	Inverse variance weighted	329.212279080892	291	0.0609513435435478
Pulit WHRadjBMI EU sex combined 346 SNPs	306	Leucine || id:306	Pulit WHRadjBMI EU sex combined 346 SNPs	IVW radial	329.099164524794	291	0.0614740716525946
Pulit WHRadjBMI EU sex combined 346 SNPs	306	Leucine || id:306	Pulit WHRadjBMI EU sex combined 346 SNPs	Unweighted regression	0.000720345493586767	291	1
Pulit WHRadjBMI EU sex combined 346 SNPs	307	Cholesterol || id:307	Pulit WHRadjBMI EU sex combined 346 SNPs	Maximum likelihood	320.220409327411	291	0.115007747554399
Pulit WHRadjBMI EU sex combined 346 SNPs	307	Cholesterol || id:307	Pulit WHRadjBMI EU sex combined 346 SNPs	MR Egger	319.314120246183	290	0.113925990631235
Pulit WHRadjBMI EU sex combined 346 SNPs	307	Cholesterol || id:307	Pulit WHRadjBMI EU sex combined 346 SNPs	Inverse variance weighted	320.240964000859	291	0.114852649502992
Pulit WHRadjBMI EU sex combined 346 SNPs	307	Cholesterol || id:307	Pulit WHRadjBMI EU sex combined 346 SNPs	IVW radial	320.208819159109	291	0.115095271278945
Pulit WHRadjBMI EU sex combined 346 SNPs	307	Cholesterol || id:307	Pulit WHRadjBMI EU sex combined 346 SNPs	Unweighted regression	0.00155748394886103	291	1
Pulit WHRadjBMI EU sex combined 346 SNPs	308	Phenylalanine || id:308	Pulit WHRadjBMI EU sex combined 346 SNPs	Maximum likelihood	232.878547815597	291	0.994814855344079
Pulit WHRadjBMI EU sex combined 346 SNPs	308	Phenylalanine || id:308	Pulit WHRadjBMI EU sex combined 346 SNPs	MR Egger	232.897333235511	290	0.994120095796688
Pulit WHRadjBMI EU sex combined 346 SNPs	308	Phenylalanine || id:308	Pulit WHRadjBMI EU sex combined 346 SNPs	Inverse variance weighted	232.910397831511	291	0.994791908156136
Pulit WHRadjBMI EU sex combined 346 SNPs	308	Phenylalanine || id:308	Pulit WHRadjBMI EU sex combined 346 SNPs	IVW radial	232.865272279832	291	0.994824394086016
Pulit WHRadjBMI EU sex combined 346 SNPs	308	Phenylalanine || id:308	Pulit WHRadjBMI EU sex combined 346 SNPs	Unweighted regression	0.000609370351140127	291	1
Pulit WHRadjBMI EU sex combined 346 SNPs	309	Creatinine || id:309	Pulit WHRadjBMI EU sex combined 346 SNPs	Maximum likelihood	289.630136425638	291	0.511656387788378
Pulit WHRadjBMI EU sex combined 346 SNPs	309	Creatinine || id:309	Pulit WHRadjBMI EU sex combined 346 SNPs	MR Egger	286.289058399804	290	0.550543512179269
Pulit WHRadjBMI EU sex combined 346 SNPs	309	Creatinine || id:309	Pulit WHRadjBMI EU sex combined 346 SNPs	Inverse variance weighted	289.631673433748	291	0.511630906432914
Pulit WHRadjBMI EU sex combined 346 SNPs	309	Creatinine || id:309	Pulit WHRadjBMI EU sex combined 346 SNPs	IVW radial	289.629444429516	291	0.511667860089944
Pulit WHRadjBMI EU sex combined 346 SNPs	309	Creatinine || id:309	Pulit WHRadjBMI EU sex combined 346 SNPs	Unweighted regression	0.00146506269608336	291	1
Pulit WHRadjBMI EU sex combined 346 SNPs	310	Lactate || id:310	Pulit WHRadjBMI EU sex combined 346 SNPs	Maximum likelihood	270.192927577406	291	0.804037792624664
Pulit WHRadjBMI EU sex combined 346 SNPs	310	Lactate || id:310	Pulit WHRadjBMI EU sex combined 346 SNPs	MR Egger	270.216165964499	290	0.791917613870201
Pulit WHRadjBMI EU sex combined 346 SNPs	310	Lactate || id:310	Pulit WHRadjBMI EU sex combined 346 SNPs	Inverse variance weighted	270.247001424925	291	0.803385944313116
Pulit WHRadjBMI EU sex combined 346 SNPs	310	Lactate || id:310	Pulit WHRadjBMI EU sex combined 346 SNPs	IVW radial	270.178132214804	291	0.804215933976407
Pulit WHRadjBMI EU sex combined 346 SNPs	310	Lactate || id:310	Pulit WHRadjBMI EU sex combined 346 SNPs	Unweighted regression	0.00223946501717079	291	1
Pulit WHRadjBMI EU sex combined 346 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Pulit WHRadjBMI EU sex combined 346 SNPs	Maximum likelihood	365.491141193613	291	0.00195800527692761
Pulit WHRadjBMI EU sex combined 346 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Pulit WHRadjBMI EU sex combined 346 SNPs	MR Egger	364.543365167268	290	0.00192017766310341
Pulit WHRadjBMI EU sex combined 346 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Pulit WHRadjBMI EU sex combined 346 SNPs	Inverse variance weighted	365.533486392922	291	0.00194863688856453
Pulit WHRadjBMI EU sex combined 346 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Pulit WHRadjBMI EU sex combined 346 SNPs	IVW radial	365.46871711107	291	0.00196298318602555
Pulit WHRadjBMI EU sex combined 346 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Pulit WHRadjBMI EU sex combined 346 SNPs	Unweighted regression	0.0348376351065032	291	1
Pulit WHRadjBMI EU sex combined 346 SNPs	312	Arabinose || id:312	Pulit WHRadjBMI EU sex combined 346 SNPs	Maximum likelihood	260.979725841803	291	0.896536927279762
Pulit WHRadjBMI EU sex combined 346 SNPs	312	Arabinose || id:312	Pulit WHRadjBMI EU sex combined 346 SNPs	MR Egger	260.231931786411	290	0.894923037107474
Pulit WHRadjBMI EU sex combined 346 SNPs	312	Arabinose || id:312	Pulit WHRadjBMI EU sex combined 346 SNPs	Inverse variance weighted	261.02690563015	291	0.896158077775883
Pulit WHRadjBMI EU sex combined 346 SNPs	312	Arabinose || id:312	Pulit WHRadjBMI EU sex combined 346 SNPs	IVW radial	260.961969509828	291	0.896679260809246
Pulit WHRadjBMI EU sex combined 346 SNPs	312	Arabinose || id:312	Pulit WHRadjBMI EU sex combined 346 SNPs	Unweighted regression	0.00807223769325714	291	1
Pulit WHRadjBMI EU sex combined 346 SNPs	313	Fructose || id:313	Pulit WHRadjBMI EU sex combined 346 SNPs	Maximum likelihood	254.222522180669	291	0.941320028892491
Pulit WHRadjBMI EU sex combined 346 SNPs	313	Fructose || id:313	Pulit WHRadjBMI EU sex combined 346 SNPs	MR Egger	253.860619694279	290	0.938210114449287
Pulit WHRadjBMI EU sex combined 346 SNPs	313	Fructose || id:313	Pulit WHRadjBMI EU sex combined 346 SNPs	Inverse variance weighted	254.22257272014	291	0.941319760451678
Pulit WHRadjBMI EU sex combined 346 SNPs	313	Fructose || id:313	Pulit WHRadjBMI EU sex combined 346 SNPs	IVW radial	254.222327557294	291	0.941321062627473
Pulit WHRadjBMI EU sex combined 346 SNPs	313	Fructose || id:313	Pulit WHRadjBMI EU sex combined 346 SNPs	Unweighted regression	0.00733340074028399	291	1
Pulit WHRadjBMI EU sex combined 346 SNPs	314	Mannose || id:314	Pulit WHRadjBMI EU sex combined 346 SNPs	Maximum likelihood	333.091819329076	291	0.0450934460068999
Pulit WHRadjBMI EU sex combined 346 SNPs	314	Mannose || id:314	Pulit WHRadjBMI EU sex combined 346 SNPs	MR Egger	331.85515437186	290	0.0456960519672917
Pulit WHRadjBMI EU sex combined 346 SNPs	314	Mannose || id:314	Pulit WHRadjBMI EU sex combined 346 SNPs	Inverse variance weighted	333.121849547193	291	0.0449855114405879
Pulit WHRadjBMI EU sex combined 346 SNPs	314	Mannose || id:314	Pulit WHRadjBMI EU sex combined 346 SNPs	IVW radial	333.077698919243	291	0.0451442717703887
