id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	303	Glutamine || id:303	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Maximum likelihood	183.416337091925	182	0.456611564522531
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	303	Glutamine || id:303	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	MR Egger	182.540554299126	181	0.453919439769031
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	303	Glutamine || id:303	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Inverse variance weighted	183.428874562954	182	0.456352391932031
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	303	Glutamine || id:303	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	IVW radial	183.411398863714	182	0.456713655097561
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	303	Glutamine || id:303	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Unweighted regression	0.000465950085453917	182	1
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	304	Tryptophan || id:304	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Maximum likelihood	223.671682730534	182	0.019176606178252
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	304	Tryptophan || id:304	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	MR Egger	223.708986063402	181	0.0168559669327794
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	304	Tryptophan || id:304	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Inverse variance weighted	223.72279763594	182	0.019067688000197
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	304	Tryptophan || id:304	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	IVW radial	223.643819755545	182	0.0192362073032652
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	304	Tryptophan || id:304	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Unweighted regression	0.000521135893874819	182	1
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	305	Histidine || id:305	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Maximum likelihood	150.512713551352	182	0.957375554835972
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	305	Histidine || id:305	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	MR Egger	149.330498156764	181	0.95883316622073
