id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Pulit WHRadjBMI EU sex combined 346 SNPs	303	Glutamine || id:303	Pulit WHRadjBMI EU sex combined 346 SNPs	0.000225574732585217	0.000237314738022025	0.342634607006714
Pulit WHRadjBMI EU sex combined 346 SNPs	304	Tryptophan || id:304	Pulit WHRadjBMI EU sex combined 346 SNPs	-3.28742192985966e-05	0.000255613585037021	0.897756153004119
Pulit WHRadjBMI EU sex combined 346 SNPs	305	Histidine || id:305	Pulit WHRadjBMI EU sex combined 346 SNPs	-0.000348971904294746	0.000246012422890886	0.157114700637844
Pulit WHRadjBMI EU sex combined 346 SNPs	306	Leucine || id:306	Pulit WHRadjBMI EU sex combined 346 SNPs	-6.76294679289204e-05	0.00024386205192774	0.781726813410801
Pulit WHRadjBMI EU sex combined 346 SNPs	307	Cholesterol || id:307	Pulit WHRadjBMI EU sex combined 346 SNPs	0.000324100279747898	0.000353253281494724	0.359657313991929
Pulit WHRadjBMI EU sex combined 346 SNPs	308	Phenylalanine || id:308	Pulit WHRadjBMI EU sex combined 346 SNPs	2.77168802452031e-05	0.000242491406860849	0.909078708391785
Pulit WHRadjBMI EU sex combined 346 SNPs	309	Creatinine || id:309	Pulit WHRadjBMI EU sex combined 346 SNPs	-0.000589711584458172	0.000322549578113836	0.0685343939287546
Pulit WHRadjBMI EU sex combined 346 SNPs	310	Lactate || id:310	Pulit WHRadjBMI EU sex combined 346 SNPs	7.98851677157034e-05	0.000454926182398205	0.860730526370465
Pulit WHRadjBMI EU sex combined 346 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Pulit WHRadjBMI EU sex combined 346 SNPs	-0.00142485836722016	0.00160547339054839	0.375544972322257
Pulit WHRadjBMI EU sex combined 346 SNPs	312	Arabinose || id:312	Pulit WHRadjBMI EU sex combined 346 SNPs	0.000657367860822245	0.000737279311385407	0.373339541785545
Pulit WHRadjBMI EU sex combined 346 SNPs	313	Fructose || id:313	Pulit WHRadjBMI EU sex combined 346 SNPs	-0.000470377535801222	0.000781844646554982	0.547893591009813
Pulit WHRadjBMI EU sex combined 346 SNPs	314	Mannose || id:314	Pulit WHRadjBMI EU sex combined 346 SNPs	0.000538766621625999	0.000512082469435077	0.293625371194506
Pulit WHRadjBMI EU sex combined 346 SNPs	315	Pyruvate || id:315	Pulit WHRadjBMI EU sex combined 346 SNPs	0.000885439362060769	0.00080642767991997	0.273125145205132
Pulit WHRadjBMI EU sex combined 346 SNPs	316	Uridine || id:316	Pulit WHRadjBMI EU sex combined 346 SNPs	6.00738172267633e-05	0.000332823116092817	0.85688790525892
Pulit WHRadjBMI EU sex combined 346 SNPs	317	Linoleate (18:2n6) || id:317	Pulit WHRadjBMI EU sex combined 346 SNPs	-0.000169822604522889	0.000511551675262317	0.740147590398012
Pulit WHRadjBMI EU sex combined 346 SNPs	318	Allantoin || id:318	Pulit WHRadjBMI EU sex combined 346 SNPs	0.000572732664940896	0.000895471161589317	0.52294536258781
Pulit WHRadjBMI EU sex combined 346 SNPs	319	Arachidonate (20:4n6) || id:319	Pulit WHRadjBMI EU sex combined 346 SNPs	-0.000174567893566086	0.000467061571255409	0.708857633744143
Pulit WHRadjBMI EU sex combined 346 SNPs	320	Deoxycholate || id:320	Pulit WHRadjBMI EU sex combined 346 SNPs	8.43260539678348e-05	0.00138405101411534	0.95145932609682
Pulit WHRadjBMI EU sex combined 346 SNPs	321	Margarate (17:0) || id:321	Pulit WHRadjBMI EU sex combined 346 SNPs	-0.000192116716362255	0.000619974785181331	0.75687608109475
Pulit WHRadjBMI EU sex combined 346 SNPs	322	Inosine || id:322	Pulit WHRadjBMI EU sex combined 346 SNPs	-0.00166293378589131	0.00216889799948016	0.443874873336289
Pulit WHRadjBMI EU sex combined 346 SNPs	323	Isoleucine || id:323	Pulit WHRadjBMI EU sex combined 346 SNPs	-0.000251309138924887	0.000307783926079703	0.414877811184408
Pulit WHRadjBMI EU sex combined 346 SNPs	324	Threonine || id:324	Pulit WHRadjBMI EU sex combined 346 SNPs	-0.00026788492839196	0.000478481714148054	0.57600404363155
Pulit WHRadjBMI EU sex combined 346 SNPs	325	Tyrosine || id:325	Pulit WHRadjBMI EU sex combined 346 SNPs	9.37107419149704e-05	0.0003361828182744	0.780635852890925
