id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	303	Glutamine || id:303	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	MR Egger	183	-0.0209214592254844	0.0165045104179806	0.206561765421632
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	303	Glutamine || id:303	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Weighted median	183	-0.0131664262629759	0.00873940812619815	0.131923959443779
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	303	Glutamine || id:303	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Inverse variance weighted (multiplicative random effects)	183	-0.00635804857519575	0.00562038604040241	0.257950865771932
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	303	Glutamine || id:303	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Weighted mode	183	-0.0237026041065533	0.0149385195483846	0.114321692124936
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	304	Tryptophan || id:304	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	MR Egger	183	0.0132982151700325	0.0174616739327306	0.447310277406456
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	304	Tryptophan || id:304	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Weighted median	183	0.00800504213271348	0.00883320536505192	0.364806552799608
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	304	Tryptophan || id:304	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Inverse variance weighted (multiplicative random effects)	183	0.0115706743101058	0.00613502894101928	0.0592947409976034
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	304	Tryptophan || id:304	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Weighted mode	183	0.00923552101994035	0.014677302237751	0.529982071855939
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	305	Histidine || id:305	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	MR Egger	183	0.0208498995430539	0.0170376014419935	0.222634218191827
Pulit WHRadjBMI EU sex combined 346 SNPs clumped	305	Histidine || id:305	Pulit WHRadjBMI EU sex combined 346 SNPs clumped	Weighted median	183	0.0096617035037682	0.00897562750551122	0.281731565505768
