id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Shungin WHRadjBMI EU sex combined 53 SNPs	303	Glutamine || id:303	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00132400970669838	0.000927291689149926	0.159816612584137
Shungin WHRadjBMI EU sex combined 53 SNPs	304	Tryptophan || id:304	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.000727886366038383	0.000884926296773215	0.414837798565935
Shungin WHRadjBMI EU sex combined 53 SNPs	305	Histidine || id:305	Shungin WHRadjBMI EU sex combined 53 SNPs	-7.0572155552764e-05	0.000985089798229097	0.943185819050439
Shungin WHRadjBMI EU sex combined 53 SNPs	306	Leucine || id:306	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00151026890057338	0.000891587527322403	0.0967628158230535
Shungin WHRadjBMI EU sex combined 53 SNPs	307	Cholesterol || id:307	Shungin WHRadjBMI EU sex combined 53 SNPs	0.000876488798374937	0.00157341107817841	0.580072921562124
Shungin WHRadjBMI EU sex combined 53 SNPs	308	Phenylalanine || id:308	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00121067060964053	0.000942626180011937	0.20518071983747
Shungin WHRadjBMI EU sex combined 53 SNPs	309	Creatinine || id:309	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.000974915209970017	0.00131628866140594	0.46251080712577
Shungin WHRadjBMI EU sex combined 53 SNPs	310	Lactate || id:310	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00140176834322307	0.001782568653802	0.435512735226238
Shungin WHRadjBMI EU sex combined 53 SNPs	311	3-hydroxybutyrate (BHBA) || id:311	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00118227208255851	0.00566231684098026	0.835490632839829
Shungin WHRadjBMI EU sex combined 53 SNPs	312	Arabinose || id:312	Shungin WHRadjBMI EU sex combined 53 SNPs	0.000561116950266578	0.00292488444832016	0.848674907758065
Shungin WHRadjBMI EU sex combined 53 SNPs	313	Fructose || id:313	Shungin WHRadjBMI EU sex combined 53 SNPs	0.000980695082004222	0.00315846925095673	0.757527344168457
Shungin WHRadjBMI EU sex combined 53 SNPs	314	Mannose || id:314	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00408272478655801	0.00187165826201128	0.034088119439985
Shungin WHRadjBMI EU sex combined 53 SNPs	315	Pyruvate || id:315	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00359733990570147	0.00302871177777272	0.240777800730106
Shungin WHRadjBMI EU sex combined 53 SNPs	316	Uridine || id:316	Shungin WHRadjBMI EU sex combined 53 SNPs	5.73973354670875e-05	0.00129685175654997	0.964881581322399
Shungin WHRadjBMI EU sex combined 53 SNPs	317	Linoleate (18:2n6) || id:317	Shungin WHRadjBMI EU sex combined 53 SNPs	0.000324682252473534	0.00193322581354617	0.867329489649682
Shungin WHRadjBMI EU sex combined 53 SNPs	318	Allantoin || id:318	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.0133102125097162	0.00348632507329364	0.000385827810085783
Shungin WHRadjBMI EU sex combined 53 SNPs	319	Arachidonate (20:4n6) || id:319	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00377678047581282	0.00180125439142991	0.0413096523822997
Shungin WHRadjBMI EU sex combined 53 SNPs	320	Deoxycholate || id:320	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.000731683317740832	0.00663007808692507	0.912585456712134
Shungin WHRadjBMI EU sex combined 53 SNPs	321	Margarate (17:0) || id:321	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00132922363818466	0.00243476081499078	0.587638420918004
Shungin WHRadjBMI EU sex combined 53 SNPs	322	Inosine || id:322	Shungin WHRadjBMI EU sex combined 53 SNPs	0.008055011253777	0.0103102547946215	0.438484848160957
Shungin WHRadjBMI EU sex combined 53 SNPs	323	Isoleucine || id:323	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00205041560537529	0.00120344267486053	0.0948867409785773
Shungin WHRadjBMI EU sex combined 53 SNPs	324	Threonine || id:324	Shungin WHRadjBMI EU sex combined 53 SNPs	0.000430938691150641	0.00192965843124179	0.824231206204656
Shungin WHRadjBMI EU sex combined 53 SNPs	325	Tyrosine || id:325	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.000503383586389112	0.00124310799517412	0.687321005093775
Shungin WHRadjBMI EU sex combined 53 SNPs	326	Lysine || id:326	Shungin WHRadjBMI EU sex combined 53 SNPs	0.000159381627757986	0.00126679676273881	0.900404130629178
Shungin WHRadjBMI EU sex combined 53 SNPs	327	Methionine || id:327	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.000986129805075609	0.00110128888459759	0.375024530103881
Shungin WHRadjBMI EU sex combined 53 SNPs	328	Malate || id:328	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00256490756543721	0.00210976271144705	0.230032261335811
Shungin WHRadjBMI EU sex combined 53 SNPs	329	Palmitate (16:0) || id:329	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.000164873514889193	0.00155956584110029	0.916247008479836
Shungin WHRadjBMI EU sex combined 53 SNPs	330	Nonadecanoate (19:0) || id:330	Shungin WHRadjBMI EU sex combined 53 SNPs	-5.81114172481794e-05	0.00219171594101808	0.978957199711771
Shungin WHRadjBMI EU sex combined 53 SNPs	331	Stearate (18:0) || id:331	Shungin WHRadjBMI EU sex combined 53 SNPs	2.11299595455948e-06	0.00162424196462298	0.998967414343094
Shungin WHRadjBMI EU sex combined 53 SNPs	332	Oleate (18:1n9) || id:332	Shungin WHRadjBMI EU sex combined 53 SNPs	0.00108638767476152	0.0018777803985991	0.565598531275683
Shungin WHRadjBMI EU sex combined 53 SNPs	333	Pentadecanoate (15:0) || id:333	Shungin WHRadjBMI EU sex combined 53 SNPs	0.002791859594801	0.00200135087436968	0.169441438306698
Shungin WHRadjBMI EU sex combined 53 SNPs	334	Myristate (14:0) || id:334	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00128990301930838	0.00208453977864747	0.538977074756336
Shungin WHRadjBMI EU sex combined 53 SNPs	335	Pipecolate || id:335	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00582664679289667	0.00344218098711203	0.0969908626544283
Shungin WHRadjBMI EU sex combined 53 SNPs	336	Ornithine || id:336	Shungin WHRadjBMI EU sex combined 53 SNPs	-0.00121722422537228	0.00187615540087097	0.519568568891699
