id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	303	Glutamine || id:303	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	-0.000686518732440026	0.0010456620769863	0.515770650691268
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	304	Tryptophan || id:304	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	-0.000102282033730073	0.000965891539038069	0.916271127615334
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	305	Histidine || id:305	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	0.000809442108647744	0.00111247021569716	0.47169328028177
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	306	Leucine || id:306	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	-0.000789650901044925	0.000962862769746753	0.417705246302565
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	307	Cholesterol || id:307	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	0.0003649988362353	0.00175783049216475	0.83671225888718
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	308	Phenylalanine || id:308	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	-0.000437577502308478	0.0010656911300114	0.683865586388145
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	309	Creatinine || id:309	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	0.000301895980754645	0.00152561666081213	0.844280241203557
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	310	Lactate || id:310	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	-0.00136758580411807	0.00199284456130716	0.497077989083527
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	311	3-hydroxybutyrate (BHBA) || id:311	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	-0.00086757638178211	0.00629511647493974	0.891174589136896
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	312	Arabinose || id:312	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	0.0021592071979935	0.00329038850744528	0.515976130039904
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	313	Fructose || id:313	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	0.00101224622468917	0.00359057314393567	0.779666897813607
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	314	Mannose || id:314	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	0.00422890184374428	0.00208771142978095	0.0504817968284534
