id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	303	Glutamine || id:303	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	MR Egger	37	0.00825513018387431	0.0376680724411406	0.827802690054065
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	303	Glutamine || id:303	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted median	37	-0.0140454535502981	0.0113355667052672	0.21532307411821
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	303	Glutamine || id:303	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Inverse variance weighted (multiplicative random effects)	37	-0.0159467530364009	0.00754010528360972	0.0344363867558322
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	303	Glutamine || id:303	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted mode	37	-0.016653745007623	0.0198076435757876	0.40602469527274
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	304	Tryptophan || id:304	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	MR Egger	37	0.0203042926338134	0.0343838741748593	0.55863753011875
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	304	Tryptophan || id:304	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted median	37	0.0269394167921948	0.0121449049506626	0.026543507306756
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	304	Tryptophan || id:304	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Inverse variance weighted (multiplicative random effects)	37	0.0167557043980867	0.00722940870777514	0.0204648499060605
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	304	Tryptophan || id:304	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted mode	37	0.0245770771679836	0.0196216335731182	0.218445387302481
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	305	Histidine || id:305	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	MR Egger	37	-0.0256532754086353	0.0400691936429749	0.526196108035651
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	305	Histidine || id:305	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted median	37	0.0098294341044702	0.0110890534857163	0.375397302651779
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	305	Histidine || id:305	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Inverse variance weighted (multiplicative random effects)	37	0.00291376655114081	0.00570696629325799	0.609657001474407
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	305	Histidine || id:305	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted mode	37	0.0118655427171159	0.0199638540286922	0.555994261056602
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	306	Leucine || id:306	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	MR Egger	37	0.0432226385086492	0.0343568612966612	0.216702292814083
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	306	Leucine || id:306	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted median	37	0.013229674986382	0.0111517673494308	0.235492045210633
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	306	Leucine || id:306	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Inverse variance weighted (multiplicative random effects)	37	0.015742455341478	0.00660008028571943	0.0170702332665381
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	306	Leucine || id:306	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted mode	37	0.00734498829294028	0.0155632241198137	0.639814112952732
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	307	Cholesterol || id:307	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	MR Egger	37	-0.0145088876381266	0.0622447217828846	0.817046062729642
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	307	Cholesterol || id:307	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted median	37	-0.0132216574234605	0.0157364538500764	0.400800216289226
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	307	Cholesterol || id:307	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Inverse variance weighted (multiplicative random effects)	37	-0.00186562560124369	0.0127436779476821	0.883608653237853
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	307	Cholesterol || id:307	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted mode	37	-0.000600872757691467	0.0229579217881397	0.979264070870495
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	308	Phenylalanine || id:308	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	MR Egger	37	0.0261584667849188	0.0383254849084618	0.499393828963737
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	308	Phenylalanine || id:308	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted median	37	0.0100045416129877	0.0109997305024769	0.363072505040057
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	308	Phenylalanine || id:308	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Inverse variance weighted (multiplicative random effects)	37	0.01075186044542	0.00698371962638034	0.123667465357333
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	308	Phenylalanine || id:308	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted mode	37	0.0131887802426616	0.0176519758514258	0.459821853733552
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	309	Creatinine || id:309	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	MR Egger	37	-0.014430341050667	0.0537036983714307	0.789735871086827
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	309	Creatinine || id:309	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted median	37	0.00597140851953589	0.0161197072790689	0.711053558242289
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	309	Creatinine || id:309	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Inverse variance weighted (multiplicative random effects)	37	-0.0040270743165398	0.0108176135440418	0.70969174155795
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	309	Creatinine || id:309	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted mode	37	0.011753788799916	0.0327661687469753	0.721901900597453
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	310	Lactate || id:310	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	MR Egger	37	0.0742349380544198	0.0707040787140773	0.300942307634908
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	310	Lactate || id:310	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted median	37	0.0247054854853886	0.0204046324174325	0.225980396478749
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	310	Lactate || id:310	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Inverse variance weighted (multiplicative random effects)	37	0.0267570816839197	0.0132476892406693	0.0434088453495262
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	310	Lactate || id:310	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted mode	37	0.00445354323501956	0.0420027321858789	0.916147306420049
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	311	3-hydroxybutyrate (BHBA) || id:311	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	MR Egger	37	-0.0122340314671766	0.22384854127352	0.956725568196369
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	311	3-hydroxybutyrate (BHBA) || id:311	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted median	37	-0.0517415218280439	0.0640807491939775	0.419411576139783
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	311	3-hydroxybutyrate (BHBA) || id:311	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Inverse variance weighted (multiplicative random effects)	37	-0.0424090183055375	0.0351854898048538	0.228088086042778
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	311	3-hydroxybutyrate (BHBA) || id:311	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted mode	37	-0.0363619921275162	0.101420441239534	0.722042810314589
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	312	Arabinose || id:312	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	MR Egger	37	-0.0969641666108574	0.117558136226629	0.415060723222283
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	312	Arabinose || id:312	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted median	37	-0.040333756083224	0.0348558929518631	0.247208039828799
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	312	Arabinose || id:312	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Inverse variance weighted (multiplicative random effects)	37	-0.0214402902047374	0.0212122894408277	0.312136806972936
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	312	Arabinose || id:312	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted mode	37	-0.0933292568389587	0.0602330654472686	0.130016503874802
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	313	Fructose || id:313	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	MR Egger	37	-0.0316020918007283	0.127655953993738	0.805923930848004
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	313	Fructose || id:313	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted median	37	0.00327364587213876	0.0373501367550114	0.930156852967924
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	313	Fructose || id:313	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Inverse variance weighted (multiplicative random effects)	37	0.00361143595673874	0.0260097118574129	0.889569063169207
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	313	Fructose || id:313	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted mode	37	-0.00710221382664744	0.0623543974417477	0.909949318506761
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	314	Mannose || id:314	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	MR Egger	37	-0.146817344152791	0.0740394265786173	0.0552627130600937
Shungin WHRadjBMI EU sex combined 53 SNPs clumped	314	Mannose || id:314	Shungin WHRadjBMI EU sex combined 53 SNPs clumped	Weighted median	37	-0.00983946628189074	0.0222242219780477	0.657956597788402
