id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	subcategory.outcome	name	lower_ci	upper_ci	metabolite	raw.label	class	subclass	label	label.no.units	derived_features
Hubel BF EU sex combined 76 SNPs	838	Acetoacetate || id:838	BF_Hubel_76	MR Egger	74	0.0109177291432868	0.0382318438879934	0.776030189677686	Keto acid	Acetoacetate	-0.0640166848771803	0.0858521431637539	acace	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	Acetoacetate (mmol/l)	Acetoacetate	no
Hubel BF EU sex combined 76 SNPs	838	Acetoacetate || id:838	BF_Hubel_76	Weighted median	74	0.0214983619577475	0.0142171016893838	0.130496214857881	Keto acid	Acetoacetate	-0.00636715735344475	0.0493638812689397	acace	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	Acetoacetate (mmol/l)	Acetoacetate	no
Hubel BF EU sex combined 76 SNPs	838	Acetoacetate || id:838	BF_Hubel_76	Inverse variance weighted (multiplicative random effects)	74	0.00733608112488326	0.0100418119674234	0.465051908466431	Keto acid	Acetoacetate	-0.0123458703312666	0.0270180325810331	acace	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	Acetoacetate (mmol/l)	Acetoacetate	no
Hubel BF EU sex combined 76 SNPs	838	Acetoacetate || id:838	BF_Hubel_76	Weighted mode	74	0.0209392000108998	0.0284955648517623	0.464801294715236	Keto acid	Acetoacetate	-0.0349121070985543	0.0767905071203539	acace	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	Acetoacetate (mmol/l)	Acetoacetate	no
Hubel BF EU sex combined 76 SNPs	839	Acetate || id:839	BF_Hubel_76	MR Egger	74	-0.0354262807091685	0.0305283982551697	0.249704276133721	Metabolite salt	Acetate	-0.0952619412893011	0.0244093798709641	ace	Acetate (mmol/l)	Ketone bodies	Ketone bodies	Acetate (mmol/l)	Acetate	no
Hubel BF EU sex combined 76 SNPs	839	Acetate || id:839	BF_Hubel_76	Weighted median	74	-0.0156777888039329	0.0114420320120391	0.170626754617975	Metabolite salt	Acetate	-0.0381041715475295	0.00674859393966374	ace	Acetate (mmol/l)	Ketone bodies	Ketone bodies	Acetate (mmol/l)	Acetate	no
Hubel BF EU sex combined 76 SNPs	839	Acetate || id:839	BF_Hubel_76	Inverse variance weighted (multiplicative random effects)	74	-0.00680151620359135	0.00695150449854449	0.327864850234558	Metabolite salt	Acetate	-0.0204264650207386	0.00682343261355585	ace	Acetate (mmol/l)	Ketone bodies	Ketone bodies	Acetate (mmol/l)	Acetate	no
Hubel BF EU sex combined 76 SNPs	839	Acetate || id:839	BF_Hubel_76	Weighted mode	74	-0.0268120129763779	0.0222390642269171	0.23185476800971	Metabolite salt	Acetate	-0.0704005788611354	0.0167765529083796	ace	Acetate (mmol/l)	Ketone bodies	Ketone bodies	Acetate (mmol/l)	Acetate	no
Hubel BF EU sex combined 76 SNPs	840	Alanine || id:840	BF_Hubel_76	MR Egger	74	-0.029614288934456	0.034620314092438	0.395166225083076	Amino acid	Alanine	-0.0974701045556345	0.0382415266867225	ala	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	Alanine	no
Hubel BF EU sex combined 76 SNPs	840	Alanine || id:840	BF_Hubel_76	Weighted median	74	0.00368882445594619	0.0124592810367218	0.767176310187165	Amino acid	Alanine	-0.0207313663760285	0.0281090152879209	ala	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	Alanine	no
Hubel BF EU sex combined 76 SNPs	840	Alanine || id:840	BF_Hubel_76	Inverse variance weighted (multiplicative random effects)	74	-0.00166176778244863	0.00910206603739809	0.855135116044526	Amino acid	Alanine	-0.0195018172157489	0.0161782816508516	ala	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	Alanine	no
Hubel BF EU sex combined 76 SNPs	840	Alanine || id:840	BF_Hubel_76	Weighted mode	74	0.00422514577052108	0.0264873203108595	0.873703052974083	Amino acid	Alanine	-0.0476900020387635	0.0561402935798057	ala	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	Alanine	no
Hubel BF EU sex combined 76 SNPs	841	Albumin || id:841	BF_Hubel_76	MR Egger	74	-0.0465195933220426	0.0382771797273642	0.22820858951998	Protein	Albumin	-0.121542865587676	0.0285036789435912	alb	Albumin  (signal area)	Fluid balance	Fluid balance	Albumin (signal area)	Albumin	no
Hubel BF EU sex combined 76 SNPs	841	Albumin || id:841	BF_Hubel_76	Weighted median	74	-0.0199466150898209	0.0145078943365868	0.169168622410845	Protein	Albumin	-0.048382087989531	0.00848885780988923	alb	Albumin  (signal area)	Fluid balance	Fluid balance	Albumin (signal area)	Albumin	no
Hubel BF EU sex combined 76 SNPs	841	Albumin || id:841	BF_Hubel_76	Inverse variance weighted (multiplicative random effects)	74	-0.0121755396073551	0.010135569359746	0.229647088048531	Protein	Albumin	-0.0320412555524573	0.00769017633774706	alb	Albumin  (signal area)	Fluid balance	Fluid balance	Albumin (signal area)	Albumin	no
Hubel BF EU sex combined 76 SNPs	841	Albumin || id:841	BF_Hubel_76	Weighted mode	74	-0.0258801268868725	0.0251005791963629	0.305918103746049	Protein	Albumin	-0.0750772621117438	0.0233170083379988	alb	Albumin  (signal area)	Fluid balance	Fluid balance	Albumin (signal area)	Albumin	no
Hubel BF EU sex combined 76 SNPs	842	Apolipoprotein A-I || id:842	BF_Hubel_76	MR Egger	74	-0.0849103651925184	0.0427175075345823	0.0506464406100573	Protein	Apolipoprotein A-I	-0.1686366799603	-0.0011840504247371	apoa1	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein A-I (g/l)	Apolipoprotein A-I	no
Hubel BF EU sex combined 76 SNPs	842	Apolipoprotein A-I || id:842	BF_Hubel_76	Weighted median	74	-0.00546016110906308	0.0144637249514682	0.705796673560923	Protein	Apolipoprotein A-I	-0.0338090620139408	0.0228887397958146	apoa1	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein A-I (g/l)	Apolipoprotein A-I	no
Hubel BF EU sex combined 76 SNPs	842	Apolipoprotein A-I || id:842	BF_Hubel_76	Inverse variance weighted (multiplicative random effects)	74	-0.00505039425765589	0.011476499921568	0.65989076757199	Protein	Apolipoprotein A-I	-0.0275443341039292	0.0174435455886174	apoa1	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein A-I (g/l)	Apolipoprotein A-I	no
Hubel BF EU sex combined 76 SNPs	842	Apolipoprotein A-I || id:842	BF_Hubel_76	Weighted mode	74	-0.0145681639106023	0.0271979021508096	0.593838646788833	Protein	Apolipoprotein A-I	-0.0678760521261891	0.0387397243049845	apoa1	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein A-I (g/l)	Apolipoprotein A-I	no
Hubel BF EU sex combined 76 SNPs	843	Apolipoprotein B || id:843	BF_Hubel_76	MR Egger	74	0.00542719058715086	0.0429018718684541	0.899686840659744	Protein	Apolipoprotein B	-0.0786604782750192	0.0895148594493209	apob	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein B (g/l)	Apolipoprotein B	no
Hubel BF EU sex combined 76 SNPs	843	Apolipoprotein B || id:843	BF_Hubel_76	Weighted median	74	0.0342306006377937	0.0138906733699015	0.0137286276633875	Protein	Apolipoprotein B	0.00700488083278676	0.0614563204428006	apob	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein B (g/l)	Apolipoprotein B	no
Hubel BF EU sex combined 76 SNPs	843	Apolipoprotein B || id:843	BF_Hubel_76	Inverse variance weighted (multiplicative random effects)	74	0.0159381306731574	0.0112119496229585	0.155162533155818	Protein	Apolipoprotein B	-0.00603729058784126	0.0379135519341561	apob	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein B (g/l)	Apolipoprotein B	no
Hubel BF EU sex combined 76 SNPs	843	Apolipoprotein B || id:843	BF_Hubel_76	Weighted mode	74	0.0578177443849761	0.0280891696472453	0.0431250844499843	Protein	Apolipoprotein B	0.00276297187637531	0.112872516893577	apob	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein B (g/l)	Apolipoprotein B	no
Hubel BF EU sex combined 76 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	BF_Hubel_76	MR Egger	74	-0.0323104697819596	0.0400507319573613	0.42247399577814	Metabolites ratio	Ratio of bisallylic groups to double bonds	-0.110809904418388	0.0461889648544686	NA	Ratio of bisallylic groups to double bonds	Metabolites ratio	Metabolites ratio	Ratio of bisallylic groups to double bonds	Ratio of bisallylic groups to double bonds	
Hubel BF EU sex combined 76 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	BF_Hubel_76	Weighted median	74	-0.0212122726106116	0.0151823734310869	0.162364120708856	Metabolites ratio	Ratio of bisallylic groups to double bonds	-0.0509697245355419	0.00854517931431872	NA	Ratio of bisallylic groups to double bonds	Metabolites ratio	Metabolites ratio	Ratio of bisallylic groups to double bonds	Ratio of bisallylic groups to double bonds	
Hubel BF EU sex combined 76 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	BF_Hubel_76	Inverse variance weighted (multiplicative random effects)	74	-0.0217442301589201	0.00892221776387424	0.0148060742522833	Metabolites ratio	Ratio of bisallylic groups to double bonds	-0.0392317769761136	-0.00425668334172659	NA	Ratio of bisallylic groups to double bonds	Metabolites ratio	Metabolites ratio	Ratio of bisallylic groups to double bonds	Ratio of bisallylic groups to double bonds	
Hubel BF EU sex combined 76 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	BF_Hubel_76	Weighted mode	74	-0.0205783094463323	0.0280964932901058	0.466260084161649	Metabolites ratio	Ratio of bisallylic groups to double bonds	-0.0756474362949397	0.0344908174022751	NA	Ratio of bisallylic groups to double bonds	Metabolites ratio	Metabolites ratio	Ratio of bisallylic groups to double bonds	Ratio of bisallylic groups to double bonds	
Hubel BF EU sex combined 76 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	BF_Hubel_76	MR Egger	74	-0.0304806673663695	0.0405688824923538	0.454902184600598	Fatty acid	Ratio of bisallylic groups to total fatty acids	-0.109995677051383	0.0490343423186439	NA	Ratio of bisallylic groups to total fatty acids	Fatty acids	Fatty acids	Ratio of bisallylic groups to total fatty acids	Ratio of bisallylic groups to total fatty acids	
