exposure	outcome	class	subclass	direction	observational_p	kettunen_p	interval_p	MR_meta_p
bmi	Glutamine (mmol/l)	Amino acids	Amino acids	-	<	>	<	<
whr	Glutamine (mmol/l)	Amino acids	Amino acids	-	<	<	<	<
bf	Histidine (mmol/l)	Amino acids	Amino acids	-	<	>	>	>
bmi	Phenylalanine (mmol/l)	Amino acids	Aromatic amino acids	+	<	<	<	<
whr	Phenylalanine (mmol/l)	Amino acids	Aromatic amino acids	+	<	<	<	<
bf	Phenylalanine (mmol/l)	Amino acids	Aromatic amino acids	+	<	>	>	>
bmi	Tyrosine (mmol/l)	Amino acids	Aromatic amino acids	+	<	<	<	<
whr	Tyrosine (mmol/l)	Amino acids	Aromatic amino acids	+	<	<	<	<
bf	Tyrosine (mmol/l)	Amino acids	Aromatic amino acids	+	<	>	>	>
bmi	Isoleucine (mmol/l)	Amino acids	Branched-chain amino acids	+	<	<	<	<
whr	Isoleucine (mmol/l)	Amino acids	Branched-chain amino acids	+	<	<	<	<
bmi	Leucine (mmol/l)	Amino acids	Branched-chain amino acids	+	<	<	<	<
whr	Leucine (mmol/l)	Amino acids	Branched-chain amino acids	+	<	<	<	<
bmi	Valine (mmol/l)	Amino acids	Branched-chain amino acids	+	<	<	<	<
whr	Valine (mmol/l)	Amino acids	Branched-chain amino acids	+	<	<	<	<
bf	Valine (mmol/l)	Amino acids	Branched-chain amino acids	+	<	>	>	>
bmi	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	-	<	<	<	<
whr	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	-	<	<	<	<
bmi	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	+	<	<	<	<
whr	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	+	<	<	<	<
bmi	Total cholesterol in HDL (mmol/l)	Cholesterol	Cholesterol	-	<	<	<	<
whr	Total cholesterol in HDL (mmol/l)	Cholesterol	Cholesterol	-	<	<	<	<
bf	22:6, docosahexaenoic acid (mmol/l)	Fatty acids	Fatty acids	+	>	>	>	>
bf	Estimated description of fatty acid chain length, not actual carbon number	Fatty acids	Fatty acids	+	<	>	>	>
