metabolite	raw.label	class	subclass	derived_features
acace	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	no
ace	Acetate (mmol/l)	Ketone bodies	Ketone bodies	no
ala	Alanine (mmol/l)	Amino acids	Amino acids	no
alb	Albumin  (signal area)	Fluid balance	Fluid balance	no
apoa1	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	no
apob	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	no
apobapoa1	Ratio of apolipoprotein B to apolipoprotein A-I	Apolipoproteins	Apolipoproteins	no
bohbut	3-hydroxybutyrate (mmol/l)	Ketone bodies	Ketone bodies	no
cit	Citrate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	no
cla	Conjugated linoleic acid (mmol/l)	Fatty acids	Fatty acids	no
clafa	Ratio of conjugated linoleic acid to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes
crea	Creatinine (mmol/l)	Fluid balance	Fluid balance	no
dag	Diacylglycerol (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	no
dagtg	Ratio of diacylglycerol to triglycerides (%)	Glycerides and phospholipids ratios	Glycerides and phospholipids ratios	yes
dha	"22:6, docosahexaenoic acid (mmol/l)"	Fatty acids	Fatty acids	no
dhafa	Ratio of 22:6 docosahexaenoic acid to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes
estc	Esterified cholesterol (mmol/l)	Cholesterol	Cholesterol	no
falen	"Estimated description of fatty acid chain length, not actual carbon number"	Fatty acids	Fatty acids	no
faw3	Omega-3 fatty acids (mmol/l)	Fatty acids	Fatty acids	no
faw3fa	Ratio of omega-3 fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes
faw6	Omega-6 fatty acids (mmol/l)	Fatty acids	Fatty acids	no
faw6fa	Ratio of omega-6 fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes
freec	Free cholesterol (mmol/l)	Cholesterol	Cholesterol	no
glc	Glucose (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	no
gln	Glutamine (mmol/l)	Amino acids	Amino acids	no
glol	Glycerol  (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	no
gly	Glycine  (mmol/l)	Amino acids	Amino acids	no
gp	"Glycoprotein acetyls, mainly a1-acid glycoprotein (mmol/l)"	Inflammation	Inflammation	no
hdl2c	Total cholesterol in HDL2 (mmol/l)	Cholesterol	Cholesterol	no
hdl3c	Total cholesterol in HDL3 (mmol/l)	Cholesterol	Cholesterol	no
hdlc	Total cholesterol in HDL (mmol/l)	Cholesterol	Cholesterol	no
hdld	Mean diameter for HDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	no
hdltg	Triglycerides in HDL (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	no
his	Histidine (mmol/l)	Amino acids	Amino acids	no
idlc	Total cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	no
idlce	Cholesterol esters in IDL (mmol/l)	Lipoprotein subclasses	IDL	no
idlcepct	Cholesterol esters in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	yes
idlcpct	Total cholesterol in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	yes
idlfc	Free cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	no
idlfcpct	Free cholesterol in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	yes
idll	Total lipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	no
idlp	Concentration of IDL particles (mol/l)	Lipoprotein subclasses	IDL	no
idlpl	Phospholipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	no
idlplpct	Phospholipids in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	yes
idltg	Triglycerides in IDL (mmol/l)	Lipoprotein subclasses	IDL	no
