metabolite	raw.label	class	subclass	derived_features	study
acace	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	no	Both
ace	Acetate (mmol/l)	Ketone bodies	Ketone bodies	no	Both
ala	Alanine (mmol/l)	Amino acids	Amino acids	no	Both
alb	Albumin  (signal area)	Fluid balance	Fluid balance	no	Both
apoa1	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	no	Both
apob	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	no	Both
bohbut	3-hydroxybutyrate (mmol/l)	Ketone bodies	Ketone bodies	no	Both
cit	Citrate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	no	Both
crea	Creatinine (mmol/l)	Fluid balance	Fluid balance	no	Both
dha	22:6, docosahexaenoic acid (mmol/l)	Fatty acids	Fatty acids	no	Both
estc	Esterified cholesterol (mmol/l)	Cholesterol	Cholesterol	no	Both
falen	Estimated description of fatty acid chain length, not actual carbon number	Fatty acids	Fatty acids	no	Both
faw3	Omega-3 fatty acids (mmol/l)	Fatty acids	Fatty acids	no	Both
faw6	Omega-6 fatty acids (mmol/l)	Fatty acids	Fatty acids	no	Both
freec	Free cholesterol (mmol/l)	Cholesterol	Cholesterol	no	Both
glc	Glucose (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	no	Both
gln	Glutamine (mmol/l)	Amino acids	Amino acids	no	Both
glol	Glycerol  (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	no	Both
gp	Glycoprotein acetyls, mainly a1-acid glycoprotein (mmol/l)	Inflammation	Inflammation	no	Both
hdlc	Total cholesterol in HDL (mmol/l)	Cholesterol	Cholesterol	no	Both
hdld	Mean diameter for HDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	no	Both
his	Histidine (mmol/l)	Amino acids	Amino acids	no	Both
idlc	Total cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	no	Both
idlfc	Free cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	no	Both
idll	Total lipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	no	Both
idlp	Concentration of IDL particles (mol/l)	Lipoprotein subclasses	IDL	no	Both
idlpl	Phospholipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	no	Both
idltg	Triglycerides in IDL (mmol/l)	Lipoprotein subclasses	IDL	no	Both
ile	Isoleucine (mmol/l)	Amino acids	Branched-chain amino acids	no	Both
la	18:2, linoleic acid (mmol/l)	Fatty acids	Fatty acids	no	Both
lac	Lactate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	no	Both
ldlc	Total cholesterol in LDL (mmol/l)	Cholesterol	Cholesterol	no	Both
ldld	Mean diameter for LDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	no	Both
leu	Leucine (mmol/l)	Amino acids	Branched-chain amino acids	no	Both
lhdlc	Total cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	no	Both
lhdlce	Cholesterol esters in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	no	Both
lhdlfc	Free cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	no	Both
lhdll	Total lipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	no	Both
lhdlp	Concentration of large HDL particles (mol/l)	Lipoprotein subclasses	Large HDL	no	Both
lhdlpl	Phospholipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	no	Both
lldlc	Total cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	no	Both
lldlce	Cholesterol esters in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	no	Both
lldlfc	Free cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	no	Both
lldll	Total lipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	no	Both
lldlp	Concentration of large LDL particles (mol/l)	Lipoprotein subclasses	Large LDL	no	Both
lldlpl	Phospholipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	no	Both
lvldlc	Total cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	no	Both
lvldlce	Cholesterol esters in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	no	Both
lvldlfc	Free cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	no	Both
lvldll	Total lipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	no	Both
lvldlp	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	no	Both
lvldlpl	Phospholipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	no	Both
lvldltg	Triglycerides in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	no	Both
