rob_ID	Weak instrument bias 	Genetic confounding bias	Other Confounding bias 	Additional direct effects between IV and outcome (exclusion restriction assumption)	Bias due to selection of participants (exposure)	Bias due to selection of participants (outcome)	IV association 	Sample overlap	Senisitivity analyses	Descriptive data	Data availability	Statistical paramaters	Total	average
1	2	2	3	3	3	3	2	2	3	1	3	3	30	2.5
2	2	2	1	1	3	3	2	2	1	1	3	2	23	1.916666667
3	1	1	1	1	2	3	2	2	1	1	2	2	19	1.583333333
4	2	2	3	3	3	3	2	2	3	1	3	1	28	2.333333333
5	1	2	3	1	3	3	2	1	1	2	2	3	24	2
6	2	2	1	1	3	3	2	2	1	2	3	3	25	2.083333333
7	2	2	1	1	3	3	2	1	1	1	3	2	22	1.833333333
8	1	2	1	1	3	3	3	1	1	1	2	2	21	1.75
9	2	2	1	1	3	3	2	1	1	1	3	2	22	1.833333333
10	1	2	1	1	3	3	3	1	1	1	2	2	21	1.75
11	2	2	1	1	3	3	2	1	1	1	3	2	22	1.833333333
12	2	2	1	2	3	3	2	1	2	1	3	3	25	2.083333333
13	2	2	1	1	3	3	2	1	1	2	3	2	23	1.916666667
14	1	1	3	1	2	2	1	1	1	1	3	3	20	1.666666667
15	2	2	1	2	3	3	2	1	2	1	3	3	25	2.083333333
16	2	2	1	1	3	3	2	1	1	1	3	2	22	1.833333333
17	2	2	1	2	3	3	2	1	2	1	3	3	25	2.083333333
18	1	1	3	1	2	2	1	1	1	1	3	3	20	1.666666667
19	2	2	2	1	3	3	2	1	1	1	3	3	24	2
20	1	2	1	1	3	3	2	1	1	1	3	2	21	1.75
21	1	2	3	1	3	3	2	1	1	2	2	3	24	2
22	2	2	1	1	3	3	2	1	1	2	3	2	23	1.916666667
23	2	2	1	1	3	3	2	1	1	2	3	2	23	1.916666667
24	1	1	3	1	2	2	1	1	1	1	3	3	20	1.666666667
25	2	2	1	1	3	3	2	1	1	2	3	2	23	1.916666667
26	1	1	3	1	2	2	1	1	1	1	3	3	20	1.666666667
27	1	2	3	1	3	3	2	1	1	1	2	3	23	1.916666667
28	2	2	1	1	3	3	2	3	1	2	3	3	26	2.166666667
29	1	2	3	1	3	3	2	1	1	1	2	3	23	1.916666667
30	1	1	2	1	2	3	2	2	1	2	2	2	21	1.75
31	2	2	3	3	3	3	2	2	3	1	3	1	28	2.333333333
32	2	2	3	1	3	2	2	1	1	1	2	3	23	1.916666667
33	2	2	3	3	3	3	2	1	3	2	3	3	30	2.5
34	2	2	1	2	3	3	2	2	2	1	3	2	25	2.083333333
35	2	2	1	1	2	2	1	1	1	1	3	3	20	1.666666667
36	1	2	3	1	3	3	2	1	1	2	2	3	24	2
37	2	2	1	3	3	3	3	2	3	1	3	3	29	2.416666667
38	1	2	3	1	3	3	2	1	1	2	2	3	24	2
39	2	2	1	3	3	3	3	2	3	1	3	3	29	2.416666667
40	1	2	1	3	3	3	2	1	3	1	2	2	24	2
41	2	1	2	1	3	3	2	1	1	1	3	1	21	1.75
42	1	2	1	2	3	3	2	1	2	1	2	3	23	1.916666667
43	2	2	1	1	3	3	2	2	1	1	3	3	24	2
44	1	1	2	2	3	3	2	1	2	1	2	3	23	1.916666667
45	3	2	2	3	3	3	2	1	3	1	3	3	29	2.416666667
46	2	2	1	1	2	2	1	1	1	1	3	3	20	1.666666667
47	2	2	3	3	3	3	2	2	3	1	3	1	28	2.333333333
48	1	1	3	1	3	3	2	1	1	1	3	3	23	1.916666667
49	1	2	3	1	3	3	2	2	1	2	2	3	25	2.083333333
50	2	2	3	3	3	3	2	2	3	1	3	1	28	2.333333333
51	1	1	2	2	3	3	2	1	2	1	2	3	23	1.916666667
52	1	2	1	1	3	3	2	2	1	1	3	2	22	1.833333333
53	2	2	3	3	3	3	2	2	3	1	3	1	28	2.333333333
54	1	2	1	1	3	3	2	2	1	1	3	2	22	1.833333333
55	2	2	3	3	3	3	2	2	3	1	3	1	28	2.333333333
56	1	1	2	2	3	3	2	1	2	1	2	3	23	1.916666667
57	1	1	3	1	3	3	2	1	1	1	3	3	23	1.916666667
58	1	2	2	2	3	3	2	1	2	1	3	2	24	2
59	1	2	1	1	3	3	2	2	1	1	3	2	22	1.833333333
60	1	2	2	3	3	3	2	1	3	1	3	1	25	2.083333333
61	2	2	3	3	3	3	2	2	3	1	3	3	30	2.5
62	2	2	3	3	3	3	2	2	3	1	3	1	28	2.333333333
63	1	1	2	2	3	3	2	1	2	1	2	3	23	1.916666667
64	1	1	3	1	3	3	2	1	1	1	3	3	23	1.916666667
65	1	2	2	2	3	3	2	1	2	1	3	2	24	2
66	1	2	1	3	3	3	2	2	3	1	3	2	26	2.166666667
67	1	2	1	1	2	3	2	2	1	1	2	2	20	1.666666667
68	2	2	1	1	3	3	3	2	1	1	2	2	23	1.916666667
69	2	2	2	1	3	3	2	1	1	2	3	1	23	1.916666667
70	2	2	1	3	3	3	2	2	3	1	3	3	28	2.333333333
