metabolite	n	b	se	p	lower_ci	upper_ci	raw.label	class	subclass	label	label.no.units	derived_features	exposure	group	model	model_description
xxlvldlp	588	1.52842226465357e-11	3.34622599650116e-12	6.03127591675971e-06	8.72561969339343e-12	2.1842825599678e-11	Concentration of chylomicrons and extremely large VLDL particles (mol/l)	Lipoprotein subclasses	Extremely large VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	adolescents	model3	physical activity
xxlvldll	588	0.00330297253650428	0.000751893970627561	1.33043478161934e-05	0.00182926035407426	0.0047766847189343	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	adolescents	model3	physical activity
xxlvldlpl	588	0.000381746190333388	9.08885756930848e-05	3.08790040355814e-05	0.000203604581974942	0.000559887798691834	Phospholipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	adolescents	model3	physical activity
xxlvldlc	588	0.000577916232862804	0.000124693000283198	4.4198901161885e-06	0.000333517952307736	0.000822314513417872	Total cholesterol in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	adolescents	model3	physical activity
xxlvldlce	588	0.000322115988613791	6.68833974701958e-05	1.87158851363017e-06	0.000191024529572207	0.000453207447655375	Cholesterol esters in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	adolescents	model3	physical activity
xxlvldlfc	588	0.000255677597968742	6.12623457263549e-05	3.460713996963e-05	0.000135603400345086	0.000375751795592398	Free cholesterol in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	adolescents	model3	physical activity
xxlvldltg	588	0.00234325849332055	0.000539824091774424	1.67573999397806e-05	0.00128520327344268	0.00340131371319842	Triglycerides in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	adolescents	model3	physical activity
xlvldlp	588	8.13142505243426e-11	1.88173248765458e-11	1.82613358058191e-05	4.44322937663128e-11	1.18196207282372e-10	Concentration of very large VLDL particles (mol/l)	Lipoprotein subclasses	Very large VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	adolescents	model3	physical activity
xlvldll	588	0.00788057802241178	0.00184135993050705	2.18932653810134e-05	0.00427151255861796	0.0114896434862056	Total lipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	adolescents	model3	physical activity
xlvldlpl	588	0.00126197606574181	0.000303524468775197	3.70055875694782e-05	0.000667068106942424	0.0018568840245412	Phospholipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	adolescents	model3	physical activity
xlvldlc	588	0.00174882819460908	0.000367389424086889	2.44684154762704e-06	0.00102874492339878	0.00246891146581938	Total cholesterol in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	adolescents	model3	physical activity
xlvldlce	588	0.000966177651621017	0.000192243048808154	6.691141718598e-07	0.000589381275957035	0.001342974027285	Cholesterol esters in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	adolescents	model3	physical activity
xlvldlfc	588	0.000782601192279996	0.000177051091005401	1.17762487938434e-05	0.00043558105390941	0.00112962133065058	Free cholesterol in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	adolescents	model3	physical activity
xlvldltg	588	0.00486971974895089	0.00117869891579255	4.13688506160513e-05	0.00255946987399749	0.00717996962390429	Triglycerides in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	adolescents	model3	physical activity
lvldlp	588	4.05831549773241e-10	9.46460104744962e-11	2.11312326596936e-05	2.20325369243228e-10	5.91337730303254e-10	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	adolescents	model3	physical activity
lvldll	588	0.0247636532498983	0.00572792628988144	1.80956735774903e-05	0.0135369177217307	0.0359903887780659	Total lipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	adolescents	model3	physical activity
lvldlpl	588	0.00436922533163966	0.00102326651793224	2.28547444076681e-05	0.00236362295649247	0.00637482770678685	Phospholipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	adolescents	model3	physical activity
lvldlc	588	0.00598187530442435	0.00131174007972585	6.23839889119086e-06	0.00341086474816168	0.00855288586068702	Total cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	adolescents	model3	physical activity
lvldlce	588	0.00313744843076657	0.000644634150826268	1.46286524657048e-06	0.00187396549514709	0.00440093136638606	Cholesterol esters in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	adolescents	model3	physical activity
lvldlfc	588	0.00284370289341706	0.000676798598497321	3.06756586809478e-05	0.00151717764036231	0.00417022814647181	Free cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	adolescents	model3	physical activity
lvldltg	588	0.0144073970717715	0.00341080214835684	2.7866655757733e-05	0.00772222486099209	0.0210925692825509	Triglycerides in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	adolescents	model3	physical activity
mvldlp	588	1.08265467571801e-09	2.28449823261156e-10	2.70416269900564e-06	6.34893022126144e-10	1.53041632930988e-09	Concentration of medium VLDL particles (mol/l)	Lipoprotein subclasses	Medium VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	adolescents	model3	physical activity
mvldll	588	0.0379926536100779	0.00786425065419296	1.74121071317098e-06	0.0225787223278597	0.0534065848922961	Total lipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	adolescents	model3	physical activity
mvldlpl	588	0.00703261937216768	0.00151444164075931	4.23835262876586e-06	0.00406431375627943	0.0100009249880559	Phospholipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	adolescents	model3	physical activity
mvldlc	588	0.0104211666432799	0.00213562426482656	1.37550207942229e-06	0.00623534308421984	0.01460699020234	Total cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	adolescents	model3	physical activity
