Subclass	Min	Max	Mean	Median
Very Small VLDL	-0.000433	0.00888	0.00247	0.00174
Small VLDL	1.05e-09	0.0245	0.00747	0.00535
Medium VLDL	1.11e-09	0.0432	0.013	0.00732
Large VLDL	4.34e-10	0.031	0.00943	0.00548
Very large VLDL	8.86e-11	0.0108	0.00311	0.00166
Extremely large VLDL	1.6e-11	0.00442	0.00125	0.000486
IDL	-0.00159	0.00746	0.00192	4.2e-10
Small LDL	-0.000738	0.00395	0.000927	0.000442
Medium LDL	-0.000742	0.00582	0.00149	0.000526
Large LDL	-0.00155	0.0079	0.00189	0.000131
Small HDL	-0.00489	0.00416	0.000205	1.38e-08
Medium HDL	-0.00458	0.0017	-0.00121	-0.00142
Large HDL	-0.0339	0.000225	-0.0106	-0.00967
Very large HDL	-0.0256	0.000534	-0.00678	-0.00559
Lipoprotein particle size	-0.0317	0.235	0.0634	-0.00388
Ketone bodies	-0.00774	0.000672	-0.0022	-0.000812
Inflammation	0.0258	0.0415	0.0329	0.0314
Glycolysis related metabolites	-0.0286	0.0348	0.00199	4e-04
Glycerides and phospholipids	-0.0119	0.0709	0.0173	0.00349
Fluid balance	-0.000197	0.00122	0.00033	0.000221
Fatty acids	0.000298	0.211	0.0422	0.0269
Cholesterol	-0.0344	0.0419	0.00395	0.00434
Apolipoproteins	-0.0109	0.0216	0.00875	0.0162
Branched-chain amino acids	0.00114	0.0062	0.00311	0.0029
Aromatic amino acids	0.000478	0.00209	0.00137	0.00134
Amino acids	-0.00603	0.00737	0.000228	0.000732
